text,cluster,cluster_corrected
London,0,
Butts,0,
I’]l,0,
"CAVENDISH S.

1847",0,
wi,0,
LONDON,0,
Christendom,0,
Penistone Crags,0,
Desert,0,
Ill,1,
Black Art,1,
Miss.,1,
China,1,
Titan,2,
Earrshaw,2,
IL,2,
Continent,2,
Thrushcross Orange,3,
Thrushcross Range,3,
Thrushcross,3,
Thrusheross Range,3,
Thrusheross Orange,3,
Thrushcross park,3,
us,3,
Atlantic,4,
England,4,
hisland,4,
Earth,4,
"the
glan",4,
Handle,4,
Lockwood,5,
You’ll,5,
Slough,5,
france,6,
France,6,
Heathcliffs,7,
Heathcliff,7,
Hearken,7,
Yorkshire,7,
he'd,7,
WUTHERING HEIGHTS,8,
Heights,8,
Lilies,8,
Wuthering Heights,8,
"Wuthering

Heights",8,
"Wuthering
Heights",8,
Hercules,8,
WUCHERING HEIGHTS,8,
Sea,9,
"the Range
Park",9,
Orange,9,
T.G.,9,
the Orange:,9,
Range,9,
west wind,10,
Backhouses,10,
North,11,
Liverpool,11,
n’t,12,
« Sea,12,
sum~-,12,
on’t,12,
mun’n’t,12,
He’ll,12,
Linley,13,
fort,13,
Satan,13,
Niver,14,
Whindale,14,
Mr,14,
Phenix,14,
Villa,15,
Harden,15,
Harvest,15,
Sharpen,15,
Harmony,15,
i’m,16,
the Chapel of Glimmer-,17,
America,17,
Gimmerton,17,
