text,cluster,cluster_corrected
"Wuthering

Heights",0.0,
Heights,0.0,
"Wuthering
Heights",0.0,
WUTHERING HEIGHTS,0.0,
mun’n’t,0.0,
Wuthering Heights,0.0,
Hercules,0.0,
WUCHERING HEIGHTS,0.0,
Ill,1.0,
Villa,1.0,
England,2.0,
hisland,2.0,
"the
glan",2.0,
Handle,2.0,
Hearken,3.0,
Earrshaw,3.0,
LONDON,4.0,
Heathcliff,5.0,
Heathcliffs,5.0,
He’ll,6.0,
You’ll,6.0,
Titan,7.0,
Satan,7.0,
n’t,8.0,
Christendom,8.0,
"CAVENDISH S.

1847",8.0,
the Orange:,9.0,
Orange,9.0,
"the Range
Park",9.0,
Range,9.0,
America,10.0,
the Chapel of Glimmer-,10.0,
Desert,10.0,
Gimmerton,10.0,
Thrusheross Orange,11.0,
Thrusheross Range,11.0,
Thrushcross,11.0,
Thrushcross Orange,11.0,
Thrushcross Range,11.0,
Thrushcross park,11.0,
Harvest,12.0,
Harmony,12.0,
Harden,12.0,
Sharpen,12.0,
france,13.0,
France,13.0,
Penistone Crags,14.0,
Phenix,14.0,
fort,15.0,
North,15.0,
Earth,15.0,
London,16.0,
Liverpool,17.0,
Niver,17.0,
Whindale,18.0,
west wind,18.0,
China,18.0,
Sea,19.0,
« Sea,19.0,
Black Art,20.0,
Backhouses,20.0,
on’t,21.0,
Continent,21.0,
Atlantic,21.0,
Linley,,
he'd,,
sum~-,,
IL,,
wi,,
Slough,,
Lilies,,
Mr,,
Miss.,,
T.G.,,
I’]l,,
Yorkshire,,
Lockwood,,
Butts,,
i’m,,
us,,
