cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
0.0,"Wuthering

Heights",Heights,"Wuthering
Heights",WUTHERING HEIGHTS,mun’n’t,Wuthering Heights,Hercules,WUCHERING HEIGHTS
1.0,Ill,Villa,,,,,,
2.0,England,hisland,"the
glan",Handle,,,,
3.0,Hearken,Earrshaw,,,,,,
4.0,LONDON,,,,,,,
5.0,Heathcliff,Heathcliffs,,,,,,
6.0,He’ll,You’ll,,,,,,
7.0,Titan,Satan,,,,,,
8.0,n’t,Christendom,"CAVENDISH S.

1847",,,,,
9.0,the Orange:,Orange,"the Range
Park",Range,,,,
10.0,America,the Chapel of Glimmer-,Desert,Gimmerton,,,,
11.0,Thrusheross Orange,Thrusheross Range,Thrushcross,Thrushcross Orange,Thrushcross Range,Thrushcross park,,
12.0,Harvest,Harmony,Harden,Sharpen,,,,
13.0,france,France,,,,,,
14.0,Penistone Crags,Phenix,,,,,,
15.0,fort,North,Earth,,,,,
16.0,London,,,,,,,
17.0,Liverpool,Niver,,,,,,
18.0,Whindale,west wind,China,,,,,
19.0,Sea,« Sea,,,,,,
20.0,Black Art,Backhouses,,,,,,
21.0,on’t,Continent,Atlantic,,,,,
