text,cluster,cluster_corrected
Ill,0,
Titan,0,
Butts,0,
Sough,0,
America,1,
i’m,1,
CAVENDISH Sq,1,
merced,1,
erie,1,
Catherine,2,
WUTHERING HEIGHTS,2,
Hercules,2,
"Wuthering

Heights",2,
Heights,2,
Wuthering Heights,2,
"Wuthering
Heights",2,
us,3,
Lascar,3,
North,3,
Zillah,3,
wy,3,
Mr,3,
IL,3,
Miss.,3,
ababa,4,
Phenix,4,
Goa,4,
Lockwood,4,
"Pensioner
Crags",5,
Him,5,
Immersion,5,
Hindley,5,
santa,5,
west wind,6,
tennessee,6,
Black Art,6,
wi,6,
he'd,7,
sum~-,7,
1’i,7,
inn,7,
London,8,
Christendom,8,
Oho,8,
a Slough of Despond,8,
dallas,8,
LONDON,8,
B7ZAw,8,
Linton Heathcliff,9,
You’ll,9,
Heathcliff,9,
seattle,9,
gre2,9,
Range,10,
Grange,10,
Liverpool,11,
Linton,11,
Hareton,11,
Harcton,11,
Atlantic,12,
Immersion kirkland,12,
England,12,
Kirkland,12,
Yorkshire,12,
Satan,12,
kirkland,12,
n’t,13,
Continent,13,
on’t,13,
mun’n’t,13,
’ york,13,
fort,14,
Desert,14,
Earrshaw,14,
Blackphone,14,
france,15,
Iran,15,
Thrushcross park,16,
He’ll,16,
Thrushcross Grange,16,
Thrushcross,16,
sicily,16,
China,17,
T.G.,17,
quad-,17,
