text,cluster,cluster_corrected
China,0,
Black Art,0,
Mr,0,
Lockwood,0,
jesi,0,
WUTHERING HEIGHTS,1,
"Wuthering

Heights",1,
WUTHERINS HEIGHTS,1,
WUTERING HEIGHTS,1,
WUTHFRING HEIGHTS,1,
Heights,1,
WUTUERING HEIGHTS,1,
Wuthering Heights,1,
"Wuthering
Heights",1,
"bonay
lasa",2,
wi,2,
Tsee,2,
Satan,2,
nota,3,
Miss.,3,
Tn,3,
London,4,
Wonderfal,4,
Istayed,4,
Christendom,4,
a Slough of Despond,4,
LONDON,4,
B7ZAw,4,
Iheld,5,
Shielders,5,
Theld,5,
inn,5,
Ill,6,
n’t,6,
on’t,6,
Hindley,6,
mun’n’t,6,
Thrushcross park,7,
Thrusheross Grange,7,
Thrushcross Grange,7,
Oho,7,
sum~-,7,
Grange,7,
Iran,7,
Thrushcross,7,
Jdle,7,
wasa,8,
North,8,
You’ll,8,
Sough,8,
He’ll,9,
ia,9,
he’il,9,
wy,9,
"He’sa
grand",9,
fort,10,
west wind,10,
thear,10,
Thear,10,
Earrshaw,10,
Wisht,10,
he'd,11,
JT,11,
Atea,11,
us,12,
Continent,12,
Catherines,12,
Hercules,12,
Catheriae,12,
Lhad,12,
Niver,12,
IL,12,
T.G.,12,
America,13,
Lascar,13,
Desert,13,
Gimmerton,13,
thou,13,
Gimmerton Kirk,13,
Linton Heathcliff,14,
Liverpool,14,
Heathcliffs,14,
Heathcliff,14,
Yorkshire,14,
Atlantic,15,
Titan,15,
Zillah,15,
England,15,
meeterly clane,15,
hisland,15,
CAVENDISH Sq,15,
Idared,16,
seech,16,
I’]l,16,
Phenix,17,
gre2,17,
Linton,18,
Hareton,18,
Harcton,18,
