cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,mun’n’t,n’t,on’t,Liverpool,,,,,
1.0,CAVENDISH Sq,Wisht,,,,,,,
2.0,WUTERING HEIGHTS,"Wuthering

Heights",WUTHFRING HEIGHTS,WUTHERINS HEIGHTS,"Wuthering
Heights",WUTHERING HEIGHTS,Wuthering Heights,WUTUERING HEIGHTS,Heights
3.0,Linton Heathcliff,Heathcliffs,Linton,Heathcliff,,,,,
4.0,Hercules,Catheriae,America,Catherines,,,,,
5.0,He’ll,he’il,You’ll,"He’sa
grand",,,,,
6.0,Ill,Zillah,,,,,,,
7.0,"bonay
lasa",wasa,Lascar,,,,,,
8.0,London,LONDON,,,,,,,
9.0,Idared,Hareton,Harcton,,,,,,
10.0,Wonderfal,Shielders,Yorkshire,,,,,,
11.0,Gimmerton,Gimmerton Kirk,,,,,,,
12.0,Satan,Titan,,,,,,,
13.0,Tsee,seech,,,,,,,
14.0,a Slough of Despond,Sough,Niver,Desert,,,,,
15.0,China,Hindley,west wind,Jdle,,,,,
16.0,England,hisland,,,,,,,
17.0,Theld,Iheld,,,,,,,
18.0,Christendom,Istayed,,,,,,,
19.0,Earrshaw,Thear,thear,,,,,,
20.0,meeterly clane,Continent,Atlantic,,,,,,
21.0,North,fort,,,,,,,
22.0,Thrusheross Grange,Iran,Thrushcross park,Thrushcross,Grange,Thrushcross Grange,,,
