cluster,elem_0,elem_1,elem_2,elem_3,elem_4
0.0,I'll,You'll,You've,,
1.0,earth,North,the Black Art,,
2.0,thear,Thear,,,
3.0,Yorkshire,heifers,Shielders,,
4.0,Grange,Thrushcross Grange,Thrushcross,,
5.0,Cavendish Sq,London,Christendom,,
6.0,Heathcliff,Linton,Linton Heathcliff,,
7.0,thah,Niver,Hahsiver,Liverpool,
8.0,The Heights,Heights,Catherines,Wuthering Heights,"Wuthering
                        Heights"
9.0,America,Gimmerton Kirk,Desert,Gimmerton,
10.0,Hareton,Phenix,Penistone Crags,,
11.0,Atlantic,Gladly,meeterly clane,England,
