text,cluster,cluster_corrected
Shabbyton,-1,
Principle,-1,
Averages,-1,
Regent,-1,
conbibio,-1,
Granada,-1,
"the Yunnan

N 2",-1,
Ferdinand,-1,
Estates,-1,
Colleges,-1,
Ministry,-1,
Plateau,-1,
Munich,-1,
Walpole,-1,
Hindostan,-1,
Heroes,-1,
Lucretia,-1,
East,-1,
Louis Qua-,-1,
Duchess,-1,
Hippocrates,-1,
Austria,-1,
Belgium,-1,
Nile,-1,
Jamaica,-1,
Arlington Street,-1,
Lavoisier,-1,
Melton,-1,
Willesden,-1,
Carlist,-1,
Hansard,-1,
DEDICATION,-1,
Cambridge,-1,
Music,-1,
Esq,-1,
Pagan,-1,
Languedoc,-1,
Rebels,-1,
Panama,-1,
Argyle,-1,
Alps,-1,
Leicestershire,-1,
Millennium,-1,
JT,-1,
Canterbury,-1,
Egypt,-1,
Representative,-1,
Aquatic,-1,
Lepanto,-1,
Greece,-1,
Cottage,-1,
New,-1,
inn,-1,
Torquamada,-1,
Tn,-1,
Althorp,-1,
Lima,-1,
Carthage,-1,
Chudleigh,-1,
Pavia,-1,
Richmond,-1,
Milan,-1,
Sedgwick,-1,
Jew,-1,
n’t,-1,
Learning,-1,
Providence,-1,
Germany,-1,
Realm,-1,
Thames,-1,
Wellington,-1,
dishabille,-1,
Baltic,-1,
Boccaccio,-1,
Spinoza,-1,
Manhood,-1,
Mauritania,-1,
Monte,-1,
Palmerston,-1,
Infirmary,-1,
Naples,-1,
Leontius,-1,
Sussex,-1,
Kildare,-1,
Club,-1,
Isthmus,-1,
Jong,-1,
Lucca,-1,
Christchurch,-1,
Holbein,-1,
Brazil,-1,
Roxalana,-1,
capt-,-1,
Lyndhurst,-1,
Neapolitan,-1,
"the Rue
Rivoli",-1,
Mlle,-1,
Inferno,-1,
Froissart,-1,
Monkey Island,-1,
Siponia,-1,
Temple,-1,
Brighton,-1,
Nemesis,-1,
Mediterranean,-1,
Derby,-1,
Lisbon,-1,
Oppidan,-1,
Nuovos,-1,
Caucasus,-1,
Marquess,-1,
Paris,-1,
Mexico,-1,
Berlin,-1,
the British Isles,-1,
Venice,0,
Athens,0,
Phenix,0,
Hebrews,1,
Thebes,1,
"the San
Benito",2,
Benito,2,
San Benito,2,
Peninsula,3,
the Spanish Peninsula,3,
Tamworth,4,
North,4,
the Northern Sea,4,
Northamptonshire,4,
Berkshire,5,
Yorkshire,5,
Studcaster,6,
Lancashire,6,
Study,6,
Lancaster,6,
Dartford,7,
Hertfordshire,7,
Bradford,7,
Forum,7,
Oxford,7,
Castle,8,
Newcastle,8,
Italy,9,
Southern Italy,9,
Monmouth,9,
South,9,
Manchesters,10,
Manchester,10,
Westminster,11,
West,11,
West India,11,
Weston,11,
Westmoreland,12,
Ireland,12,
confiscated Ireland,12,
Scotland,13,
Highland,13,
England,13,
Poland,13,
woodland,14,
midland,14,
midland county,14,
Europe,15,
Western Sharps,15,
Western Europe,15,
the County of,16,
the County Chronicle,16,
the Holy Land,17,
the Lance-,17,
the Holy Sepulchre,17,
MILLBANK,18,
Milbank,18,
Millbank of Millbank,18,
Millbank,18,
Albany,19,
Albania,19,
the Lower Park,20,
the Lock Pool,20,
the Upper Park,20,
Hyde Park,21,
Park,21,
Windsor rang,22,
Windsor,22,
"Windsor
Park",22,
the United Provinces,23,
the United States,23,
the United Kingdom,23,
Kingdom,24,
King,24,
The Kingdom of France,24,
Moorish kingdom,24,
France,25,
france,25,
Frankfort,25,
Vengeance,26,
Aegean,26,
"Salt
Hill",27,
Hilloa,27,
Ill.,27,
Salt Hill,27,
M. Ville-,28,
Seville,28,
Villebecque,28,
Wesleyans,29,
Wellesley,29,
Phillippics,30,
Philip,30,
Cadiz,31,
Piccadilly,31,
Hellingsley,32,
Coningsby,32,
Hellingsby,32,
Downing Street,33,
Street,33,
St. James’ Street,34,
"St. James’s
Street",34,
St. James’s,35,
St. James,35,
"St. James’s
Square",35,
St. John’s,36,
St. John,36,
St. Paul,37,
St. Mary’s,37,
St.,37,
