text,cluster,cluster_corrected
Watteau,0.0,
Gazette,0.0,
Moffatt,0.0,
Rigbys,1.0,
Rigby,1.0,
Rigbyites,1.0,
Opera,2.0,
Taper,2.0,
Penelope,2.0,
here3,3.0,
Heroes,3.0,
Jeremiads,3.0,
here2,3.0,
the Spanish Peninsula,4.0,
Peninsula,4.0,
the British Isles,4.0,
Lawgiver,5.0,
Liverpool,5.0,
Carlist,6.0,
Carlton Gardens,6.0,
Lisbon,6.0,
Frenchmen,7.0,
Frenchwomen,7.0,
St. James,8.0,
St. James',8.0,
St. John,8.0,
St. John's,8.0,
oL. J.,8.0,
St. James's,8.0,
Nemesis,8.0,
absent2,9.0,
Regent,9.0,
Rossendale,9.0,
field11,10.0,
Field,10.0,
Oriel,10.0,
Blenheim,11.0,
Maidenhead,11.0,
Providence,11.0,
Slough,12.0,
Borough,12.0,
cloul,12.0,
Louis Qua-,12.0,
cordialy,13.0,
Laly,13.0,
realy,13.0,
tinualy,13.0,
Iltaly,13.0,
cipaly,13.0,
Italy,13.0,
Saxony,14.0,
Saxon,14.0,
Jamaica,15.0,
Panama,15.0,
Lepanto,15.0,
adore2,16.0,
Loretto,16.0,
Wimbledon,17.0,
Macedon,17.0,
Toledo,17.0,
Astrachan,18.0,
Bacchantes,18.0,
CcHAPTER XIV,18.0,
Canterbury,18.0,
the green district,19.0,
the green mountains,19.0,
Ministry,19.0,
Austria,19.0,
Seville,20.0,
M. Ville-,20.0,
Ville,20.0,
Ill,20.0,
Willesden,20.0,
Villebeeque,20.0,
Mlle,20.0,
dishabille,20.0,
Friendship,21.0,
firiends,21.0,
Irish Secretaryship,21.0,
Ladyship,21.0,
St. Petersburg,22.0,
Edinburgh,22.0,
Augsburg,22.0,
graecful,23.0,
Israel,23.0,
Granada,23.0,
Jerusalem,24.0,
Russia,24.0,
Prussia,24.0,
Sussex,24.0,
Lon-,25.0,
Babylon,25.0,
Barcelona,25.0,
Barnes,26.0,
Barony,26.0,
Lazaroni,26.0,
Byron,26.0,
Castle,27.0,
East,27.0,
Newcastle,27.0,
the Prineess Lucretia,28.0,
Luretia,28.0,
Lueretia,28.0,
Lucretia,28.0,
Africa,29.0,
Nilotic Africa,29.0,
America,29.0,
Nile,29.0,
Ecelesiastical,29.0,
fabri,30.0,
Cambridge,30.0,
britska,30.0,
Nebuchadnezzar,31.0,
Hades,31.0,
Duchess,31.0,
Sydney,31.0,
Lngland,32.0,
England,32.0,
England l'',32.0,
West,33.0,
West India,33.0,
Weston,33.0,
Westminster,33.0,
Ambassa-,34.0,
Embassy,34.0,
passod,34.0,
Anon,35.0,
Benumanoir,35.0,
Manhood,35.0,
Germany,35.0,
Trautsmandorff,35.0,
Wotton,36.0,
Potts,36.0,
Cottage,36.0,
the County Chronicle,37.0,
midland county,37.0,
the County of -,37.0,
Arlington Street,38.0,
Berlin,38.0,
Wellington,38.0,
Downing Street,38.0,
Althorp,39.0,
Baltic,39.0,
Thou,39.0,
Millbank,40.0,
Milbank,40.0,
Albany,40.0,
Milbanks,40.0,
MILLBANK,40.0,
Mill,40.0,
hima,41.0,
Lima,41.0,
Hall,42.0,
Whitehall,42.0,
white bait,42.0,
Whites,42.0,
invite2,42.0,
Spain,43.0,
Charta,43.0,
Sparta,43.0,
Lucca,44.0,
Iobson,44.0,
occason,44.0,
Caucasus,44.0,
Monmouth,45.0,
South,45.0,
Southern Italy,45.0,
Seine,46.0,
Holbein,46.0,
Palestine,46.0,
Persia,47.0,
Temple,47.0,
Persian Empire,47.0,
Ireland,48.0,
confiscated Ireland,48.0,
Westmoreland,48.0,
Lyndhurst,49.0,
Christchurch,49.0,
Paris,49.0,
Arragon,50.0,
France,50.0,
Mediterranean,50.0,
Medioerity,50.0,
this Cuabinet of Medio-,50.0,
Bradford,51.0,
Darlford,51.0,
Brazils,51.0,
Oxford,51.0,
Tamerlane,52.0,
Roxalana,52.0,
Milan,52.0,
Miln,52.0,
Egean,53.0,
colege,53.0,
Colleges,53.0,
the Holy Land,54.0,
woodland,54.0,
Chudleigh,54.0,
Highland,54.0,
midland,54.0,
Monkey Island,54.0,
Scotland,54.0,
Poland,54.0,
Thebes,55.0,
Hebrews,55.0,
Brennus,55.0,
Park,56.0,
De Lolme,56.0,
Hyde Park Place,56.0,
the Republic of Paris,56.0,
the Lower Park,56.0,
the Upper Park,56.0,
the Lock Pool,56.0,
Wellesley,57.0,
Hellingsley,57.0,
Walingers,57.0,
Hel,57.0,
Iellingsley,57.0,
Wesleyans,57.0,
Hellingsby,57.0,
Helingsley,57.0,
Hindostan,58.0,
Kildare,58.0,
Clarendon,58.0,
London,58.0,
Richmond,59.0,
Munich,59.0,
umong,59.0,
Inferno,60.0,
Manchester,60.0,
Western Europe,60.0,
Europe,60.0,
Wilkie,60.0,
Carthage,61.0,
earth,61.0,
Earwig,61.0,
Brocas,62.0,
brook,62.0,
Realm,62.0,
BOoK VIII,62.0,
Pembroke,62.0,
"Windsor
Park",63.0,
Windsor,63.0,
Windsor rang,63.0,
Uwins,63.0,
Monsieur Sidonia's,64.0,
Monsieur Sidonia,64.0,
San Benito,65.0,
Benito,65.0,
WiIl Vanity,65.0,
Greeks,66.0,
Greece,66.0,
Varter,67.0,
Selter,67.0,
Froissart,67.0,
Waterloo,67.0,
Belgium,68.0,
Rebello,68.0,
Leontium,68.0,
Thames,69.0,
Amersham,69.0,
Durham,69.0,
Nuneham,69.0,
Burnet,70.0,
Melbourne,70.0,
Boursc,70.0,
Luxembourg,70.0,
Mademoisele,71.0,
Mademoiselle Flora,71.0,
Madrid,71.0,
Floa,71.0,
Mahomet,72.0,
Rome,72.0,
Ermengarde,73.0,
Derby,73.0,
Aldermen,73.0,
Coningsbyl,74.0,
Coningsby,74.0,
Coningsb,74.0,
Coningsby ta,74.0,
Learning,74.0,
Sinai,75.0,
China,75.0,
Ferdinand,75.0,
Medina Sidonia,76.0,
iSidonia,76.0,
Naples,76.0,
Sidonia,76.0,
Naples Sidonia,76.0,
Sevres,77.0,
Isthmus,77.0,
Academus,77.0,
Cadiz,77.0,
Study,78.0,
Studcaster,78.0,
Lancaster,78.0,
Strand,79.0,
Grand Cairo,79.0,
Strand Coffee-,79.0,
Venice,80.0,
Athens,80.0,
Phenix,80.0,
Throne,81.0,
Scienee,81.0,
onee,81.0,
Shabbyton,82.0,
Brighton,82.0,
Eaton,82.0,
Melton,82.0,
Palmerston,82.0,
Lais,83.0,
Alps,83.0,
Valparaiso,83.0,
Walpole,83.0,
Paradise,83.0,
Sovereigns,84.0,
Hanover,84.0,
Hansard,84.0,
Northamptonshire,85.0,
the Nortlern Sea,85.0,
Tamworth,85.0,
North,85.0,
Politil,86.0,
Mauritania,86.0,
Neapolitan,86.0,
the United Provinces,87.0,
the United Kingdom,87.0,
Estates,87.0,
the United States,87.0,
Hippocrates,87.0,
the Eil de Beuf,88.0,
the Rue Tronchet,88.0,
the New Poor Lsw,88.0,
Rivoli,88.0,
"the Ruo
Rivoli",88.0,
Birmingham,89.0,
Everingham,89.0,
tin2,89.0,
Nottingham,89.0,
Moorish kingdom,90.0,
The Kingdom of France,90.0,
modemn kingdoms,90.0,
King,90.0,
Kingdom,90.0,
Vienna,91.0,
Ravenna,91.0,
Parlia,92.0,
Parliamentasy,92.0,
Parliamnent,92.0,
Culloden,93.0,
Lucullus,93.0,
Torquamada,94.0,
the Prince Colonna,94.0,
Colonna,94.0,
Madame Colonna,94.0,
Madame B. de R-d,94.0,
Dame,94.0,
Leicestershire,95.0,
Berkshire,95.0,
Hertfordshire,95.0,
Lancashire,95.0,
Troy,95.0,
Yorkshire,95.0,
tnnbibia,96.0,
Arabia,96.0,
"St. Genevievel
coNINGSBY",97.0,
St. Genevievel,97.0,
Geneva,97.0,
NEW GENERAII0N.,97.0,
St. Genevieve,97.0,
St. Gene-,97.0,
"Salt
Hill",98.0,
Philip,98.0,
Aquatics,98.0,
Phillippics,98.0,
beforo,99.0,
Frankfort,99.0,
Forum,99.0,
Infirmary,100.0,
St.,100.0,
Marquess,100.0,
St. Paul,100.0,
St. Mary's,100.0,
Pavia,,
"L 2
22",,
Esq,,
Sedgwick,,
Oswld,,
Mn,,
Egypt,,
HIouse,,
Pitt,,
Jemmy,,
Ixnbe,,
wi,,
Nuovos,,
Phryne,,
snuf,,
Co.,,
MR,,
Jew,,
Argyle,,
Eu,,
Pah1,,
Tokay,,
Pagan,,
Lely,,
inn,,
Si,,
Mexico,,
us,,
Spinoza,,
