text,cluster,cluster_corrected
Studcaster,0.0,
Study,0.0,
Lancaster,0.0,
Waterloo,0.0,
Kingdom,1.0,
King,1.0,
The Kingdom of France,1.0,
Moorish kingdom,1.0,
Kildare,1.0,
"Salt
Hill",2.0,
Hilloa,2.0,
Salt Hill,2.0,
Embassy,3.0,
Ambassa-,3.0,
Earwig,4.0,
Learning,4.0,
Regent,5.0,
Colleges,5.0,
Mlle,5.0,
Venice,6.0,
Munich,6.0,
Richmond,6.0,
the Persian Empire,7.0,
Persia,7.0,
MILLBANK,8.0,
Albany,8.0,
Millbank of Millbank,8.0,
Millbank,8.0,
LONDON,9.0,
London,9.0,
Clarendon,9.0,
Slough,10.0,
Louis Qua-,10.0,
Borough,10.0,
Belgium,11.0,
Leontium,11.0,
Rebello,11.0,
Phillippics,12.0,
Philip,12.0,
Sparta,13.0,
Charta,13.0,
Spain,13.0,
Froissart,13.0,
Bacchantes,14.0,
Canterbury,14.0,
Lepanto,14.0,
Astrachan,14.0,
Arlington Street,15.0,
Downing Street,15.0,
Berlin,15.0,
Monsieur Sidonia’s,16.0,
Sidonia,16.0,
Sidonias,16.0,
Medina Sidonia,16.0,
Naples Sidonia,16.0,
Monsieur Sidonia,16.0,
Siponia,16.0,
Taper,17.0,
Opera,17.0,
Penelope,17.0,
Realm,17.0,
Hall,18.0,
Whitehall,18.0,
Hallam,18.0,
white bait,18.0,
Carlist,19.0,
Carlton Gardens,19.0,
Lisbon,19.0,
conbibio,20.0,
Westmoreland,20.0,
Ireland,20.0,
confiscated Ireland,20.0,
Lucretia,21.0,
the Venetian Republic,21.0,
the Republic of Paris,21.0,
Venetian Republic,21.0,
Victoria,22.0,
Oriel,22.0,
Siponta,22.0,
Brazils,22.0,
Academus,23.0,
Music,23.0,
Isthmus,23.0,
the Holy Land,24.0,
the Lanca-,24.0,
the Holy Sepulchre,24.0,
Holbein,24.0,
Russia,25.0,
Prussia,25.0,
Sussex,25.0,
Irish Secretaryship,26.0,
Ladyship,26.0,
Friendship,26.0,
Hansard,27.0,
Hanover,27.0,
Anon,27.0,
Sovereigns,27.0,
Nuneham,28.0,
Durham,28.0,
Thames,28.0,
Macedon,29.0,
Wimbledon,29.0,
Toledo,29.0,
France,30.0,
Vengeance,30.0,
Frankfort,30.0,
woodland,31.0,
midland,31.0,
Scotland,31.0,
Highland,31.0,
England,31.0,
Jength,31.0,
Monkey Island,31.0,
Poland,31.0,
Cadiz,32.0,
Piccadilly,32.0,
Shabbyton,33.0,
Melton,33.0,
Eaton,33.0,
Palmerston,33.0,
Wotton,33.0,
Brighton,33.0,
Lancashire,34.0,
Berkshire,34.0,
Leicestershire,34.0,
Yorkshire,34.0,
