cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Rigby,Rigbyites,Brighton,Rigbys,,,,,,,,,,,
1,America,DEDICATION,Mexico,Nilotic Africa,Jamaica,Africa,Tamerlane,Cambridge,,,,,,,
2,Berlin,Arlington Street,Carlist,Downing Street,Kildare,,,,,,,,,,
3,Ermengarde,Derby,Carlton Gardens,Jength,Egypt,Aldermen,,,,,,,,,
4,London,Lisbon,Richmond,Clarendon,Babylon,Wimbledon,Lon-,Macedon,conbibio,Jong,LONDON,,,,
5,Hall,Alps,Realm,Hallam,Whitehall,,,,,,,,,,
6,Castle,Caucasus,Studcaster,East,Newcastle,,,,,,,,,,
7,Oxford,Darlford,Bradford,Forum,,,,,,,,,,,
8,the United States,the United Provinces,Providence,Principle,the United Kingdom,white bait,,,,,,,,,
9,the County Chronicle,midland county,the Rue Tronchet,the County of,Munich,,,,,,,,,,
10,Hanover,Nuovos,Sovereigns,Lawgiver,Inferno,Anon,,,,,,,,,
11,Westminster,West India,West,Study,Western Europe,Weston,Westmoreland,Esq,Palestine,Estates,,,,,
12,Maidenhead,Madrid,Adelaide,Blenheim,,,,,,,,,,,
13,Palmerston,Wotton,Loretto,Cottage,Potts,Eaton,Melton,Shabbyton,,,,,,,
14,Phillippics,Hippocrates,Philip,Aquatics,Piccadilly,,,,,,,,,,
15,Leicestershire,Berkshire,Irish Secretaryship,Rebello,Hertfordshire,Ladyship,Lancashire,Yorkshire,Jeremiads,,,,,,
16,Milan,Millbank of Millbank,MILLBANK,Albany,Millbank,,,,,,,,,,
17,St. Petersburg,Burnet,Melbourne,Edinburgh,Lazour,Augsburg,,,,,,,,,
18,Infirmary,Birmingham,Everingham,Nottingham,,,,,,,,,,,
19,Venetian Republic,the Republic of Paris,the green district,the Persian Empire,the Venetian Republic,the Holy Sepulchre,"the Rue
Rivoli",,,,,,,,
20,Lancaster,Duchess,Manchester,Bacchantes,Marquess,Germany,Canterbury,Heroes,,,,,,,
21,Ambassa-,Jemmy,Luxembourg,Embassy,,,,,,,,,,,
22,Temple,Argyle,Wesleyans,Mlle,Wellesley,Naples,Chudleigh,valley,Colleges,Lely,Willesden,,,,
23,Windsor,"Windsor
Park",Windsor rang,,,,,,,,,,,,
24,Saxon,Saxony,,,,,,,,,,,,,
25,M. Ville-,Villebecque,dishabille,Seville,Nile,Millennium,Rossendale,Ill.,,,,,,,
26,Phenix,Venice,Mauritania,San Benito,Benito,Belgium,,,,,,,,,
27,Naples Sidonia,Sidonias,Monsieur Sidonia’s,Sidonia,Medina Sidonia,Siponta,Siponia,Monsieur Sidonia,JT,,,,,,
28,Nuneham,Hades,Nemesis,Thebes,Thames,Durham,,,,,,,,,
29,Jew,New,Hebrews,Nebuchadnezzar,Sydney,Phryne,,,,,,,,,
30,Coningsby,Wellington,Hellingsby,Hellingsley,,,,,,,,,,,
31,Victoria,Pavia,Oriel,Torquamada,,,,,,,,,,,
32,Greeks,Greece,,,,,,,,,,,,,
33,the Prince Colonna,Panama,De Lolme,Mapame Colonna,Colonna,Madame Colonna,,,,,,,,,
34,inn,Spain,Holbein,Sinai,Lais,China,Ferdinand,,,,,,,,
35,Italy,Monmouth,South,Southern Italy,the green mountains,,,,,,,,,,
36,Froissart,Carthage,Hansard,Charta,Sparta,Christchurch,,,,,,,,,
37,the British Isles,Athens,Peninsula,the Spanish Peninsula,,,,,,,,,,,
38,Vengeance,Ravenna,Frenchwomen,Friendship,Frenchmen,Regent,,,,,,,,,
39,St. Paul,n’t,St.,St. John’s,St. Mary’s,St. John,,,,,,,,,
40,Uwins,Earwig,Sedgwick,Wilkie,wi,,,,,,,,,,
41,Roxalana,woodland,Highland,midland,Monkey Island,Neapolitan,confiscated Ireland,Scotland,Languedoc,Ireland,Walpole,the Holy Land,Poland,England,Liverpool
42,Isthmus,Tus,Sussex,Music,Jerusalem,Austria,us,Academus,,,,,,,
43,St. James,"St. James’s
Square",St. James’s,St. James’ Street,"St. James’s
Street",,,,,,,,,,
44,Lyndhurst,Granada,France,Trautsmandorff,Grand Cairo,Astrachan,Strand Coffee-,Hindostan,Ministry,Mediterranean,Strand,,,,
45,Troy,Pembroke,Brocas,Brazils,brook,britska,,,,,,,,,
46,Lima,Manhood,Rome,Mahomet,,,,,,,,,,,
47,Tn,Gazette,Waterloo,Watteau,,,,,,,,,,,
48,Louis Qua-,Borough,Slough,,,,,,,,,,,,
49,Northamptonshire,Spinoza,Frankfort,Tamworth,Althorp,the Northern Sea,North,,,,,,,,
50,Lucretia,Club,Lucca,Culloden,Lucullus,,,,,,,,,,
51,Prussia,Russia,,,,,,,,,,,,,
52,Byron,Lazaroni,Throne,Arragon,Barcelona,Barony,,,,,,,,,
53,Valparaiso,Paris,Israel,Cadiz,Paradise,Arabia,,,,,,,,,
54,Park,the Lock Pool,the Lanca-,the Upper Park,Hyde Park,the Lower Park,,,,,,,,,
55,Moorish kingdom,The Kingdom of France,King,Kingdom,Learning,,,,,,,,,,
56,Hilloa,Baltic,"Salt
Hill",Salt Hill,,,,,,,,,,,
57,Penelope,Persia,litera,Taper,Europe,Opera,,,,,,,,,
58,Toledo,Pagan,Leontium,Lepanto,,,,,,,,,,,
59,St. Gene-,St. Geneviéve,Vienna,Geneva,St. Genevieve,,,,,,,,,,
