text,cluster,cluster_corrected
Sepr,-1,
whether he be a monk in his cloister,-1,
Miserable,-1,
dour,-1,
Valparaiso,-1,
ceeding,-1,
acquired without an effort,-1,
Carthage,-1,
"and for which she
had projected a new dress of eclipsing",-1,
Hindostan,-1,
Those who were convicted of secret Judaism,-1,
dividing very nervously some grapes,-1,
L2,-1,
time at Eton,-1,
its banks,-1,
"tected in these public declarations some in-
timation of new views",-1,
fears,-1,
"dressed ina
style of ultra fashion",-1,
spell-bound,-1,
affectionate,-1,
and her love,-1,
beyond,-1,
"throughout the district that
surrounded Beaumanoir",-1,
English,-1,
tell me what,-1,
the Palace,-1,
a3,-1,
He rallied Mr.,-1,
A cheese,-1,
well that not,-1,
fortunes of Coningsby,-1,
both waiting with equal,-1,
"than a hall of
chivalry",-1,
Biron,-1,
and from which the,-1,
"and only taking the air
by way of",-1,
Send,-1,
pervaded all things,-1,
"and recog-
nised an order as the order of the Nobility",-1,
"and a horseman at full
speed",-1,
very rarely do they occasion one,-1,
unfulfilled,-1,
"and a good number of
boys in lounging",-1,
"its opposite bank
the boundary of",-1,
silence—,-1,
which he opened,-1,
Banie,-1,
superior to that of a sponge or,-1,
may be corrupt,-1,
nic power,-1,
Corporals,-1,
perplexing,-1,
silver-sounding,-1,
without their illus-,-1,
"least injured
you",-1,
"will come
and see you every",-1,
temperance,-1,
which were of course merely,-1,
every place is,-1,
Grand Cairo,-1,
Circumstances,-1,
Never,-1,
"just and relentless in an open jury of their
countrymen",-1,
"abounding in all the qualities
of the",-1,
Mnr,-1,
tinued until within three fields of home,-1,
Czar,-1,
"and Rowland Hill the devisor of the
cheap postage",-1,
These kept somewhat,-1,
Ravenna,-1,
Agincourt,-1,
Luxury,-1,
lion’,-1,
Adventures,-1,
developed itself,-1,
"Palmer it was Buck-
hurst",-1,
wife’,-1,
which drove the Czar,-1,
every device that,-1,
She,-1,
Above all,-1,
"The City
of London",-1,
so suc-,-1,
contradicted Buckhurst,-1,
"but those were words
and dreams",-1,
oO,-1,
"and that
he ought to seize the opportunity of",-1,
mons,-1,
and eloquent,-1,
divided,-1,
forth,-1,
weeping women,-1,
that flash,-1,
Duchess,-1,
"subsisted between him and the former object
of his concealed tenderness",-1,
"instead of your imagination for all those dazzling
and interesting objects that make the inex-
perienced restless",-1,
of a brain,-1,
"and debating which was to form the
subject of Coningsby’s drawing",-1,
somewhat earlier than usual to his chamber,-1,
when a youth of still tender,-1,
A West,-1,
instentancously vanish,-1,
article—,-1,
lishman,-1,
and unpretending,-1,
Sapngss,-1,
the Tartar,-1,
Treasury,-1,
Whites’,-1,
Almacks,-1,
Thebes,-1,
"whether it be looked on as
a premature movement",-1,
and park,-1,
devoted to each other,-1,
"gardens of which his niece was par-
ticularly fond",-1,
Townshend,-1,
“and though there is still,-1,
He felt as an Egyptian,-1,
"and energy and vivacity of
mind",-1,
Eto-,-1,
very justly,-1,
their friend of Rome and Paris,-1,
berry-leaf,-1,
self-complacency spread,-1,
Saracens,-1,
for who,-1,
Olynthians,-1,
"though formal and monoto-
nous in its general character",-1,
Grisi,-1,
"A masked battery of cannister and grape could
not have",-1,
stirrup-leathers,-1,
Enlightened-Spirit-of-the-Age,-1,
"the sunny glade
and the solemn avenue",-1,
which city,-1,
Mendelsohn,-1,
During,-1,
"situate in beautiful gardens on the banks of the
Thames",-1,
If,-1,
"in amusing that young
lady",-1,
she curtseys,-1,
and placed her arms round his neck,-1,
brooking familiarity,-1,
H 2,-1,
Liverpool,-1,
Amid,-1,
He assured Coningsby that the Church,-1,
The wooded heights,-1,
the Christopher,-1,
the Malayan,-1,
already well beneficed,-1,
Loretto,-1,
and in which he possessed considerable,-1,
Schedule A,-1,
profound,-1,
gave place to his intelligence,-1,
and you might often,-1,
He held forth his hand,-1,
and he speaks,-1,
ingenousness,-1,
and leaning,-1,
Marquess of Monmouth,-1,
Nor,-1,
her curiosity,-1,
the King,-1,
Tn,-1,
Reform is not such,-1,
Or,-1,
Desperate necessity,-1,
Potts,-1,
sented,-1,
talent—,-1,
Caput Apri,-1,
Rue Tronchet,-1,
Senor Mendizabel,-1,
"sys-
tem of England is in infinitely",-1,
"Nor could he indeed by any combination see
the means to extricate himself from the perils
that were encompassing him",-1,
the Ecclesiastical,-1,
tea-tray,-1,
Pah,-1,
Archbishop Usher,-1,
"I am very happy

42",-1,
Notuine,-1,
their followers that which,-1,
history of Church,-1,
Western Europe is organized and,-1,
when she knew that marriage was impossible,-1,
and a few others,-1,
least an on-dit,-1,
knew so many worthless,-1,
Kangaroo Grey,-1,
Institute where there were a library and,-1,
into a hall of great dimensions,-1,
with an insinuating smile,-1,
Isabel,-1,
"the wild fowl covered the
waters of a lake",-1,
amount,-1,
Cam~-,-1,
timbered park,-1,
spair was a revelation of intrinsic strength,-1,
avenue Marigny,-1,
Althorp,-1,
Marquisate,-1,
"and a coat of broad cloth for every

n 3

274",-1,
beneath his knee,-1,
was free,-1,
Speaking,-1,
"by a thousand little arts
by which he carved out work for Gay which",-1,
"St. John really made
his escape and retired to",-1,
Espinasse or,-1,
young,-1,
forth all that had occurred,-1,
although all bowed before her,-1,
prevented him often,-1,
"throughout every circle
of Parisian society",-1,
principle and expediency,-1,
"and Caryatides
carved in dark oak",-1,
fresh from Eton,-1,
Marshal than he has of being,-1,
Spaniard,-1,
every hearth,-1,
very bitterly when,-1,
Toryism,-1,
Turning,-1,
"whose name
I",-1,
tis not I only,-1,
Everything,-1,
"neck with the fondness of
remorse",-1,
knibbing their pens,-1,
"the Whigs were
obliged to make",-1,
heartedness,-1,
places at Court,-1,
"every intimation that was
necessary",-1,
"Certainly
Manchester is the most wonderful city of modern
times !",-1,
who seating himself by her side,-1,
Shirley Park,-1,
"at a great family congress held at
Naples",-1,
which,-1,
yataghan,-1,
Chudleigh,-1,
little foreseeing what,-1,
with tranquillity,-1,
Rue St. Florentin,-1,
Milor,-1,
Northern,-1,
small park which was table land,-1,
sagacity in council,-1,
"least
for the",-1,
every subject which can interest the public mind,-1,
"the frenzied hope that
blends inevitably with absolute ruin",-1,
their habitual tone,-1,
hated,-1,
Besides,-1,
really have thought it would be yours,-1,
Biggs,-1,
Con-,-1,
friend’,-1,
"the Arabian tribes rank in the first
and superior class",-1,
debt—,-1,
