text,cluster,cluster_corrected
Opera,0,
Seltzer,0,
Taper,0,
Europe,0,
Penelope,0,
Brazils,0,
the Borough of Shabbyton,1,
Shabbyton,1,
"the
       Borough",1,
Infirmary,2,
Inferno,2,
Marquess,2,
St. Mary's,2,
Frenchmen,3,
"the
       Establishment",3,
Providence,3,
Frenchwomen,3,
St. James,4,
Jamaica,4,
St. James',4,
St. John,4,
St. Leger,4,
St. James's,4,
Nemesis,4,
Carlton Gardens,5,
Cardiff,5,
Ermengarde,5,
Hansard,5,
Melton,5,
Berkshire,6,
Lancashire,6,
Yorkshire,6,
Ladyship,6,
Park,7,
Hyde Park Place,7,
Kildare,7,
Sparta,7,
the Upper Park,7,
Earwig,7,
Pagan,7,
Paris,7,
valley,8,
Seville,8,
Willesden,8,
Mlle,8,
Hilloa,8,
Nile,8,
Colleges,8,
dishabille,8,
the County Chronicle,9,
the Rue Tronchet,9,
Lazaroni,9,
the County of,9,
Rigbys,10,
Rigby,10,
Rigbyites,10,
Blenheim,11,
Wimbledon,11,
Macedon,11,
Lima,11,
Toledo,11,
Sedgwick,11,
Astrachan,12,
Bacchantes,12,
Antwerp,12,
Canterbury,12,
the green district,13,
the green mountains,13,
Greece,13,
Austria,13,
Naples,14,
Temple,14,
Naples Sidonia,14,
Russia,15,
Embassy,15,
Prussia,15,
us,15,
Castle,16,
East,16,
Studcaster,16,
Newcastle,16,
the Republic of Paris,17,
"the
       Republic of Paris",17,
the Venetian Republic,17,
esq,18,
Esq,18,
Sèvres,18,
MR,18,
Arlington Street,19,
Berlin,19,
Brook Street,19,
Downing Street,19,
Millbank,20,
Milan,20,
Albany,20,
Hall,21,
Whitehall,21,
white bait,21,
Whites,21,
Italy,21,
Monmouth,22,
South,22,
Youth,22,
the Holy Land,23,
Languedoc,23,
Roxalana,23,
woodland,23,
England,23,
Ireland,23,
midland,23,
Monkey Island,23,
Scotland,23,
Belgium,23,
Westmoreland,23,
Lyndhurst,24,
Christchurch,24,
Archbishop,24,
Brocas,25,
Cairo,25,
Brocas with Vere,25,
Caucasus,25,
Pembroke,25,
St. Petersburg,26,
Edinburgh,26,
Augsburg,26,
St. Petersburgh,26,
"St.
       Petersburg",26,
France,27,
The Kingdom of France,27,
the Kingdom of France,27,
King,27,
Kingdom,27,
Vengeance,27,
Jerusalem,28,
Sovereigns,28,
Jeremiads,28,
Lucretia,28,
Jemmy,28,
Cambridge,29,
britska,29,
Madrid,29,
Heroes,30,
Mediterranean,30,
Manchester,30,
Duchess,30,
Westminster,30,
Nilotic Africa,31,
Althorp,31,
Baltic,31,
Realm,31,
Aquatics,31,
Venice,32,
Tokay,32,
Phoenix,32,
San Benito,32,
the San Benito,32,
Tamerlane,33,
Thames,33,
Amersham,33,
Durham,33,
Palmerston,33,
Nuneham,33,
Geneva,34,
St. Geneviève,34,
Sydney,34,
Sidonias,35,
Medina Sidonia,35,
Monsieur,35,
Sidonia,35,
Monsieur Sidonia's,35,
Monsieur Sidonia,35,
Barnes,36,
Burnet,36,
Melbourne,36,
Luxembourg,36,
Lucca,37,
Piccadilly,37,
Cadiz,37,
Spain,38,
Sinai,38,
China,38,
Ferdinand,38,
Knowsley,39,
Wesleyans,39,
Peninsula,40,
Windsor,40,
Uwins,40,
inn,40,
Alps,41,
Egypt,41,
Israel,41,
Valparaiso,41,
Paradise,41,
Arabia,41,
Northamptonshire,42,
Tamworth,42,
North,42,
the Northern Sea,42,
Frankfort,42,
Panama,43,
Isthmus,43,
the Isthmus of Panama,43,
Thebes,44,
the United Provinces,44,
Athens,44,
"the United
       Kingdom",44,
Estates,44,
the United States,44,
Birmingham,45,
Potts,45,
Everingham,45,
Spinoza,45,
Nottingham,45,
Anon,46,
Lisbon,46,
Constitution Hill,46,
Arragon,46,
Babylon,46,
Condottieri,46,
Clarendon,46,
Richmond,46,
London,46,
Barcelona,46,
Metropolis,47,
Mahomet,47,
Froissart,47,
Mexico,47,
Rome,47,
Saxony,48,
Saxon,48,
Hindostan,49,
Notwithstanding,49,
Oriel,49,
Standfield,49,
Coningsby,50,
Wellington,50,
Hellingsley,50,
Hellingsby,50,
De Lolme,51,
Torquamada,51,
Granada,51,
Vienna,51,
The Prince Colonna,51,
Madame Colonna,51,
Watteau,52,
Liverpool,52,
Waterloo,52,
Bradford,53,
Darlford,53,
Forum,53,
Oxford,53,
