cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
-1,wy,sf ks,"L
II",lille,erie,tn,Nc,mn,ny,us,Canada,nhl,Sturgis
0,Wild,"Wild
east",wi,,,,,,,,,,
1,inn,Inn,,,,,,,,,,,
2,thou,Thou,Thon,,,,,,,,,,
3,Manchester,chester,manchester,hesse,,,,,,,,,
4,noiselesaly,el,,,,,,,,,,,
5,pasrl,"na pa
ut",,,,,,,,,,,
6,CALIFORNIA,Halifax,palin,,,,,,,,,,
7,u mOrn,morn-,,,,,,,,,,,
8,Davenport,Liverpool,,,,,,,,,,,
9,Waterloo,the United States,ITem,Yates,,,,,,,,,
10,beenme,aden,me1,,,,,,,,,,
11,Lancashire,blanca.,england,,,,,,,,,,
12,mannar.,mars,Samaritan,Infirmary,,,,,,,,,
13,Barton,ns nevar,Needs,,,,,,,,,,
