cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5
0.0,Fahrmann,the Isle of Man,the United Stated,the’gown,Isle,the John Copper
1.0,Buckinghamshire,Lancashire,Ritling,Yorkshire,,
2.0,Foolishest,chester,Waterloo,Manchester,,
3.0,Barton,Skelton,Liverpool,,,
4.0,America,Richer,"mercy,—he",,,
5.0,London,lOndon,,,,
6.0,Mrs.!Davenport,Davenport,,,,
7.0,Old England,England,Glasgow,,,
8.0,Westmoreland,Cumberland,Wesse,,,
9.0,Golden,Providence,,,,
10.0,OLDHAM,Oldham,,,,
11.0,Newson,Continent,Toronto,,,
12.0,Portugal,de Portugal,,,,
13.0,Halifax,CALIFORNIA,before’em,,,
14.0,New Bailey,thou,Blackthorne,Thou,,
