text,cluster,cluster_corrected
Foolishest,0,
thou,0,
Manchester,0,
Oldham,0,
Waterloo,0,
England,0,
the’gown,0,
the United Stated,0,
Glasgow,0,
Golden,0,
Old England,0,
the Isle of Man,0,
Richer,0,
Buckinghamshire,0,
Yorkshire,0,
the John Copper,0,
Lancashire,0,
chester,0,
OLDHAM,0,
Blackthorne,0,
Thou,0,
Cumberland,0,
Westmoreland,0,
Fahrmann,0,
America,1,
Toronto,1,
Isle,1,
inn,1,
Providence,1,
Continent,1,
Christ,1,
Halifax,1,
Holyhead,1,
Ritling,1,
Rose,1,
Portugal,1,
n’t,1,
know-,1,
Goptaatt,1,
Newson,1,
Davenport,1,
Liverpool,1,
St. Patriot’s,1,
New Bailey,1,
Death,1,
CALIFORNIA,1,
Jew,1,
Barton,1,
London,1,
Clem,1,
Willows,1,
Sophy,1,
Sorrowfully,1,
LEIPZIG,1,
beaux,1,
lOndon,1,
Alnaschar,1,
Helen,1,
before’em,1,
Mrs.!Davenport,1,
"mercy,—he",1,
Skelton,1,
TA,1,
Tellme,1,
wi,1,
Wesse,1,
China,1,
Canada,1,
de Portugal,1,
Borgia,1,
