cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6
0,America,Merrica,St. Patrick’s day,"mercy,—he",Mexico,,
1,belize,Tellme,beaux,,,,
2,Davenport,Mrs.!Davenport,Liverpool,Oi've,,,
3,Barton,Stilton,Skelton,Baltic,Toronto,Bastille,
4,Rose,Gorse,n’t,Providence,Sorrowfully,wy sk,
5,Canada,Reynard,Lancashire,Yorkshire,Buckinghamshire,Iran,
6,London,lOndon,,,,,
7,CALIFORNIA,before’em,Halifax,Salford,,,
8,oldham,Oldham,,,,,
9,Sophy,Wilson,wi,,,,
10,Cumberland,Sankey,England,Glasgow,Westmoreland,Old England,poland
11,LEIPZIG,Helen,wales,New Bailey,Isle,the Isle of Man,
12,Death,thou,Holyhead,Thou,,,
13,Nota,Goptaatt,,,,,
14,Sturgis,Borgia,,,,,
15,China,Continent,Fahrmann,inn,,,
16,Waterloo,Manchester,Christ,Coasts,the United States,Richer,chester
17,Baghdad,quay,Bombay,,,,
