text,cluster,cluster_corrected
"Jem,—it",0,
"innocent,—it",0,
"after,—I",0,
"seen,—if",0,
"victim,—he",0,
"him,—dearest Jem",0,
Manchester,1,
Aber,1,
Chester,1,
"mercy,—he",1,
Chaucer,1,
Christ,1,
Hercules,1,
fra Manchester,1,
Foolishest,1,
Yates,1,
Jupiter,1,
Waterloo,1,
the Isle o' Man,2,
the Isle of Man,2,
Chatham Island,2,
the Isle of Wight,2,
the Malacopterygii Abdominales,2,
Isle,2,
Nearer,3,
Infirmary,3,
"Margaret,—he",3,
Mary,3,
Samaritan,3,
Hood,4,
there.—Thou,4,
Thou,4,
thou be'st,4,
Thee'll,4,
Milnthorpe,4,
thou,4,
Toronto,5,
Baltic,5,
Stilton,5,
Burton,5,
Barton,5,
BARTON,5,
Boston,5,
"thing,—I",6,
India,6,
Ritling,6,
China,6,
Alnaschar,6,
Una,6,
Rhyl,7,
Sophy,7,
Wales,8,
Sheffield,8,
Helen,8,
TRAVELLER,8,
Heimweh,8,
East,9,
Canada,9,
Lancaster,9,
Lancashire,9,
Canterbury,9,
Newcastle,9,
France,9,
US,10,
Brennus,10,
Faust,10,
Kerhonah,11,
LONDON,11,
London,11,
Byron,11,
Moated Grange,12,
Sultan,12,
japan,12,
Cumberland,12,
England,12,
Westmoreland,12,
Bigland,12,
"friend,—my",12,
Glasgow,12,
Ireland,12,
Sankey,12,
"yet,—oh",13,
"man,—Oh",13,
Whitsun-week,14,
Whitsun,14,
St. Patrick's,15,
Quakers,15,
Africa,15,
Ephemeridæ,15,
America,15,
South America,15,
MR,16,
Ogdens,17,
Providence,17,
Eden,17,
Truth,18,
North,18,
North and South,18,
South,18,
U. S.,18,
Bury,19,
Dunham,19,
Oldham,19,
Halifax,19,
Sturgis,19,
Nottingham,19,
Hamburg,19,
the Great Pacific,20,
beaux,20,
Satyr,20,
Death,20,
oi'm,20,
Sabbaths,20,
Borgia,21,
wi,21,
Holyhead,21,
Holborn,21,
Oxfordshire,22,
Buckinghamshire,22,
Yorkshire,22,
Yo're,22,
Davenport,23,
Liverpool,23,
LIVERPOOL,23,
the broad sea,24,
Roscoe,24,
Sorrowfully,24,
Rose,24,
New Bailey,25,
Newton,25,
New Brighton,25,
"right,—I",25,
Corinth,26,
Runcorn,26,
Salford,26,
morocco,26,
concord,26,
Continent,26,
Brummagem,27,
ill brook,27,
Pembroke,27,
Madeira,28,
Fidelia,28,
mid-sea,28,
Creseide,28,
