text,cluster,cluster_corrected
Las,0,
la,0,
CI,0,
Bouaoir,0,
Was1,0,
REason-,0,
Ill,1,
ZZ,1,
Glib,1,
Iliad,1,
I1t:5,2,
I1l,2,
Golden,3,
Wooden,3,
Woadenton,3,
Greenwood,3,
China,4,
Sin1,4,
Inn,4,
Desire,4,
Boosing,4,
Orlenul,5,
Orphan,5,
XIX.-Morning,5,
oR0,5,
Abrantanl,6,
an4d,6,
SANTA,6,
London,7,
"Gamestes
CUrLY.-TH Eenslon",7,
sont,7,
LONDON,7,
LoNDON,7,
el,7,
Constisulonal anne,7,
Glow Town,7,
us,8,
Husband,8,
ODious-,8,
Us,8,
US,8,
AlMost,9,
Vsu,9,
ST,9,
Caataleiealn,9,
WI,10,
wi,10,
"Corner
CLAY.-Tha",11,
Discory,11,
sc,11,
paris,12,
Paris,12,
Marian,12,
america,12,
your'Ah1 RighT,12,
Need,13,
Mi,13,
III.-Hoped,13,
Woolcut,14,
Waoodcuton,14,
Woodcuton,14,
Woolcuton,14,
Wooauton,14,
R3,15,
Markham,15,
hamlin,15,
Black Chamber,15,
Mlarkham,15,
"Conversation
IN.-A City",16,
Manon,16,
Ll Vernon,16,
Vernon,16,
