text,cluster,cluster_corrected
MARKHAM,0,
+ Markham,0,
Markharn,0,
Markhar,0,
Married Markham,0,
Markhain,0,
Markham Plios,0,
Murkhau,0,
Markham,0,
Refuge Markham,0,
Rich Markham’s,0,
Rice Markham,0,
Markham Place,0,
Eliza Snowy,1,
Miza,1,
know-,1,
Eliza Ssducy,1,
Elizabethan,1,
Soethampton,2,
Northampton,2,
Thames,2,
Brompton,2,
Southampton,2,
Myriad,3,
£va,3,
Syria,3,
Victoria,3,
Lower,4,
Lower Union,4,
elysian bower,4,
the Tower Hamlets,4,
barat,5,
tara,5,
Rattlosnake,5,
Kilbarn,5,
ain’t,6,
Spain,6,
n’t,6,
don’t,6,
Plain,6,
handkerchiefs,7,
Orphan,7,
Church,7,
Hands,7,
Lis,7,
Black,8,
"Deep
black",8,
Blackheath,8,
the Black Eagle,8,
the Lackey Round,8,
the Black Tower,8,
Black Chamber,8,
Lilac,8,
Cambridge,9,
Cambridgeshire,9,
Judges,9,
Knightsbridge,9,
MR,9,
fort,10,
Beaufort,10,
Effort,10,
Misfortunes,10,
Tilbury Fort,10,
ha'forth,10,
Fort,10,
Frankfort,10,
fortin,10,
Port,10,
East,11,
the East a few weeks ago,11,
the East Winds,11,
the East Indians,11,
"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",11,
"the Holy Land,§",12,
"the Holy
Land",12,
the Holy Land,12,
NEED,12,
Dalston,13,
Palmerston,13,
Maidstone,13,
Manon,14,
Germany,14,
oman,14,
Bazzano,14,
Id.,15,
Stockholm,15,
Holmesiord,15,
Pocket,15,
Somers Town,16,
Globo Town,16,
Globe,16,
Glove Town,16,
Short Town,16,
Camden Town,16,
Globe Town,16,
Mute,16,
Globo,16,
Yeiglod,16,
Sweden,17,
Camden,17,
dresden,17,
Wanton,18,
Wigginton,18,
Levante,18,
Pentonville,18,
France,19,
france,19,
FRANCE,19,
wrang,19,
England,20,
ENGLAND,20,
Old England,20,
Englishinen,20,
SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,21,
Essex,21,
Masses,21,
Gipsie,21,
Egertou,22,
Alberto,22,
euch,22,
ms’am,22,
Albeit,22,
Pomberton,22,
Herbertstcin,22,
il,22,
No:—through,23,
Harborough,23,
Marlborough,23,
Scarborough,23,
Haroorough,23,
Borough,23,
Cecilia Scarborough,23,
Harborough to-day,23,
Harborongh,23,
"the New
Road",24,
the North Pole,24,
Bay road,24,
the New Cut,24,
Giltspur,25,
Brick Lane,25,
"Thick Lane,§",25,
La la,25,
Brick-lane,25,
Drury Lane,25,
Hare,26,
Harpy,26,
Harriet,26,
Charlotte,26,
norway,27,
Normandy,27,
Norfolk,27,
Medway,27,
rotrievo,28,
Jeemetries,28,
Iwroteto,28,
langham,29,
Birmingham,29,
"s0-
city",30,
City,30,
Vanity,30,
Esq,30,
splendours city,30,
City-,30,
mighty city,30,
Westminster,31,
Westminster Abbey,31,
Kidderminster,31,
Benstead,31,
agruff,32,
yonder grove,32,
Yonder,32,
Prove-,32,
Flairer,33,
Murmur,33,
Flamma,33,
Lament,33,
Lambeth,33,
Fobruary,34,
Labrador,34,
Febraary,34,
Brazil,34,
Bohemia,34,
Febivary,34,
Mule,35,
Hercules Passage,35,
"Kentish
Town",36,
Kentish,36,
Kentish Town,36,
"Kentish

'",36,
Aurentin,36,
Penitentiary,36,
Jostling,37,
Hamlin,37,
post|,37,
Finsbury Pavement,38,
Finsbury,38,
Finsbarj,38,
Bloomsbury,38,
"Finsbury
Pavement",38,
Lothbury,38,
belvidere,39,
side6,39,
his’n,39,
Belvidere,39,
Derby,39,
Cingani,40,
Cinganl,40,
Dover,41,
Hanover,41,
Sovereigns,41,
Govern-,41,
bees’-win,42,
does’t,42,
Coburg Gotha,43,
Gotha,43,
Tooth,43,
New Caledonia,44,
New York,44,
New Itoad,44,
NEW EPOCH,44,
York,44,
Refuge,45,
huge;piece,45,
deceasod,45,
Laficur,45,
"inmates,—a",46,
"pursuits,—yes",46,
Eastern Counties Railway,47,
the County of,47,
thecount,47,
the Counts Horn,47,
the Colonies,47,
the Casualty Ward,47,
Scold,48,
Score,48,
Old Drury,48,
Colonies,48,
Cold,48,
Boulogne,49,
Cologne,49,
Dundulo,49,
Boulogne-sur-Her,49,
Sawboues,49,
Paris Villages,50,
Paris,50,
dauris,50,
paris,50,
Field Mar,51,
Titchfield,51,
Field Oflicer,51,
Spitalfields,51,
Fields,51,
qu’il,51,
Field,51,
Sheffield,51,
Yes:—in,52,
Vornon,52,
Vernon la,52,
Duvernay,52,
Vernon,52,
Nevernave,52,
inn,52,
VERNON,52,
Liberty Vernon,52,
Satan,53,
Sultan,53,
Séilligalee,54,
Skilligalee,54,
Leeds,54,
"the brook
gale",54,
Illustrious,55,
Austria,55,
District,55,
Sesostris,55,
"sir,—I",56,
"you,—if",56,
"Pacific,—I",56,
"low,—I",56,
us,56,
"work,—it",56,
"it,—I",56,
The Lobster Tavern,57,
tothe Lobster Tavern,57,
the Lombardy Arms,57,
I|,57,
"bed,—not",58,
"protfered,—a",58,
"devised,—he",58,
"you,—not",58,
M3,59,
Liquor,59,
Banks,60,
flank,60,
Millbank,60,
nisatbanar San,60,
Husband,60,
Arlington London,61,
Babylon,61,
LONDON,61,
THE MY6SERIES OF LONDON,61,
london,61,
London,61,
Egdon,61,
India,62,
Appendia,62,
West Indian,62,
Indicated,62,
Organ,63,
Georgia,63,
Mira,63,
DUNGEON,63,
Georgian,63,
Sacha,64,
Rechabites,64,
Woolwich,65,
Wooleut,65,
Wooloomooloo,65,
Sea,66,
automaton,66,
Seaton,66,
"seat,—“it",66,
Break,67,
Jew,67,
BREAKFAST,67,
Breakfast,67,
Speak,67,
St. Leger,68,
sa0et,68,
St. Luke's,68,
St.,68,
St. Prick,68,
St. James's,68,
St. Pancras,68,
Tossed,69,
Moss,69,
Jossica,69,
thick-,70,
Thick,70,
the thick grove,70,
Middlesex,71,
Middlesex Sheriffs,71,
Middle,71,
"the Old
Barley",72,
Barley,72,
the Old Very,72,
Watson,73,
Dawson,73,
Parsonage,73,
sont,73,
Ferdinand,74,
Fitshardinge,74,
Sardinia,74,
Li,74,
tune;—bat,75,
Maikbatou,75,
Malklatoun,75,
Stout,75,
"her,—she",76,
"Jupiter,—Leda",76,
"daughter,—to",76,
Faugh,76,
"her,—to",76,
"monster,—I",76,
Griffin,77,
Coffin,77,
Bsq.,77,
Kathorin,78,
Kathlecn,78,
Katucriue,78,
’s,78,
Stephen,79,
phenix,79,
Stephens,79,
queens,79,
Stepbens,79,
n0,79,
Soap,79,
Prisons,80,
New Prison,80,
Imprisonment,80,
Aldgate,81,
Newgate,81,
Hate,81,
Ramsgate,81,
Dr,81,
Margate,81,
Monton,82,
Montecuculi,82,
Montague,82,
Edmonton,82,
Beaumont,82,
gulf,82,
Bosumont,82,
@Montecueuli,82,
Birchin,83,
Lewed,83,
Hutchinson,83,
China,83,
S$.,83,
china,83,
Butler,84,
Scuttle,84,
Calcutta,84,
\little,84,
Butts,84,
the Happy Valley,85,
Valley,85,
Talleyrand,85,
Buckley,85,
"St.
Petersburg",86,
Strasburg,86,
Edinburgh,86,
Mi,86,
Yehiete,86,
Great Britain,87,
Britain,87,
"Curtain Smile
Dapper",87,
Receiving Ward,88,
Spring Garden,88,
Spring Gardens,88,
Spring-Gardens,88,
"the Zoological
Gardens",88,
Spring-,88,
"Spring
Gardens",88,
Convent Garden,88,
lodgings,89,
King,89,
Kingsdown,89,
Macquario,90,
Ne,90,
Macquarie,90,
Port Macquarie,90,
Macquaria Harbour,90,
Strong Hill,91,
trois,91,
Strong,91,
Byron,91,
Ellen,92,
TELL,92,
Hell,92,
Isavella,92,
Camberwell,92,
Sellis,92,
Gibbs,93,
Carribbee Islands,93,
scribabie,93,
the Carribbee Islands,93,
Carriage,93,
SANTA CARE,94,
Scrofula,94,
Santa Croce,94,
Santa-Croce,94,
Santa-Croco,94,
SANTA,94,
El'en,95,
Sheriffs,95,
Sheridan,95,
Inudanum,95,
Imperative,96,
Fever,96,
River,96,
Liverpool,96,
Lived,96,
Girton,97,
Grafton,97,
Gradus,97,
Grand,97,
Buton,97,
lyre,97,
Brixton,97,
Berlin,98,
Switzerland,98,
Oberland,98,
Cumberland,98,
Saint,99,
"Saint
Nepomecenus",99,
Saint John's,99,
appoint~,99,
Saint Sepulebre's,99,
Saint Joana,99,
West-End,100,
West,100,
west.,100,
"Castel
Gicala",101,
Custeleicala,101,
Leipzig,101,
I.S.,101,
Casteleicala,101,
Castelelcala,101,
Castelricala,101,
Cesteeicale,101,
Castcleicala,101,
Casteletcala,101,
Castel,101,
Casteleicalan,101,
Staffordshire,102,
&c.,102,
Staffordshi,102,
Stafford,102,
Castle,103,
XX,103,
"Castle
Ghichor",103,
Cast,103,
CasrEzcroaza,103,
was’t,103,
Bustle,103,
Mark~,104,
"Mark
ham",104,
Marklam,104,
Clare Market,104,
Leadenhall Market,104,
AMarkbam Place,104,
Dark,104,
Petrarca,105,
Transylvania,105,
Trafalgar,105,
Garlick,105,
Las,106,
Glasgow,106,
las,106,
Australia,107,
Strand,107,
Anstralia,107,
Central,107,
"ma
Bistrates’",107,
Imagine,108,
Leg,108,
Legino,108,
methodist,109,
Hounslow,109,
thou,109,
Aus,110,
US,110,
XXII,110,
Cause,110,
Kinds,111,
indus,111,
"kind,—a",111,
in'a,111,
Windsor,111,
Mind,111,
Bacon Rupert,112,
Richmond,112,
monaco,112,
Monaco,112,
Armonia,112,
Sydney,113,
Standard Sydney,113,
Pliza Sydney,113,
Eliza Sydney,113,
ELIZA SYDNEY,113,
SUBTERRANEAN,114,
"the Mediterranean

Sea",114,
the Dead Sea,114,
Brussels,115,
Brummagem,115,
Sussex,115,
Joosely,115,
MYSTERIES,116,
nfoleastere,116,
Gloucester,116,
chester,116,
Manchester,116,
Rochester,116,
Amsterdam,116,
Gamester,116,
Chichester,116,
SMITHFIELD,117,
Smithfield Market,117,
Smithfield,117,
Cape Horn,118,
Cape,118,
"Cape
Horn",118,
Adolino,119,
Adeline,119,
Madeira,119,
Adelino,119,
Belinda,119,
Adelaide,119,
Capital,120,
Italy,120,
unsucceafaly,120,
crystal,120,
Journey Nereuerm Italy,120,
Melton,121,
melt-,121,
Gilt-,121,
Mameluke,121,
King Zingary,122,
Teynbam,122,
Zingarces,122,
Zingary,122,
Zingaress,122,
Zingari,122,
Hungary,122,
Zingarees,122,
"it,—when",123,
"danger,—when",123,
"disease,—which",123,
the City Road,124,
the City of London,124,
"the

  

 

 

   

City",124,
the City,124,
the Island of the City,124,
The City,124,
"the

 

 

  

 

 

 

Cecilia",125,
Gecilia,125,
Ceciiia,125,
Cecilia,125,
Cecili,125,
"Lady
Cecilia",125,
Carté,126,
écarté,126,
mart,126,
"Lone
don",127,
One'of,127,
Veronezzi,127,
Sawbones,127,
Twickenham,128,
Tokenhonse,128,
Pakenham,128,
Tottenham,128,
"Salt
David's",129,
St. David’s,129,
"St, David’s",129,
St. David's,129,
Saint David's,129,
S01,130,
"treasure,—he",130,
"pleasure,—nay",130,
"nature,—if",130,
"Answer Wild
Clock",131,
"in,—a",131,
"wildly,—at",131,
Old Bailey,132,
Secret,132,
po,132,
nile,132,
Vile,132,
Smile-,132,
Quakers,133,
Quad-,133,
"Qavendish
Square",133,
Mr,134,
Turn,134,
Picture,134,
TuRN,134,
au rome,135,
Rome,135,
rome,135,
Somersetshiro,136,
Berkshire,136,
Somersetshire,136,
Somersetahire,136,
Lancashire,136,
Casteicicala,137,
Casielcicala,137,
Jastelcicala,137,
swan,137,
the State of Castelcicala,137,
Eustelicala,137,
telcicala,137,
Castolcicalan,137,
Castelcicala,137,
Castelicicala,137,
Castolcicala,137,
Custelcicala,137,
A!—the United State,138,
the Roman State,138,
the United State,138,
loaf:—it,138,
the united races,138,
St. James’s Park,139,
Saint James’s,139,
Saint James’s Park,139,
Saint James's,139,
Paradise,140,
Adien,140,
Ladies,140,
Bishops-,141,
whoro,141,
"Shorediteh,—then",141,
Shore,141,
Aléum,141,
Shoreditch,141,
Short,141,
"the Ball Room of Buckingham
Palace",142,
Palate,142,
Palace,142,
ne,143,
Miss.,143,
promiseé,143,
Prosaic-,143,
Piccadilly,144,
Bastille,144,
dunghills,144,
Mill,144,
Ill,144,
Lille,144,
Quillotines,144,
Ill.,144,
"North
America",145,
Mesmerists,145,
England for America,145,
Africa,145,
America,145,
Pardon,146,
"Hyde
Park",146,
Us,146,
Hyde Park,146,
Park,146,
Clarke,146,
it'worth,147,
Ravensworth Park,147,
Ravensworth Hall,147,
Venus,147,
Pegsworth,147,
Ravensworth,147,
Rickmansworth,147,
Saint Gives's,148,
St. Gives’s,148,
Vesuvius,148,
Saint Gives’s,148,
"St, Gives",148,
St. Gives's,148,
Sopo,148,
Whitechapel,149,
White,149,
whirls,149,
Whitefriars,149,
"affectation,—in",150,
Left Emotion,150,
EMOTION,150,
Motion,150,
Motion Old Town,150,
Mention,150,
Emotion,150,
Motion;—and,150,
Prince Alborto,151,
ce va,151,
Vinciblo,151,
"Prince Albert,—tbrilling",151,
Prince Alberto,151,
Morocco,152,
morocco,152,
Morocco Railway,152,
MOROCCO,152,
GOLden,153,
Golden,153,
Lane,153,
"Golden
Lane",153,
Janeiro,153,
Golden Lane,153,
house’—Thereupon,154,
brook:—then,154,
ground:—to,154,
repeated.—Then,154,
invitation:—then,154,
"Diana,—I",155,
Diab,155,
Diana,155,
Havannah,156,
Madonnas,156,
I'Do,156,
Hannah,156,
Vienna,156,
Majesty,157,
Holiness,157,
Parneseus,157,
Nest,157,
Select Vestry,157,
Nibsomest,157,
Agnes,157,
Louisa,158,
