text,cluster,cluster_corrected
CCXLVIII.-An,0,
CCYYIII.-A eperate,0,
CXCVIII-,0,
II,0,
Chrs,0,
Byney,0,
Ra,0,
UO,0,
G .G Gii.ii,0,
B,0,
CCxYIL,0,
Trageds,1,
Mr,1,
Lettcr,1,
scpage3,1,
the roops with conrage,1,
Courags,1,
Yraon,1,
I A,1,
"CxYIIL.-Tu Marrage
CCYIV,-Mr",1,
Loa,2,
go-I,2,
Almesl,2,
Capain-Gee-,2,
Firel,2,
oxeaesve,2,
Nu1ll,2,
pouts,2,
Woolcuton,3,
Woolcut,3,
Waolcut,3,
Wooleut,3,
r-1,3,
"ro
Goole",3,
"seepaga 395
F Waolcutan",3,
cild,4,
uilding,4,
sos-l,4,
Arlingta,4,
YTesr',4,
Child,4,
Na,4,
instead of tinding hanser,4,
A]din'1,4,
Meetings,4,
W'lot,4,
L-2-,4,
.l,5,
tieulars,5,
Brldoegroom.-,5,
N-Eun,5,
Parlsr,5,
aais,6,
how st-how,6,
cnstn,6,
s6,6,
Corpso,7,
ErIoes,7,
ladys,7,
"CCLI.--Conolslen
ErIoes",7,
tlis period,7,
VI.-hIrs,8,
"Vei1
CL XI.-Mr",8,
J A,8,
XV1I.-A Den of Iorrors,8,
CVI.-he Grave,8,
SRBI,8,
XCII.-Tue Iulian Vlt,8,
Why,8,
yasse]Markham,9,
Markham,9,
Mlarkhm,9,
Innt,9,
In Park Lne,9,
tkhe,9,
Thn,9,
Th,10,
Amirahls,10,
MIr,10,
uaint MIr,10,
nlcd MIr,10,
I85,11,
he saiI,11,
upon the sabieet,11,
New,11,
ssr ]e s,11,
until he reached the desk of the] of the ullicial,11,
hy the side of wrham he took as seat,11,
their,11,
IBIt,12,
"F

II
Y

E",12,
"Ee
iii if iGii",12,
"CCXYVI,-Tho MarquIs of IIolmafor4",12,
at ouly teny er,12,
Neron,13,
Ner,13,
Cnptin-eneral,13,
nerly,13,
xs ie,13,
Wosdcnt,13,
"IV,--The",14,
"CYLIII,-MaLIl Feellngs
CYLIV,--he",14,
"CII,--The averend Visitor",14,
E,14,
Inlbl,14,
"Cantrplot
LYV,--The Wrangs ad Crles",14,
enphaticalls 'ul M,15,
Ilall o do,15,
Ilall,15,
mentally,15,
Ts,15,
W,16,
A0,16,
CLNXY.-Montoni,16,
CCL.-Egerton',16,
lichurt,16,
LXYI1.-Senes,17,
cnn't e ssen,17,
He,17,
sene,17,
enea,17,
Iasi,17,
Naw Prlsen,17,
Ee,17,
MseyFg,17,
Fr,17,
Vengsesuese,18,
Masuerado,18,
we-el,18,
Iarigues,18,
"Ii

ZI
Rl",19,
uts,19,
Ilwanr,19,
hG,19,
L-2--,19,
Englad.-,20,
Thres,20,
R3,20,
ante-res,20,
Leres,20,
Lc,21,
Nor,21,
heever,21,
Vernon,21,
Paooces,21,
None,21,
enon,21,
Veruon,21,
G,21,
thwm,22,
JU,22,
"L----Il
r)y7",22,
IrL S,22,
2E3,23,
Paeess Iuhlla,23,
Aeeg-Er,23,
piece,23,
"L.3LN:,",24,
a14,24,
MYTEIE O L0NDON,25,
Leavre,25,
TE YsTEnI O LoONDON,25,
Demnire,25,
I9,25,
cleks,26,
I,26,
Iu,26,
wi]Mr,27,
your honur,27,
Frends,27,
Morals,27,
