text,cluster,cluster_corrected
Woolcut,0,
Woolcuton,0,
Wooleut,0,
Woolnt,0,
ZZ,1,
Yoa,1,
DN,1,
BlIs,2,
Mliss,2,
anl,3,
nly.,3,
an4d,3,
Manonl,3,
Hnshand,3,
Las,4,
Abrala,4,
la,4,
CXII.-Viola,4,
de la,4,
walla,4,
mo,5,
CI,5,
mothsr,5,
moro,5,
Wilmot,5,
wrham,6,
Markham,6,
Parsy,6,
wham,6,
Marian,6,
Mlarkham,6,
Crima,6,
herts,7,
mithfeld,7,
Itherino,7,
Noemher,7,
Naone,8,
Need,8,
ledo,8,
Eeet,8,
referece,9,
Alrealy,9,
Caataleiealn,9,
hulrel,9,
Wutet,10,
Flele,10,
Leter,10,
roteor,10,
Vei1,11,
I1t:5,11,
I1l,11,
Iew,12,
"CYLIII,-MaLIl Feellngs",12,
IilI,12,
Iim,12,
nnsey IIIsIoss,12,
il,12,
l slo,13,
Ltl Vernon,13,
Vernon,13,
ese 2G6,14,
"appesr,--we",14,
Dapper,14,
China,15,
Cnaerss,15,
whcJ,15,
whiceh,15,
whisperslin,15,
Arlingta,15,
VI.-hIrs,15,
L0ND0N.,15,
ia,16,
Iast,16,
ST,16,
Did'as,16,
Lydia,16,
Iasi,16,
Ilsurrrtion Mlau,17,
tiouur,17,
Vsu,17,
Fahionhle,17,
R3,18,
Waoodcuton,18,
Woodcut onpge9,18,
tn,18,
Woodcuton,18,
Woadenton,18,
Greenwood,18,
Tidkint,19,
Abrantanl,19,
sont,19,
SANTA CRU2,19,
SANTA,19,
Bouaoir,20,
Cherry Bounes,20,
Demnire,21,
inrali ta araken,21,
u mn,21,
Raanaworth Iall,21,
Raamn,21,
Natiag,22,
breakiag t ay,22,
breakiag,22,
neak candil,22,
ny,23,
Holmsfaord,23,
Corpso,23,
Discory,23,
sc,23,
