text,cluster,cluster_corrected
Whitechapel,0.0,
White,0.0,
Rechabites,0.0,
expel!ed,0.0,
Mounseer,1.0,
Moutague,1.0,
Counell,1.0,
Ludgato Hill,2.0,
Snow Hill,2.0,
Aldgate,2.0,
Saffron Hill,2.0,
the Holy Land,3.0,
the Holy Land to-,3.0,
"the Holy
Land",3.0,
"the Holy Land,§",3.0,
AR Grand Duchy,4.0,
Grand Duchy,4.0,
the Grand Duchy,4.0,
Duchy,4.0,
the Grand Duchy of Castelcicala,4.0,
Carribbee Islands,5.0,
Harriet,5.0,
the Carribbee Islands,5.0,
Gibbet,5.0,
VILLA,6.0,
Villa,6.0,
Pentonville,6.0,
"Wy
vil",6.0,
Lethean,7.0,
Lethean sea,7.0,
samo,8.0,
"the samo
day!",8.0,
the Old Jewry,8.0,
the Zin,8.0,
the Lombardy Arms,8.0,
the West End,9.0,
the West End of London,9.0,
West End,9.0,
the Island of the City,10.0,
Field Oflicer,10.0,
the Isle of Man,10.0,
the City Road,10.0,
the Emerald Isle,10.0,
Ravensworth Park,11.0,
Ravensworth,11.0,
"Ravensworth
lal",11.0,
Ravensworth Hall,11.0,
Morean,12.0,
Morear,12.0,
Tean,12.0,
& tono,13.0,
Globe Town,13.0,
Hoxton Old Town,13.0,
the Tower Hamlets,13.0,
Globo Town,13.0,
Glove Town,13.0,
Hobart Town,13.0,
Asia Minor,14.0,
Minories,14.0,
nino,14.0,
Asia,14.0,
"Hyde
Park",15.0,
Hyde Park,15.0,
Park,15.0,
"North
America",16.0,
Americas,16.0,
Africa,16.0,
Icast,16.0,
Spring Gardens,17.0,
Spring Gardena,17.0,
Spring-Gardens,17.0,
beautifal gardens,17.0,
Spring Gagdens,17.0,
"the Zoological
Gardens",17.0,
"Spring
Gardens",17.0,
Earth,18.0,
earth,18.0,
Old England,19.0,
Tn England,19.0,
the Herne Bay,20.0,
Herne Bay,20.0,
Superin,21.0,
Superintendent,21.0,
mansion,22.0,
Roman,22.0,
Normanby,22.0,
Danstable Manor,22.0,
Saint Theodosia,23.0,
Saint Giles’s,23.0,
Saint Theodosla,23.0,
St. Theodosia,23.0,
Northern Europe,24.0,
Europe,24.0,
Western Europe,24.0,
Gamester,24.0,
by'a posse,24.0,
nile,25.0,
Spile-,25.0,
Mark~,26.0,
AMarkbam Place,26.0,
"Mark
ham",26.0,
St. Pancras,27.0,
Madras,27.0,
Boulogne,28.0,
Boulogne-sur-Mer,28.0,
New South,29.0,
New South Wales,29.0,
"New South
Wales",29.0,
Bird-Cage Walk,29.0,
Woodcat,30.0,
Wooleut,30.0,
Cape,31.0,
"Cape
Horn",31.0,
Cape Horn,31.0,
elysian bower,32.0,
Lower,32.0,
"Shorediteh,—then",33.0,
"the Mediterranean

Sea",33.0,
SUBTERRANEAN,33.0,
Ideclare,34.0,
Isrgo,34.0,
Largo,34.0,
largo,34.0,
Swallowing,35.0,
the Yellow Drawing Room,35.0,
bees’-win,35.0,
room/—I,35.0,
the Dead Sea,36.0,
the Great Desert,36.0,
servait,36.0,
the Green Park,36.0,
calle,37.0,
Heppy Valley,37.0,
the Happy Valley,37.0,
Valley,37.0,
Hurrict,38.0,
Jur district,38.0,
District,38.0,
Strat-,38.0,
tain Fitshardinge,39.0,
po-shay,39.0,
Har,39.0,
West,40.0,
Dearest,40.0,
West-End,40.0,
Hehest,40.0,
Majesty,40.0,
Macquario,41.0,
"Qavendish
Square",41.0,
Fobruary,41.0,
"Belgrave
Square",41.0,
Squids,41.0,
Dreak,42.0,
Breakfast,42.0,
BREAKFAST,42.0,
Katho-|,43.0,
Sheriffs,43.0,
Katherin,43.0,
Katherine east,43.0,
