text,cluster,cluster_corrected
the City of London,-1,
Let'th,-1,
"reflections,—or",-1,
Crockey,-1,
Suez,-1,
Camberwell,-1,
"captive,—had",-1,
the Apennine Mountains,-1,
Charing,-1,
Louisa,-1,
Flairer,-1,
"wildly,—at",-1,
Clarendon,-1,
Grosvenor,-1,
Tuscany,-1,
I'll,-1,
the East a few weeks ago,-1,
"Prince Albert,—thrilling",-1,
Egerton,-1,
"the Place Vendome,—whether",-1,
Saint Martin's-le-Grand,-1,
Guinea,-1,
Flamms,-1,
Esq,-1,
hours;—and,-1,
Temple,-1,
Libya,-1,
Saffron Hill,-1,
information.—'He,-1,
hesitated:—yes,-1,
"inmates,—a",-1,
St. John-street,-1,
Cornwall,-1,
Bolter,-1,
New Caledonia,-1,
handkerchiefs,-1,
Curzon Street Chapel,-1,
Dejanira on,-1,
Titchfield,-1,
"significantly,—as",-1,
"heard,—a",-1,
Peninsula,-1,
Shoreditch,-1,
Putney,-1,
Garter,-1,
Furnisher,-1,
New Zealand,-1,
"unit=""graphic""/",-1,
"room,—a",-1,
Stilton,-1,
Charlotte,-1,
caresses.—'No,-1,
WARWICK SQUARE,-1,
Pitfield Street,-1,
Preach,-1,
Strand,-1,
Salamanca,-1,
Messalina,-1,
the Emerald Isle,-1,
Panama,-1,
Parsonage,-1,
Jersey,-1,
Rossville,-1,
Continent,-1,
Gerrard Street,-1,
Griffin,-1,
Dead Sea,-1,
"mourning,—Richard",-1,
Hercules Passage,-1,
Redcross,-1,
CLXIII,-1,
Select Vestry,-1,
Budge Row,-1,
Limmer,-1,
Mesmerists,-1,
"Pacific,—I",-1,
Rookery,-1,
Wilmot,-1,
Brompton,-1,
Mentor,-1,
Johnny,-1,
Barbican,-1,
Wigginton,-1,
punishment;—and,-1,
Bartholomew Close,-1,
Clerkenwell,-1,
Drury Lane,-1,
Guildhall,-1,
Superintendent,-1,
Whitecross Street,-1,
"dreams,—I",-1,
Simcox,-1,
Liverpool,-1,
India,-1,
Bazzano,-1,
Stour,-1,
"theatre,—an",-1,
methodist,-1,
Morosino,-1,
"Jupiter,—Leda",-1,
MR,-1,
the Duke of York,-1,
Gracechurch Street,-1,
arctic,-1,
"name,—and",-1,
width,-1,
Ministry,-1,
Montecuculi,-1,
Surrey,-1,
Compter,-1,
M.P.,-1,
Lydia,-1,
the Prince of Wales,-1,
Mith Ithabella'th,-1,
Pentonville,-1,
Holiness,-1,
Albion,-1,
Gradus,-1,
scene:—we,-1,
Crankey,-1,
"funds,—""and",-1,
Speak,-1,
Montreal,-1,
"tempter;""—and",-1,
Melbourne,-1,
Miss.,-1,
mistaken:—no,-1,
"target=""#ENG18460_N113""/",-1,
Skilligalee,-1,
Montgomery,-1,
Dearest,-1,
"fault,—an",-1,
Glasgow,-1,
Sellis,-1,
Herbertstein,-1,
Insolvents,-1,
Bordeaux,-1,
Bird-Cage Walk,-1,
"disease,—which",-1,
Sheffield,-1,
Dublin,-1,
Sheridan,-1,
Enon,-1,
Vienna,-1,
mart,-1,
inn,0,
Leipzig,0,
Inn,0,
Ohio,1,
me?'—'Oh,1,
Soho,1,
"Kate:—""you",2,
trois,2,
Buffer,3,
buff,3,
Old Bailey,4,
BOUDOIR,4,
the Yellow Drawing-Room,5,
the Yellow Drawing Room,5,
Belvidere,6,
belvidere,6,
Medway,7,
Fourpenny,7,
Whigs,8,
whirls,8,
Plumptre,9,
Calumny,9,
Calcutta,9,
"ejaculated—""Selina",10,
Saracens,10,
Tremordyns,10,
Squibs,11,
Gibbs,11,
Piacere,12,
Semele,12,
NEED,13,
Leeds,13,
"1841,—with Byron",14,
Byron,14,
Palace,15,
the Ball Room of Buckingham Palace,15,
ALGIERS,16,
Algiers,16,
Mossop,17,
Jessop,17,
Cracksmen,18,
Cracksman,18,
japonica,18,
Barracks,18,
Convexes,18,
Magsmen,18,
the Zoological Gardens,19,
Spring Gardens,19,
Windsor,20,
Windham,20,
Tavistock,21,
Stockholm,21,
Lyons,22,
Colonies,22,
queens,22,
Rio Janeiro,22,
Conscience,22,
Zingary,23,
Zingarai,23,
Hungary,23,
Zingarees,23,
thou,24,
Thou,24,
Mounseer,25,
Hounslow,25,
Trafalgar,26,
Petrarca,26,
Morpheus,26,
Morcar,26,
Mascara,26,
Bohemia,27,
Jemima,27,
loaf:—it,27,
Jew,28,
Jewry,28,
Brazil,29,
Labrador,29,
Bluebottles,30,
Honourables,30,
Bibles,30,
Levant,31,
Hants,31,
Geneva,31,
Eva,31,
Tommy,32,
automaton,32,
Latona,32,
Sardinia,33,
Ferdinand,33,
Normanby,34,
Germany,34,
Redeemer,34,
manner:—'I,34,
Algeria,35,
Siberia,35,
Scold,35,
Bombay,36,
the Lombardy Arms,36,
Harpy,37,
Wharf,37,
motive:—my,38,
leave:—he,38,
perplexity:—he,38,
Israel,39,
Holborn,39,
Richmond,40,
Cholmondeley,40,
Snoggles,41,
Naples,41,
Haply,41,
Gotha,42,
Saxe,42,
Saxe Coburg Gotha,42,
Madrid,43,
Quadrant,43,
Madeira,43,
Madras,43,
Boulogne-sur-Mer,44,
Toulon,44,
Long Acre,44,
Boulogne,44,
the Receiving Ward,45,
the Casualty Ward,45,
the Herne Bay,46,
Herne Bay,46,
Gravesend,47,
Cavendish,47,
Armenia,48,
Derby,48,
Amsterdam,49,
Rotterdam,49,
Gazette,50,
Better Bedlam,50,
SWEDEN,51,
Wilsden,51,
Baden,51,
Stephens,52,
Stephen,52,
Benstead,52,
Adelaide,53,
Adeline,53,
Blackheath,54,
Whitefriars,54,
Black,54,
the Black Tower,54,
Blackfriars,54,
Tower Hamlets,55,
the Tower Hamlets,55,
Vernon,56,
Duvernay,56,
Inverness,56,
Dover,57,
Sovereigns,57,
Cove,57,
Fever,57,
Usiglio,58,
Junius,58,
Vesuvius,58,
Fieschi,58,
Shrove,59,
shady grove,59,
yonder corner,60,
yonder grove,60,
Leary,61,
us,61,
Venus,61,
Janus,61,
Friuli,62,
Talbot,62,
Julia,62,
Cecilia,62,
Syria,63,
Myriads of,63,
the aforesaid province,64,
Providence,64,
