text,cluster,cluster_corrected
Charles,0.0,
Bibles,0.0,
M0MODERN IRRITATION,1.0,
M0MODERN FLIRTATION0ON,1.0,
IRRITATION,1.0,
Edinburgh,2.0,
Edinburgl,2.0,
Finden,3.0,
Providence,3.0,
Carolino,4.0,
Caroline,4.0,
Hamlin,4.0,
declined1,4.0,
Carolino Now-,4.0,
Curoline,4.0,
Towereliffo,5.0,
LowER,5.0,
England,6.0,
Highland,6.0,
Ireland,6.0,
normandy,6.0,
"ever,-and",6.0,
Shetland,6.0,
Scotland,6.0,
Dearest,7.0,
Glare,7.0,
Louis de Cries-,8.0,
Louis,8.0,
Oxford,9.0,
"Agnes
Dunbar",9.0,
Unbar,9.0,
Dunbar,9.0,
Agnes Dunbar,9.0,
Marion,10.0,
oxford,10.0,
MIonsieur Fesceati,10.0,
Paris,10.0,
MIarion,10.0,
Kilmarnock,10.0,
Murion,10.0,
Mnrion,10.0,
Patriok,10.0,
Spain,11.0,
Britain,11.0,
Great Britain,11.0,
St Cecilia,12.0,
Romeo,13.0,
rome,13.0,
Tattersall,14.0,
Whitehall,14.0,
United,14.0,
America,15.0,
Limeriek,15.0,
"Corner De
Crespigny",16.0,
Orespigny,16.0,
De Crespignyl'',16.0,
Corner,16.0,
"Louis De
Crespigny",16.0,
Urespigny,16.0,
Australia,17.0,
De Glance,18.0,
"fancy,-she",18.0,
Glanville,18.0,
the arbour,19.0,
Boudoir,19.0,
Scubeach,20.0,
beaux,20.0,
Beaujolie,20.0,
Agrippina,21.0,
china,21.0,
Agnes.,22.0,
Agnes,22.0,
el Agnes,22.0,
Argyleshire,23.0,
Yorkshire,23.0,
Holyrood,24.0,
Thou,24.0,
"ivory draw-
ing-room",24.0,
Holyrood House,24.0,
Fiile,,
june-,,
moi le,,
"St
John's Lodge",,
Saul,,
Wait,,
inn,,
Itself,,
Portobello,,
MoON,,
quad-,,
London,,
Queensferry,,
LI,,
Melton,,
"ribbon,-I",,
blishmont,,
las,,
Jacob,,
Fife,,
t3,,
L L,,
Leeds,,
Sea,,
us,,
Abbey,,
Rosemount,,
wi,,
Canada,,
Geranium,,
"L.60,000",,
Hebe,,
