text,cluster,cluster_corrected
Marion,0,
Murion,0,
"ribbon,-I",0,
London,0,
Mnrion,0,
MIarion,0,
Kilmarnock,0,
Patriok,0,
Paris,0,
Dunbar,1,
Unbar,1,
"Agnes
Dunbar",1,
the arbour,1,
Agnes Dunbar,1,
Argyleshire,2,
Bibles,2,
Dearest,2,
Charles,2,
Yorkshire,2,
rome,3,
America,3,
Romeo,3,
Providence,3,
"ivory draw-
ing-room",3,
Melton,4,
Towereliffo,4,
"L.60,000",4,
Portobello,4,
LowER,4,
Fife,4,
Whitehall,5,
Tattersall,5,
United,5,
Britain,6,
Agrippina,6,
Wait,6,
t3,6,
Spain,6,
inn,6,
Great Britain,6,
Itself,6,
Corner,7,
Geranium,7,
Jacob,7,
Carolino,8,
Caroline,8,
Carolino Now-,8,
Curoline,8,
Canada,9,
quad-,9,
china,9,
"fancy,-she",9,
wi,10,
moi le,10,
Boudoir,10,
L L,10,
Leeds,10,
Fiile,10,
Rosemount,11,
us,11,
Holyrood House,11,
Holyrood,11,
Thou,11,
Glare,12,
"ever,-and",12,
England,12,
las,12,
Scotland,12,
Finden,12,
Glanville,12,
Highland,12,
normandy,12,
Ireland,12,
Shetland,12,
De Glance,12,
Queensferry,13,
M0MODERN IRRITATION,13,
IRRITATION,13,
MoON,13,
M0MODERN FLIRTATION0ON,13,
MIonsieur Fesceati,13,
Oxford,14,
oxford,14,
"St
John's Lodge",15,
Louis,15,
De Crespignyl'',15,
"Louis De
Crespigny",15,
"Corner De
Crespigny",15,
Urespigny,15,
Orespigny,15,
Louis de Cries-,15,
Beaujolie,16,
Hebe,16,
Scubeach,16,
Saul,16,
beaux,16,
Abbey,16,
Sea,16,
Edinburgh,17,
Edinburgl,17,
Agnes.,18,
Agnes,18,
june-,18,
el Agnes,18,
blishmont,19,
St Cecilia,19,
Limeriek,19,
Hamlin,19,
Australia,19,
declined1,19,
LI,19,
