text,cluster,cluster_corrected
"267

such general terms",0.0,
generally means,0.0,
"67

It",0.0,
Australia,0.0,
"L.50,000",1.0,
"L.12,000",1.0,
"A.15,000",1.0,
"and willingly would she
have accepted any consolation they could
offer",2.0,
"and would
willingly",2.0,
Would,2.0,
kept,2.0,
"regained any portion of
his usual equanimity",2.0,
and your offer shall be duly considered,2.0,
"conducted in an amicable way
by their guardians",3.0,
conducted in an amicable,3.0,
hurried in at the open door,3.0,
Providence,4.0,
prodigal,4.0,
hence,4.0,
pride,4.0,
Glanville,5.0,
Glanville has not,5.0,
Villa,5.0,
Trick,6.0,
Tricks will,6.0,
S Prick,6.0,
Sit Trick,6.0,
rick,6.0,
Tricks,6.0,
occasionally,7.0,
Occasionally,7.0,
occasionally to wander,7.0,
"these were wound up occasionally to the
wildest",7.0,
sionally,7.0,
Protestant,8.0,
Constantinople,8.0,
and a resolution not to stir till,9.0,
resolute,9.0,
seeing her candle,10.0,
seeing her candle nearly burned out,10.0,
thus continuing her two,10.0,
"causing her a shudder of horror and
alarm",10.0,
other her castles of cards fell to the ground,10.0,
barously tyrannical of,11.0,
"zealously planted flowers for even strangers
to enjoy",11.0,
placed,11.0,
spicuously placed,11.0,
spicuously,11.0,
thus’,12.0,
thus treated her with familiarity,12.0,
enthusiastically,12.0,
thus,12.0,
Thus,12.0,
When,13.0,
"when I really did
sometimes pay my debts",13.0,
Henry’,13.0,
when he be-,13.0,
when,13.0,
east wind!,14.0,
east wind not to blow,14.0,
"east
wind",14.0,
lying,15.0,
Pitying,15.0,
"I feel an undying
hope of success",15.0,
Laying,15.0,
enjoying,15.0,
saying,15.0,
born,16.0,
Born,16.0,
Corner,16.0,
Scarcely,17.0,
parcels,17.0,
"scarcely fancy the woman in existence who
could",17.0,
scarcely afford so graphic,17.0,
scarcely a week of gossiping,17.0,
Comfort,18.0,
misfortune,18.0,
forty-two;,18.0,
Come,18.0,
worth,18.0,
“T seem to have beheld him once in a dream!,19.0,
their birth seemed merely to have been the,19.0,
gave way to bursts,19.0,
held,19.0,
Saviour,20.0,
Your,20.0,
You,20.0,
"”

“ But it was the society of your",20.0,
hour’,20.0,
your,20.0,
"293

tirely in your power",20.0,
Hope,21.0,
no hope,21.0,
feverish hope,21.0,
"from hope to
despair",21.0,
hopes,21.0,
the hope,21.0,
hope,21.0,
That look of girlish,22.0,
girl’,22.0,
mantle of genius,22.0,
That look of mild serenity,22.0,
"utter unconsciousness of anything that might
by possibility lead to a discovery of the per-
spectators",22.0,
blood,22.0,
knock,23.0,
Kilmarnock Abbey,23.0,
De Crespigny and,24.0,
De Crespigny,24.0,
De Crespigny very sensibly,24.0,
pigny,24.0,
Crespigny repay with a few,24.0,
acre,24.0,
De Crespigny than the blushing,24.0,
Crespigny has nothing on earth,24.0,
Crespigny,24.0,
young De Crespigny,24.0,
banker’,25.0,
bankruptcy,25.0,
the most,26.0,
the purse,26.0,
amidst the yells,26.0,
in a most,26.0,
the Cannon,26.0,
and the utmost extreme,26.0,
to.the most,26.0,
"249

we may",26.0,
and,27.0,
"and
helpless boy",27.0,
Ireland,27.0,
And—and paid each other’,27.0,
Highland,27.0,
England,27.0,
And,27.0,
reprimand,27.0,
Without waiting,28.0,
without,28.0,
Wait’,28.0,
houses,29.0,
aroused,29.0,
Holyrood House,29.0,
did,29.0,
which were archly turned towards,30.0,
richly,30.0,
if it were returned,30.0,
upwards,30.0,
Downcast,31.0,
BROWN,31.0,
ther-in-law of Lord Downcast,31.0,
Beanjolie Castle,31.0,
"how many
fathom deep I am in love",32.0,
"215

deepest",32.0,
gem to attract many lovers,32.0,
mamma’,32.0,
laughter-loving mind,33.0,
laughed,33.0,
laughing,33.0,
and with much selfishness,34.0,
and with,34.0,
conducted with deep solemnity and,34.0,
and why,34.0,
and with the \very slightest,34.0,
"receiving the whole artillery of
his small talk and civilities with a most",34.0,
"her shoulders and neck became
covered with a cloud of dark mass ringlets",34.0,
"with so
much skill and vivaeity",34.0,
"mingled with curses
and imprecations",34.0,
party,35.0,
Cromarty,35.0,
Paris,35.0,
Pardon,35.0,
every turn of the head,36.0,
the hearth-rug,36.0,
heart-quakes I,36.0,
I hear that the only one worth,36.0,
utter singleness of heart,36.0,
Such,37.0,
much,37.0,
and how much of the happiness,37.0,
was much,37.0,
"much bet-
her",37.0,
Much,37.0,
and not much above forty,37.0,
with so much grace and,37.0,
once,38.0,
Once,38.0,
conceit,38.0,
Princes Street,38.0,
and sorrows are but dreams,39.0,
ing sorrows,39.0,
wishing something till it is obtained,39.0,
causing so severe,39.0,
soon,39.0,
"Mrs
Penfold",40.0,
Depend,40.0,
"Mrs

Penfold",40.0,
Then,41.0,
they,41.0,
At ee'ry pause they stretch,41.0,
"”

“They",41.0,
hers,42.0,
her,42.0,
German characters—,42.0,
herself,42.0,
Her,42.0,
jeers,42.0,
assiduities,43.0,
devoted assiduity,43.0,
giving her,44.0,
preserving,44.0,
giving,44.0,
"and
giving",44.0,
strolled,45.0,
pencilled,45.0,
pencilled eye-,45.0,
longing,46.0,
LONGMAN,46.0,
Ritson’ Song,46.0,
ending with,47.0,
gliding with,47.0,
spending,47.0,
recklessly squandered than his,48.0,
friendless,48.0,
heedlessly,48.0,
careless,48.0,
head,49.0,
head—,49.0,
"”

“Why",50.0,
Why,50.0,
least,51.0,
past,51.0,
pleasure—,51.0,
at least,51.0,
throat for money,52.0,
money only as,52.0,
money,52.0,
Money,52.0,
and her eye-balls were starting,53.0,
and dimpled her cheek,53.0,
and find her if,53.0,
and he will gain by the bargain,53.0,
her in,53.0,
to find so agreeable,53.0,
length,54.0,
At length,54.0,
MODERN FLIRTATION,55.0,
FLIRTATION,55.0,
MODERN,55.0,
"which would certainly drive blood to his
head,—and above all",56.0,
Spain,56.0,
He is certainly,56.0,
"their works
being certain of instant circulation",56.0,
Certainly,56.0,
Certain,56.0,
"little woman
of no certain",56.0,
pony-carriage,57.0,
carriages,57.0,
Arrah,57.0,
mortgages,57.0,
and Faintness,58.0,
and trunks,58.0,
spell-bound and unable,58.0,
and I seemed to awaken,58.0,
"and steeple-chases,—a",58.0,
and medicine,58.0,
and added in,58.0,
and I,58.0,
and became redder than,58.0,
and clung to Sir,58.0,
"193

and perplexity",58.0,
and yet,58.0,
and now,58.0,
so unexpected and surprising,58.0,
and observed,58.0,
"and his-
grace",58.0,
"and know how this foul murder comes !
Suaxesreare",58.0,
and be-,58.0,
and raised an alarm,58.0,
so intense,59.0,
Often,59.0,
Intentions,59.0,
five-and-twenty intermediate,59.0,
by-written,59.0,
Thinking,60.0,
thin,60.0,
Nothing,60.0,
this,60.0,
Within,60.0,
so humbled,61.0,
smile,61.0,
smiled,61.0,
stifled,61.0,
smiling,61.0,
temper,62.0,
Perhaps,62.0,
T wish,63.0,
wish,63.0,
wishing health,63.0,
wishes,63.0,
out-did the very wishes of his friends,63.0,
"I
wish",63.0,
wishing,63.0,
their regiment at During,64.0,
During,64.0,
colouring,64.0,
Oréspring,64.0,
colouring violently,64.0,
during,64.0,
satirical,65.0,
America,65.0,
satirical gleam in her eye,65.0,
sunk upon a seat,66.0,
"itself upon her of-
sensation",66.0,
Upon,66.0,
upon,66.0,
way upon,66.0,
flashed upon her,66.0,
once upon,66.0,
in-earnest now!,67.0,
As Earnest,67.0,
earnestly,67.0,
Nestled,67.0,
Leeds,68.0,
Indeed,68.0,
We are all at breakfast,69.0,
great-coat,69.0,
Great Britain,69.0,
already assembled in breathless,69.0,
Britain,69.0,
at a great distance,69.0,
gave,70.0,
unmoved,70.0,
waved,70.0,
Davenport,70.0,
have,70.0,
that her large,71.0,
"59

her",71.0,
enlivened her,71.0,
little hope remained of her recovery,71.0,
"3ll

her wound",71.0,
"243

her",71.0,
"”

“ What",72.0,
What,72.0,
Whatever,72.0,
hated,72.0,
In whatever,72.0,
Whatever happens,72.0,
whatever,72.0,
None whatever,72.0,
Whatever has happened,72.0,
whatever it be,72.0,
so young,73.0,
amount,73.0,
young,73.0,
Young,73.0,
allowing his young,73.0,
and that dozens of young,73.0,
does not wish himself,74.0,
and giving himself,74.0,
whims,74.0,
himself,74.0,
self-reproach,74.0,
twenty-one declared himself,74.0,
"recollected
himself",74.0,
with himself,74.0,
iv PREFACE,75.0,
whose pre,75.0,
frequently he amused,76.0,
frequently,76.0,
the Amiable’,76.0,
acteristic than,77.0,
moist,77.0,
best Christianity,77.0,
Geranium,77.0,
St Cecilia,77.0,
Christmas,77.0,
"and the sky above her
head",78.0,
over his head,78.0,
leaned his head,78.0,
above his head,78.0,
above his head with,78.0,
"intimacy,—a",79.0,
Lime-,79.0,
Meantime,79.0,
timid,79.0,
mean,79.0,
with that,80.0,
that,80.0,
"only sign this assurance
that",80.0,
telligenco that,80.0,
That,80.0,
tensity that brought,80.0,
"93

that she should be carried to bed",80.0,
"”

“That reminds me to say",80.0,
than,80.0,
at Court,81.0,
Court,81.0,
Court as a,81.0,
Only,82.0,
keenly,82.0,
been,82.0,
Galloway,83.0,
Gradually,83.0,
rascally,83.0,
totally,83.0,
Few,83.0,
Sir Tricks Dunbar,84.0,
Dunbar,84.0,
Sir,84.0,
tobello,85.0,
Portobello,85.0,
T possess,85.0,
at Portobello,85.0,
At Portobello,85.0,
age of Portobello,85.0,
"so
insane out of bedlam",86.0,
she insane!—,86.0,
She,86.0,
only an air-built castle to which I,87.0,
which was so very,87.0,
which became nevertheless distinctly,87.0,
which an seldom,87.0,
by the eagerness with which,87.0,
which,87.0,
which he called,87.0,
"and on which
her eye",87.0,
which is allowed to come often,87.0,
beside which were,87.0,
which he attributed entirely to,87.0,
every tempest which had blown for half,87.0,
genuity with which,87.0,
which assembled the whole household,87.0,
life,88.0,
cliffs,88.0,
bailiffs,88.0,
thinking he had too securely relied,89.0,
merely,89.0,
Square lately,89.0,
Surely,89.0,
surely,89.0,
Sure,89.0,
lively,89.0,
dressed her,90.0,
well-remembered,90.0,
encompassed,90.0,
ing well-dressed,90.0,
Tell,90.0,
dress,90.0,
"and soon after sauntered
away to the club",91.0,
Arm-,91.0,
farm after farm,91.0,
CHAPTER III,91.0,
form’,92.0,
had formerly,92.0,
merry,92.0,
upset,93.0,
at-home-look,93.0,
Educated at St Omers,93.0,
midsummer holidays at home,93.0,
settled at home,93.0,
little wife,93.0,
death-bed,94.0,
weather-beaten countenance had been,94.0,
every turn of her countenance,94.0,
care-worn countenance,94.0,
the wedding-cake has been eaten,94.0,
actually concealing her real name,95.0,
were actually ill-na-,95.0,
were equally singular,95.0,
Punctual,95.0,
paroxysm of ill-humour,95.0,
Marion,96.0,
amount of Marion’,96.0,
Marion’,96.0,
lion’s mind,96.0,
lion’,96.0,
years—,97.0,
Search,97.0,
Years,97.0,
Pat,98.0,
the nick-name of ‘,98.0,
name is Patient,98.0,
preach,99.0,
the beach,99.0,
"Seabeach
Cottage",99.0,
succeeded each other,99.0,
Seabeach,99.0,
Each,99.0,
Humming,100.0,
humming,100.0,
Yorkshire,101.0,
Argyloshire,101.0,
Yorkshire baronets,101.0,
Admire,101.0,
shire,101.0,
Argyleshire,101.0,
boyish fancy,102.0,
I fancy,102.0,
fancy,102.0,
respects,103.0,
spectacle among women,103.0,
Among,103.0,
harsh,104.0,
coarse,104.0,
coals,104.0,
were found,105.0,
her hands were firmly clenched,105.0,
not so profound,105.0,
were,105.0,
"where for some minutes he
stood",105.0,
"77

ing found",105.0,
wore,106.0,
wasted—,106.0,
