text,cluster,cluster_corrected
Melton,-1,
wi,-1,
Monsieur D’Ambereau,-1,
us,-1,
Geranium,-1,
Edinburgh,-1,
Queensferry,-1,
"L.60,000",-1,
Laugh,-1,
Jacob,-1,
Oxford,-1,
Tattersall,-1,
Portobello,-1,
Glanville,-1,
Saul,-1,
Leeds,-1,
United,-1,
Caroline,-1,
Dovetap,-1,
Fife,-1,
Henry,-1,
the arbour,-1,
Itself,-1,
june-,-1,
natureé,-1,
Corner,0,
Scorn,0,
"Louis De
Crespigny",1,
"Corner De
Crespigny",1,
Louis,2,
Louis de Cries-,2,
Argyleshire,3,
Argyloshire,3,
Yorkshire,3,
Bibles,4,
Charles,4,
Dearest,5,
"earth,—by",5,
"heart,—and",5,
"St
John’s Lodge",6,
ST,6,
St Cecilia,7,
Australia,7,
Scotland,8,
SCOTLAND,8,
Shetland,8,
England,9,
Highland,9,
Ireland,9,
GLASGOW,9,
Rosemount,10,
Rosemount Villa,10,
Romeo,11,
"room,—a",11,
Beaujolie,12,
beaux,12,
Seabeach,12,
Hebe,13,
Abbey,13,
Agrippina,14,
Spain,14,
china,14,
inn,14,
Finden,15,
Providence,15,
Britain,16,
IRRITATION,16,
Great Britain,16,
Marion,17,
Kilmarnock,17,
Manon,17,
Paris,17,
London,18,
LONDON,18,
Holyrood House,19,
Holyrood,19,
"Agnes
Dunbar",20,
Agnes Dunbar,20,
Unbar,21,
Dunbar,21,
Agnes.,22,
Agnes,22,
quad-,23,
Canada,23,
Limerick,24,
rich~,24,
