cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0,Dresden,Knaresborough,Dresden china,,,,,,
1,Ripley,Ripon,turkey,Studley,Leeds,,,,
2,Britain,Spain,Fountain,Great Britain,Tunbridge,Samaritan,,,
3,Waterloo,Jupiter,Canterbury,Margate,Watteau,Fatherly,better!—'We,,
4,Edinburgh,Van Amburgh,Unburden,,,,,,
5,London,Colonies,Golconda,Doncaster,,,,,
6,Byron,Holyrood,Holyrood House,,,,,,
7,Thames,Mesdames,Birmingham,F.R.S.,,,,,
8,St.,St. Cecilia,St. Leger,St. John's,St. Abbsbury,St. James',,,
9,Oxford,Crawfords,,,,,,,
10,Agrippina,china,inn,"mustachios,—crowds",China,,,,
11,Ernest,Chester,Duvernay,Cowper,m'est,,,,
12,Beaujolie Manor,beaux,Cape Madeira,,,,,,
13,Portobello,Truth,Portsmouth,Davenport,,,,,
14,Windows,wi,India,Finden,,,,,
15,"not,—I",Notice,"favor,—if",,,,,,
16,Espagne,Agnes,Agnes Dunbar,Dunbar,,,,,
17,Hebe,"excess,—a","heart,—and","money,—a","earth,—by",,,,
18,the Arabian Nights,the United Kingdoms,the United Kingdoms of Great Britain,Kings,,,,,
19,thou,Thou,Louis,Macbeth,,,,,
20,Brighton,Plumpton,Melton,Milton,Kelso,,,,
21,Providence,Florence,Eloquence,Queensferry,,,,,
22,France,Australia,Trafalgar,Courant,Geranium,Strand,,,
23,Granville,Clara Novello,Clara,Granby,Ill,Clara Granville,Clara Granville's,Rosemount Villa,
24,Limerick,Europe,Rome,Montgomery,"room,—a",,,,
25,Scotland,Highland,Newfoundland,Ireland,"lang=""fr",TOWNSEND,England,New Zealand,Shetland
26,Canada,Japan,Satan,Saul,Sultan,,,,
27,Friendship,Henry,Geneva,bien,Iphigenia,,,,
28,Infirmary,Kinross,Caroline,Dublin,Continent,,,,
29,the Vicar of Wakefield's,Italy,Sheffield,Spitalfields,Fife,,,,
30,Brussels,Poussin,Siberia,the King of Prussia,us,Russia,,,
31,Carlisle,Bibles,Charlotte,Middlesex,Achilles,Charles,,,
32,NEW YORK,Lincolnshire,Argyleshire,Yorkshire,,,,,
33,Marion,Park,Israel,Christ,Huzzars,Paradise,Paris,,
34,Jacob,Abbey,Sea,Seabeach Cottage,,,,,
35,Jesuit,Zoological Gardens,Jesuitical,,,,,,
