text,cluster,cluster_corrected
Mr.,-1,
arch,-1,
"Caroline induced
     her",-1,
Yorkshire,-1,
grove of overhanging lilacs and laburnums,-1,
Crockford,-1,
frightfully alarmed this morning,-1,
from her seeming,-1,
every-day dullness,-1,
laughter-loving mind,-1,
Providence,-1,
mercy and pardon,-1,
scrutinizing,-1,
and whispering an eager,-1,
emergency,-1,
"with an ill-supported smile on her
     quivering",-1,
Caroline to,-1,
Pat,-1,
reckless,-1,
"which she
     seemed vainly endeavoring to suppress",-1,
"though whether her
     agitation were not of",-1,
while her whole head,-1,
"and I often think how much
     interest and dignity is bestowed on every event of our short lives",-1,
stern-looking stranger standing,-1,
showily-dressed little woman of no certain,-1,
Fires,-1,
so satisfactory,-1,
and sorrows are but dreams,-1,
Caroline and,-1,
and admiring everything with a lightness of heart that,-1,
and would not fully believe when she did,-1,
most satisfactory,-1,
and feared for him,-1,
leaning on Mr. Granville,-1,
Saviour,-1,
"whether I am to be happy or
     miserable for life",-1,
send,-1,
all gone,-1,
St. James' street,-1,
so charming,-1,
Barracks,-1,
with an accuracy worthy of a Mohican,-1,
Robertson',-1,
and the marriage contract,-1,
very large,-1,
which not,-1,
Spain,-1,
leaning on their gouty,-1,
rustic fairy-bridge,-1,
the watchman',-1,
rattled,-1,
I took him in delightfully,-1,
De Crespigny and,-1,
instead of being,-1,
and receded again,-1,
though to her,-1,
her neck,-1,
Mid-Lothian,-1,
"and her teeth were set with
     an air of resolute determination",-1,
amount,-1,
from Richard,-1,
with inextinguishable hope,-1,
head will,-1,
that Mr. Granville,-1,
Your,-1,
"we shall become
     friends",-1,
Geneva,-1,
"Captain De Crespigny misinformed my brother so much
     about the society here",-1,
which is but,-1,
astronomy,-1,
Leeds,-1,
When Mrs,-1,
Marion,-1,
those who have resided,-1,
and with much selfishness,-1,
"two-and-thirty
     carriages were assembled",-1,
once now,-1,
"whatever
     might be the impediments",-1,
Caroline did to excess,-1,
and lofty composure,-1,
would have thought,-1,
gives,-1,
sunk upon a seat,-1,
advised,-1,
"remembered her
     formerly to have said",-1,
strange,-1,
beside which were written many,-1,
I am much,-1,
strolled,-1,
so unlike anything,-1,
for work,-1,
without ever seeming,-1,
to palliate the faults,-1,
well-knit,-1,
"crumpling up the newspaper in his
     hand",-1,
old scenes,-1,
Really,-1,
ingeniously,-1,
heavy,-1,
where every,-1,
life,-1,
"which he certainly
     shall be without much ceremony",-1,
aroused,-1,
and the philosopher',-1,
sneered at marriage,-1,
"laughingly
     selecting",-1,
You,-1,
contemptuously,-1,
adding,-1,
over-head,-1,
their wealth,-1,
strong,-1,
seeing her candle nearly burned out,-1,
evidently that,-1,
and a thousand laughing dimples,-1,
"which
     she thought might well",-1,
like an Arabian desert,-1,
livid,-1,
over-excited,-1,
Florence,-1,
one could tell,-1,
"the nick-name of """,-1,
gave him an air of irritable melancholy,-1,
wherever,-1,
wooden gallery,-1,
Tell John to drive,-1,
neither on this occasion,-1,
"brother,—Miss Dunbar",-1,
finding himself watched,-1,
misfortune,-1,
Turning,-1,
salt,-1,
Brownlow',-1,
yet,-1,
lot,-1,
unmoved,-1,
severe,-1,
instead of attempting to give any rational assistance,-1,
"given at an expense which the young ladies
     know to be ruinous",-1,
Pinnock',-1,
treated upon,-1,
carelessly,-1,
parcels,-1,
Tunbridge-ware work-box,-1,
amidst the yells,-1,
and galloped out of sight,-1,
Limerick,-1,
pic-nic is in the case,-1,
Cling,-1,
gave way to bursts of tempestuous emotion,-1,
step,-1,
"The most superb houses are those most generally
     deserted by their owners",-1,
from hope to despair,-1,
anxiously,-1,
and nearly boyish,-1,
her hands were faintly clasped together,-1,
their world,-1,
that her,-1,
"ours:—  
  
  ""We have lived and   laughed",-1,
from whatever,-1,
reminded,-1,
slow,-1,
Richard's constancy,-1,
uttering,-1,
we love each,-1,
penniless,-1,
and cautiously,-1,
with an air of fierce determination,-1,
perhaps,-1,
watching,-1,
cynical,-1,
Ireland,-1,
preserving,-1,
Barons,-1,
hers,-1,
his fancy,-1,
and then I shall be secure,-1,
and medicine,-1,
Husbands,-1,
Crawford tells me that an,-1,
woods,-1,
Novel-reading,-1,
Caterick Bridge,-1,
Granby Hotel,-1,
De Crespigny being her affianced,-1,
either from her,-1,
whether,-1,
"though I know it is merely
     an unconquerable habit you have of saying the same thing to every young lady",-1,
affectionate,-1,
"occasionally to
     wander in the attractive regions of fiction",-1,
her whole feelings lacerated,-1,
and artful,-1,
and a gouty black velvet shoe,-1,
conspicuously,-1,
surrounded by a perfect armory of rifles,-1,
duty,-1,
meet;—tell,-1,
valetudinarian,-1,
Granville is not upon visiting,-1,
acre,-1,
milithary man,-1,
and a thousand conjectures respecting,-1,
hypocritical,-1,
head,-1,
horrid,-1,
throat,-1,
"with
     himself",-1,
wealth and title,-1,
"whatever it
     be, is all his own fault,—and he was quite as ready",-1,
nerve where agony was born,-1,
without mutual confidence,-1,
Galloway,-1,
at Harrowgate,-1,
the gravel-walk,-1,
"while
     her fancy very seldom strayed",-1,
and find her if,-1,
from the butler,-1,
gaudy,-1,
a thorn,-1,
deep,-1,
beheld,-1,
entitle,-1,
was,-1,
known every,-1,
tone of profound sadness,-1,
going,-1,
like,-1,
reading,-1,
Crespigny with,-1,
Be severe,-1,
with a feeling of unutterable shame and consternation,-1,
sarcastically,-1,
"therefore it is quite fair that
     others should not pay at all",-1,
crucifixes,-1,
