text,cluster,cluster_corrected
froek,0.0,
HIorroeks,0.0,
Rebccca,1.0,
llebccca,1.0,
Rebcecca,1.0,
Brougham,2.0,
rouge,2.0,
Britain,3.0,
Great Britain,3.0,
Brittany,3.0,
Iaithful,4.0,
Fulham,4.0,
respecetful virgin,4.0,
Smithfield,4.0,
Schliisselback,5.0,
Elba,5.0,
Humbourg-Schlippensehloppen,5.0,
hounls,6.0,
Younr,6.0,
usunl,6.0,
bounl,6.0,
Guarsmmn,7.0,
Mammn,7.0,
Coguac,7.0,
Whitefriars,7.0,
Oxford,8.0,
Bedford,8.0,
Lordslip,8.0,
Brentford,8.0,
nucl wickeder,9.0,
Brunswick,9.0,
Lederlung,9.0,
CIII9WICK,9.0,
Lncken,9.0,
L W,9.0,
Ricketts,9.0,
Chiswick,9.0,
Lewes,10.0,
Cowes,10.0,
eWe,10.0,
Wesleyan,10.0,
Mudbury,11.0,
Bbur,11.0,
Mulbury,11.0,
Edinburgh,11.0,
Burschen,11.0,
Canterbury,11.0,
Ilave,12.0,
Caven-,12.0,
Dalilah,12.0,
Avernus,12.0,
Mutila,12.0,
Bruges,13.0,
DBruges,13.0,
Bloomnsbury,14.0,
Strasburg,14.0,
Beuty,14.0,
Blooms-,14.0,
bDixonary,15.0,
bDidn't,15.0,
nona,15.0,
Caradoes,16.0,
Caradori,16.0,
May Fuir,17.0,
Vanity Fuir,17.0,
Fuir,17.0,
Armada,18.0,
Armageddon,18.0,
nh pa-ages,18.0,
Magnificent,18.0,
India,19.0,
Indisn,19.0,
East India,19.0,
India1,19.0,
"tlc
East India Company's",19.0,
Indin,19.0,
the Chickasaw Indians,19.0,
Charlotte,20.0,
Charlotte hnd,20.0,
cople,21.0,
Naples,21.0,
Temple,21.0,
Rzebecca,22.0,
Rebecn,22.0,
lebecca,22.0,
RBebecca,22.0,
aske Rebecca,22.0,
HRebecca,22.0,
Rcecca,22.0,
Relecca,22.0,
Rlebecca,22.0,
llebeccn,22.0,
Reheecca,22.0,
Bebecca,22.0,
Hebecca,22.0,
Quebec,22.0,
Ilebecca,22.0,
Rebecca,22.0,
"Rebeccas
snid",22.0,
Scotch,23.0,
"Scotch
livine",23.0,
Denmark Hill,24.0,
Denmark,24.0,
Iront,25.0,
Rio Janeiro,25.0,
Iromn,25.0,
bont,25.0,
YANIY AI,26.0,
YANITY AIR,26.0,
Vnnity,26.0,
Vanity,26.0,
Henven,27.0,
Ghent,27.0,
Slnve,27.0,
Grosvenor,27.0,
Machiavellian,28.0,
Williamn,28.0,
Parliamnent,28.0,
Willia,28.0,
Rector,29.0,
Vittoria,29.0,
MrIao,29.0,
Wittgenstein,29.0,
Pitt,29.0,
History,29.0,
Bayswater,30.0,
Waterloo,30.0,
IIammerlown,30.0,
Wterloo,30.0,
Prk Lane,31.0,
anele,31.0,
Park lLane,31.0,
Binkic,32.0,
pubkic,32.0,
Binkie,32.0,
New Gnunt,33.0,
New Gnunt-street,33.0,
Leeds,34.0,
ahre,34.0,
Threadneedle,34.0,
Threadneedle Street,34.0,
Indeel,35.0,
Minden,35.0,
Bnden,35.0,
MIndnme Strumpff,35.0,
Garlands,36.0,
Switserland,36.0,
Sands,36.0,
"South Sen
Islands",36.0,
anl,37.0,
husbanl,37.0,
nanl,37.0,
bDean,38.0,
Ocean,38.0,
bDemagogue,38.0,
Boney,39.0,
Funey,39.0,
YAGABOND,39.0,
Spooney,39.0,
Brompton,40.0,
hBrompton,40.0,
Bromptou,40.0,
lawycrs,41.0,
Notn,41.0,
Bicetre,41.0,
Notre,41.0,
IIlIll,42.0,
Ili,42.0,
IILRO,42.0,
Bulgaria,43.0,
Bulbul,43.0,
Miaria,43.0,
Trafalgar,43.0,
wherc,44.0,
whero,44.0,
IHERO,44.0,
hepherd,44.0,
whef,44.0,
thcm iu,45.0,
thcm,45.0,
Athcns,45.0,
Amnelin,46.0,
Aelin,46.0,
Amelin,46.0,
Amelina,46.0,
Belinda,46.0,
Camelot,46.0,
Mmelin,46.0,
Osborue,47.0,
Oslorue,47.0,
Cnptain George Osborue,47.0,
deeorum,47.0,
Osbome,47.0,
accompanicd,48.0,
Pompadour,48.0,
Pompeii,48.0,
Lorlsouthdown,49.0,
"Lady
Southdown's",49.0,
Southdowu,49.0,
Soutludown,49.0,
Lorlship,49.0,
Hodlsor,49.0,
Vnuslall,50.0,
Polal,50.0,
Hall,50.0,
Countcss,51.0,
County,51.0,
Counceil,51.0,
abot county,51.0,
Mount,51.0,
naccounts,51.0,
County Kildnre,51.0,
Ealing,52.0,
Wcllington,52.0,
Wellingtons,52.0,
Wellington,52.0,
Islington,52.0,
Slc,52.0,
Slingstone,52.0,
Ballinasloe,52.0,
XVIII,53.0,
XVII,53.0,
Louis XVIII,53.0,
"MD COIIDMTtAD
--IIIYr",53.0,
Albion,54.0,
Albums,54.0,
Albany,54.0,
Gaunt IHouse-,55.0,
Gaunt,55.0,
"L

l
-'Y",55.0,
Iused,55.0,
States,56.0,
Ites,56.0,
braten,56.0,
Potentate,56.0,
los.,57.0,
los,57.0,
the Russian Order of Sint Nicholas,58.0,
Asia,58.0,
Prussin,58.0,
Russia,58.0,
Ilussia,58.0,
----LLf,59.0,
LE-----7s,59.0,
Clapham,60.0,
"like,-declarig",60.0,
Pharaoh,60.0,
wham,60.0,
Clapp,60.0,
Madeira,61.0,
Mndeira,61.0,
Mlaleira,61.0,
Maleira,61.0,
thc kingdom,62.0,
Abingdon,62.0,
Inn,63.0,
Inn of,63.0,
inn,63.0,
"iittlo
linner",63.0,
linnr,63.0,
Udolplo,64.0,
Loudon,64.0,
Dolbin,64.0,
MIud-,65.0,
Iudia,65.0,
Irdia,65.0,
WHICII,66.0,
WHICII JO3 TAKEs,66.0,
whiceh,66.0,
WRICII,66.0,
Jovc,67.0,
Jovel,67.0,
Dobbin,68.0,
Dobbsin,68.0,
Dobbinu,68.0,
Chcltenam,69.0,
Jena,69.0,
Cheltenham,69.0,
Impire,70.0,
Jabotiire,70.0,
itl,70.0,
Empire,70.0,
Mozurt,71.0,
quurtera,71.0,
n Court-,71.0,
Litfe Gurds,72.0,
Macmurdo,72.0,
ie.ele g-s,72.0,
Colony,73.0,
Polonis,73.0,
Colonies,73.0,
Cato,73.0,
Prinee Polonia's,73.0,
Sussex,74.0,
Susses,74.0,
hosses,74.0,
Demerara,75.0,
Geran,75.0,
perseverancc,75.0,
Geueral,75.0,
nnd,76.0,
nda,76.0,
Mirnnda,76.0,
Miafortune,77.0,
fort,77.0,
Fort Schwagerl,77.0,
pule,77.0,
Lnura,78.0,
Luura,78.0,
Pilt,79.0,
Cupil,79.0,
Jupiter,79.0,
Mango,80.0,
oman,80.0,
Germany,80.0,
pomatum,80.0,
Manmma,80.0,
Piccadilly,81.0,
Ill,81.0,
Cornhill,81.0,
Ill.,81.0,
Rel Seas,82.0,
Servt,82.0,
thein,82.0,
"their eonfidential servants,-so",82.0,
Hants,82.0,
bce sentimcntal,82.0,
Jos,83.0,
"suffers,-and",83.0,
"Jos,-and",83.0,
"night,-and",83.0,
us City,84.0,
City,84.0,
ths City,84.0,
thc city,84.0,
Feasting,85.0,
Destiny,85.0,
East,85.0,
Jingo,85.0,
Amcelia,86.0,
Anelia,86.0,
Armelia,86.0,
Aielia,86.0,
Aelia,86.0,
Amelia,86.0,
Melia,86.0,
MAmelia,86.0,
Auelia,86.0,
melia,86.0,
mel,86.0,
Mmelia,86.0,
Mmeli,86.0,
lelia,86.0,
Lndy Amelia,86.0,
Nsjor,87.0,
Meejor,87.0,
Msjor,87.0,
Major,87.0,
Nnpoleon,88.0,
Nanoleon,88.0,
Pnris,89.0,
Moorish,89.0,
Irishwomn,89.0,
Gauut,90.0,
auut,90.0,
beaux,91.0,
Bordeaux,91.0,
Eaut,91.0,
"St.
aul's",92.0,
St. Peter's,92.0,
St. Paul's,92.0,
St. Paneras,92.0,
West,93.0,
West End Swell,93.0,
West End,93.0,
the West End,93.0,
Rowlnand,94.0,
Scotland,94.0,
Ireland,94.0,
Shetland,94.0,
Flanders,94.0,
Sheba,94.0,
Newfoundland,94.0,
