text,cluster,cluster_corrected
us City,-1,
Batavier,-1,
froek,-1,
"Hushl
sileneel",-1,
Transpareney,-1,
Demerara,-1,
Russell squre,-1,
lawycrs,-1,
EG,-1,
Rebccca,-1,
Billingsgate,-1,
Brougham,-1,
Britain,-1,
uecn,-1,
Iaithful,-1,
Canada,-1,
Recbecca,-1,
Dover,-1,
Schliisselback,-1,
hounls,-1,
Fcltham,-1,
withont,-1,
Guarsmmn,-1,
Nuthan,-1,
Rebeecca,-1,
YANIY AI,-1,
Amnelin,-1,
Freneh,-1,
Oxford,-1,
Armada,-1,
"rv
l",-1,
Aeis,-1,
Rel Seas,-1,
Fuddleston,-1,
nucl wickeder,-1,
a few lincs,-1,
cr,-1,
Notn,-1,
Rotterdam,-1,
"Yis
l
l
- .",-1,
Leeds,-1,
Lndies,-1,
Machiavellian,-1,
Lewes,-1,
Parc,-1,
It'as,-1,
wasa,-1,
Albion,-1,
Bayswater,-1,
Mudbury,-1,
Kew Gardens,-1,
Mango,-1,
Dundas,-1,
Rowlnand,-1,
Ilave,-1,
Decky,-1,
Bois,-1,
Bloomnsbury,-1,
bDixonary,-1,
York,-1,
Curzon,-1,
Amcelia,-1,
Snch,-1,
Caradoes,-1,
Montmoreucy,-1,
Firin,-1,
May Fuir,-1,
Rawdon,-1,
the Blaek Hole,-1,
Armageddon,-1,
personasge,-1,
Jais,-1,
Madeira,-1,
Indeel,-1,
Persia,-1,
Charlotte,-1,
Ealing,-1,
ahre,-1,
Prague,-1,
Bbur,-1,
Belginns,-1,
stueco,-1,
lBoth,-1,
IInmpshire,-1,
Rector,-1,
curcao,-1,
cople,-1,
Cashmere,-1,
Rzebecca,-1,
Somersetshire,-1,
Scotch,-1,
Frenchmnan,-1,
Mammn,-1,
Denmark Hill,-1,
Hornsey,-1,
Ms'am,-1,
Faro,-1,
Iront,-1,
Bicetre,-1,
thcm iu,-1,
Orlenns,-1,
UK,-1,
Sehxueuelt,-1,
Mulbury,-1,
chnmbermaid,-1,
St. Kitt's,-1,
Madrns,-1,
YANITY AIR,-1,
Osbaldiston,-1,
Grady,-1,
Lcipzig,-1,
City,-1,
lng,-1,
Iahimo,-1,
"Coventry
Island",-1,
the Russian Order of Sint Nicholas,-1,
the Mnrquis of,-1,
Portlnnd Place,-1,
Gcorgy,-1,
Rebecn,-1,
the Red Baook,-1,
Henven,-1,
abrond libcrally,-1,
Williamn,-1,
Vittoria,-1,
nnd,-1,
Long Acre,-1,
Waterloo,-1,
nwe,-1,
Asia,-1,
Countcss,-1,
Anelia,-1,
accompanicd,-1,
Cowes,-1,
"the City, Sir",-1,
eWe,-1,
Parliamnent,-1,
the Ale-Verle,-1,
OW,-1,
That Hampshire,-1,
Bonaparty,-1,
nursemnid,-1,
Prk Lane,-1,
forer yearas,-1,
O'Dow,-1,
nda,-1,
grin-'`Brazil,-1,
Binkic,-1,
New Gnunt,-1,
Threadneedle,-1,
St.,-1,
Scotland,-1,
the MIadras Rouds,-1,
lalies,-1,
Omplle,-1,
Servt,-1,
Minden,-1,
Mndras,-1,
Babylon,-1,
Belgium iu,-1,
Garlands,-1,
yenr,-1,
thie City,-1,
Dearest George,-1,
anl,-1,
bDean,-1,
Rio Janeiro,-1,
llebccca,-1,
Frenchwoan,-1,
P.S.,-1,
rufs,-1,
Boney,-1,
Englad,-1,
lome,-1,
Ireland,-1,
Mndeira,-1,
wherc,-1,
Vanity Fuir,-1,
Notre,-1,
Colony,-1,
nhl,-1,
IIlIll,-1,
Bulgaria,-1,
Good Gol,-1,
EEGE,-1,
whero,-1,
Indisn,-1,
Charing,-1,
Hart Street,-1,
Vienna,-1,
Glenmalony,-1,
Frenchmen,-1,
Moseow,-1,
Iodgers,-1,
Mlonplaisir,-1,
Aelin,-1,
thcm,-1,
Brunswick,-1,
Amelin,-1,
Yenus,-1,
Maakou,-1,
Osborue,-1,
Gayd,-1,
Regulus,-1,
Pompadour,-1,
Old England,-1,
Knightsbridge,-1,
Blenheim,-1,
Jos,-1,
Armelia,-1,
Monseineur,-1,
Panitatan,-1,
Lorlsouthdown,-1,
Fulham,-1,
8he,-1,
the West Inies,-1,
talkativc,-1,
Louis,-1,
Vnuslall,-1,
Prussin,-1,
Amelina,-1,
Dnblin,-1,
llawdon,-1,
Crawlcey,-1,
I1l,-1,
Madrs,-1,
County,-1,
"St.
aul's",-1,
HIorroeks,-1,
Wcllington,-1,
"suffers,-and",-1,
Methusalem,-1,
Richelieu,-1,
Hawdon Crawley,-1,
Thames St.,-1,
XVIII,-1,
Crasley,-1,
Albums,-1,
Gaunt IHouse-,-1,
Bombay,-1,
Ience,-1,
Iromn,-1,
States,-1,
NoEL,-1,
MIud-,-1,
Thomson,-1,
nnswerel,-1,
los.,-1,
Russia,-1,
Piccadilly,-1,
the Valley of Diamonds,-1,
----LLf,-1,
Aielia,-1,
Continent,-1,
Bcngal,-1,
Yorkshire,-1,
Cambridge,-1,
Belgravia,-1,
Marquuis,-1,
Funey,-1,
Ites,-1,
Bedford,-1,
the Bay,-1,
Cracksman,-1,
Clapham,-1,
the dark sea,-1,
husbanl,-1,
gentlemnan.,-1,
Peer,-1,
ns,-1,
Mlaleira,-1,
New Gnunt-street,-1,
thc kingdom,-1,
MrIao,-1,
LE-----7s,-1,
do't,-1,
"Mount
St. Jolmn",-1,
Perigord,-1,
Lederlung,-1,
Miss.,-1,
H.H.,-1,
Caven-,-1,
Fuir,-1,
Rcbecea,-1,
Younr,-1,
Shylock,-1,
los,-1,
"tlem ofl
302",-1,
Oliseick,-1,
Coguac,-1,
Mairas,-1,
Inn of,-1,
Aelia,-1,
Pilt,-1,
Brussels,-1,
St. George's Hospital,-1,
Udolplo,-1,
Lnura,-1,
Loudon,-1,
iu London,-1,
"Cnptain
Dobbsin",-1,
Pulaee,-1,
Iudia,-1,
Sovecreign,-1,
XVII,-1,
lecky,-1,
Roc,-1,
Chapelle,-1,
Bulbul,-1,
Switserland,-1,
WHICII,-1,
Maintenon,-1,
lrighton,-1,
plaee,-1,
ueen,-1,
Ostend,-1,
Jovc,-1,
"like,-declarig",-1,
SB,-1,
cnrls,-1,
"Lady
Southdown's",-1,
Chcltenam,-1,
Miafortune,-1,
Trssarenc,-1,
Providence,-1,
Bethesda Place,-1,
West,-1,
Sussex,-1,
Butc,-1,
Impire,-1,
Porteus,-1,
"Stillbrook, Becky",-1,
Mozurt,-1,
IHIul,-1,
mde,-1,
Cape,-1,
Litfe Gurds,-1,
quurtera,-1,
chino,-1,
nolle,-1,
Hawaon,-1,
France,-1,
Polonis,-1,
Bogglywollah,-1,
Geograply,-1,
Susses,-1,
TT,-1,
CIII9WICK,-1,
Yonder,-1,
Geran,-1,
Mirnnda,-1,
Bagshot,-1,
LVI,-1,
know-,-1,
fort,-1,
Bccky,-1,
Luura,-1,
Cupil,-1,
Colonies,-1,
thein,-1,
Anclia,-1,
Loulon,-1,
West End Swell,-1,
East India,-1,
Lsdy Steyue,-1,
Bgwig,-1,
mny,-1,
oman,-1,
Ill,-1,
Bois de Boulogne,-1,
Champague,-1,
Snuf,-1,
"their eonfidential servants,-so",-1,
"Jos,-and",-1,
Surrey,-1,
Gazette,-1,
Rowson,-1,
Booterstown,-1,
ths City,-1,
Feasting,-1,
IIammerlown,-1,
Hnd Relccca's,-1,
Mahometan,-1,
the Cannibal Islands,-1,
Fakce,-1,
Lnadyship,-1,
Wet,-1,
Nsjor,-1,
bDidn't,-1,
braten,-1,
Jena,-1,
Nnpoleon,-1,
Pnris,-1,
Moorish,-1,
the Boule d'Or,-1,
M1AEPIEA,-1,
New Orleans,-1,
Gauut,-1,
beaux,-1,
St. Peter's,-1,
Laly Crawley,-1,
St. Paul's,-1,
hpril,-1,
West End,-1,
Ghent,-1,
Manchester,-1,
Iun,-1,
Dobin,-1,
perseverancc,-1,
Hampsteud,-1,
Shetland,-1,
Ihh,-1,
aske Rebecca,-1,
Holland,-1,
Saint Helena,-1,
Gueen,-1,
Al,-1,
wteh,-1,
Orleans,-1,
Cornhill,-1,
obtainel,-1,
Naples,-1,
Valencicnnes,-1,
Kibob bBey,-1,
Lndy Crawley,-1,
Southanpton Row,-1,
"Kensington
Gardens",-1,
niue,-1,
Dresden,-1,
Brighton,-1,
Counceil,-1,
d'h6te,-1,
Wlere,-1,
Mi,-1,
Grcat Gaunt Street,-1,
Miaria,-1,
Port,-1,
hosses,-1,
Maria,-1,
the West Indics,-1,
ns Crawley,-1,
Bordeaux,-1,
"dnys,-",-1,
HOAI,-1,
Japan,-1,
Greek Street,-1,
Long Island,-1,
Meejor,-1,
Pineries,-1,
Buxton,-1,
Perhnps,-1,
Ma'am,-1,
Auelia,-1,
Kensington,-1,
Germany,-1,
thou,-1,
Flanders,-1,
Charlotte hnd,-1,
abot county,-1,
"night,-and",-1,
handkerchiefs,-1,
Mliss lBullock,-1,
Islington,-1,
eHe,-1,
Oystherstown,-1,
Bronet,-1,
Loder,-1,
St. James's,-1,
Londou,-1,
wonld,-1,
the Fre City of JudenstuIt,-1,
Concord,-1,
the St. Leger,-1,
mel,-1,
Baker Street,-1,
bucekskins,-1,
Fitzjurld,-1,
kiss,-1,
Mareh,-1,
Polal,-1,
whitherP,-1,
Albany,-1,
aflairs tn,-1,
Mmelia,-1,
Great Britain,-1,
ark,-1,
Relccca,-1,
Hussell,-1,
Stadthnus,-1,
St. Paneras,-1,
tle City nt,-1,
hwve yoeu,-1,
Glorvinn,-1,
HLEBO,-1,
Glorvina,-1,
Alton,-1,
Hnmshire,-1,
ZN,-1,
the Duke of Orleans,-1,
A20,-1,
motley,-1,
Cnaptain,-1,
Salamanca,-1,
thce city,-1,
Dob,-1,
Camberwell,-1,
Chatham,-1,
Curzon Street,-1,
Lncken,-1,
yong,-1,
L W,-1,
wonlerful,-1,
"L
-a--",-1,
pekin,-1,
Goernorship,-1,
awarl,-1,
Goliah,-1,
Sainut Martin's,-1,
Wterloo,-1,
Corporal,-1,
Southampton,-1,
Mliss,-1,
Rome,-1,
Pharaoh,-1,
Chaffers,-1,
Bulloeck,-1,
realy,-1,
Fort Schwagerl,-1,
kawdon,-1,
Belinda,-1,
Dalilah,-1,
Jcw,-1,
New York,-1,
Pump,-1,
pule,-1,
Cecilia,-1,
Saint Kitts,-1,
Threadneedle Street,-1,
lEarl,-1,
mo thie,-1,
"L
l
e.",-1,
Captsin,-1,
Mount,-1,
Louis XVIII,-1,
Dublin,-1,
Jabotiire,-1,
Devonshire,-1,
Darton,-1,
Slnve,-1,
pcrhaps,-1,
Sheba,-1,
Geueral,-1,
Lausanne,-1,
Ilnr,-1,
Sands,-1,
EI,-1,
Hnll,-1,
Londonderry,-1,
M.P.,-1,
Ilussia,-1,
Oslorue,-1,
"St.
Gcorge's",-1,
Kangaroo,-1,
Opera,-1,
Frenchi,-1,
Wildbad,-1,
Hardenberg,-1,
Avernus,-1,
"Lsdy
Crawley",-1,
Southampton Gaol,-1,
Hritannia,-1,
MIichael,-1,
Blecss,-1,
Great Gaunt Street,-1,
IIERO,-1,
the West Indies,-1,
NH,-1,
naccounts,-1,
Gillespie,-1,
Trnncis,-1,
Saint IIelena,-1,
sunshine ns,-1,
Ramsgate,-1,
Beocky,-1,
the West Inlies,-1,
"tlc
East India Company's",-1,
the Insuranee Offios,-1,
Lidy Crawley,-1,
Hall,-1,
Begleitung,-1,
Moira Plaee,-1,
Park,-1,
golden auburn,-1,
South-,-1,
itl,-1,
societ,-1,
Camelot,-1,
lnjee,-1,
Bierstadt,-1,
"Bois de
Boulogne",-1,
Chapels,-1,
the H. H.,-1,
Jamaic,-1,
Newfoundland,-1,
Glorina,-1,
consin,-1,
Dulwich,-1,
Jericho,-1,
Rcbecca,-1,
WHICII JO3 TAKEs,-1,
Wuen,-1,
Southamptou,-1,
Euarl,-1,
Molyneus,-1,
Leipzig,-1,
"Ih
'",-1,
Sundny,-1,
Moscow,-1,
Cnnbridge,-1,
kc,-1,
Butler,-1,
nona,-1,
the West End,-1,
Rebecec,-1,
instructiug,-1,
Ocean,-1,
Rcecca,-1,
tle City,-1,
Coventry,-1,
Italy,-1,
Club,-1,
Relecca,-1,
Buckinghamshire,-1,
Seeretary,-1,
Gaunt,-1,
Mutila,-1,
Marin,-1,
Tours,-1,
Destiny,-1,
Wiltshire,-1,
hai,-1,
Therc,-1,
Laly,-1,
Christin,-1,
Africa,-1,
Silenus,-1,
Neapolitan,-1,
ns wc,-1,
Black Bess,-1,
Cannes,-1,
"Wapping Old
Btairs",-1,
Englanl,-1,
Wittgenstein,-1,
St. Helena,-1,
THIE P1YIILY,-1,
Miesty,-1,
IM,-1,
Borodino,-1,
Crawley,-1,
Io,-1,
Slingstone,-1,
Indin,-1,
Cuptain,-1,
Ilcbecca,-1,
the Magic Flute,-1,
Saint Jean,-1,
Fairs,-1,
Marquisl,-1,
thosc,-1,
Southampton Row,-1,
St. Kitts,-1,
Gray,-1,
Lnglish,-1,
Finchley,-1,
Cnptsin,-1,
oaly,-1,
Great Gaunt-,-1,
IHERO,-1,
Eny,-1,
EL,-1,
Peerage,-1,
Molasses,-1,
thc city,-1,
ggy,-1,
rI,-1,
"La u
t",-1,
Legaey,-1,
Ialy,-1,
Nob,-1,
Grosvenor,-1,
that1,-1,
Coventry Island,-1,
"Scotch
livine",-1,
HEERO,-1,
Troy,-1,
"iittlo
linner",-1,
Laly Emily,-1,
Culais,-1,
nnother,-1,
"fell,-she",-1,
cn lny,-1,
Jupiter,-1,
Edinburgh,-1,
Mount Saint John,-1,
Buuday,-1,
Sambo,-1,
"Park
Lane",-1,
St. Vincent's,-1,
Rebcecca,-1,
Squills,-1,
Versailles,-1,
Southdowu,-1,
HIampshire,-1,
Esquire,-1,
Cork,-1,
oboy,-1,
Wesleyan,-1,
Esq,-1,
calle,-1,
daya,-1,
Hornby,-1,
auut,-1,
kncw,-1,
Cumbrilge,-1,
East,-1,
paragon,-1,
Glowry,-1,
Nassau,-1,
Houri,-1,
whiceh,-1,
Kalydor,-1,
Cnptain George Osborue,-1,
Msjor,-1,
"L
II",-1,
Desert,-1,
Mmeli,-1,
Mmelin,-1,
the Prince of Wales,-1,
Crawlcey avenue,-1,
n Court-,-1,
Crnwley,-1,
Hants,-1,
postre,-1,
Wiuehester,-1,
Vnnity,-1,
WI,-1,
Vanity,-1,
Brssels,-1,
Rebeeca,-1,
hepherd,-1,
Turkey,-1,
chieerful,-1,
bce sentimcntal,-1,
Corsicnn,-1,
llebeccn,-1,
"Half Moon
Street",-1,
Ili,-1,
Consul,-1,
Soereign,-1,
West Indies,-1,
Ameclia,-1,
Ladyship,-1,
Suint Helena,-1,
lis cen,-1,
the City of London,-1,
Ill.,-1,
Mount St.,-1,
"L

l
-'Y",-1,
the Grand Mogl,-1,
Roehampton,-1,
Tomeuvesiun,-1,
Manton,-1,
Reheecca,-1,
Cimarosa,-1,
Bombasy,-1,
Potentate,-1,
the Ring of yde Park,-1,
Lngland,-1,
Hampshire,-1,
the Artlur of her day,-1,
Burschen,-1,
seeret,-1,
ns sle,-1,
Spuain,-1,
Marouis,-1,
whef,-1,
British Boulogne,-1,
Emm,-1,
Jemia,-1,
Regent,-1,
Holborn,-1,
Hyle Park,-1,
Pitt,-1,
AI,-1,
Swamptown,-1,
YAGABOND,-1,
Sultan,-1,
HIoggarty,-1,
St. George's,-1,
nys,-1,
Cutts,-1,
Crmrthenshire,-1,
papa2,-1,
"L
L",-1,
pomatum,-1,
Christchurch,-1,
Iamily,-1,
Sereuities,-1,
Yon'rc,-1,
Wiesbaden,-1,
Iirst,-1,
heaen,-1,
Jemima,-1,
"Bouleard de
Gand",-1,
Cheltenham,-1,
