text,cluster,cluster_corrected
us City,0,
City,0,
"the City, Sir",0,
Vanity,0,
Jemima,0,
the City,0,
CAPE,1,
Cape,1,
Cape Town,1,
Gillespie,2,
Versailles,2,
Smallest,2,
Achilles,2,
Spiggot,2,
Bevetendt,3,
Nineveh,3,
Far,3,
Ostend,3,
Dover,4,
ND,4,
Lover,4,
Sovereigns,4,
Silvery,4,
Liverpool,4,
Flint,5,
Point-,5,
R.A.,5,
IL,5,
Hall,6,
Mall,6,
Esq,6,
Ballinasloe,6,
St. George’s,7,
St. George’s Hospital,7,
"St.
George’s",7,
Batavier,8,
Oxford,8,
fort,8,
Brentford,8,
Armada,9,
Madeira,9,
Albums,9,
Madame Strumpff,9,
Chapels,10,
ST,10,
Chapelle,10,
Surrey,10,
Angelséme,10,
the Hyde Park,11,
the H. H.,11,
the Magic Flute,11,
the Niagara cataract,11,
the Dreams Roads,11,
the Straight Waistcoat,11,
LA,11,
the Valley of Diamonds,11,
the dark sea,11,
the Black Hole,11,
the Queen of She,11,
Bethesda Place,11,
the South Sea,11,
the New Road,11,
the Atlantic Ocean,11,
the Arabian Nights,11,
the Latin Grammar,11,
"the moon
aux",11,
the Marquis of Stone’s,11,
the Red Book,11,
the Green Avenue,11,
Dulwich,12,
Soho,12,
Richmond,12,
Greenwich,12,
Junior,12,
Harwich,12,
Mudbury,13,
Edinburgh,13,
Highbury Barn,13,
Canterbury,13,
Leeds,14,
Need,14,
Threadneedle,14,
M.P.,14,
Rawdon,15,
Corydon,15,
Don Juan,15,
Wimbledon,15,
Trumpet,16,
Peterwaradin,16,
Truth,16,
Puppets,16,
Pump,16,
quarters.—And,17,
girl””—and,17,
"night,—and",17,
"care,—and",17,
Jamaica,18,
Africa,18,
Richelieu,18,
America,18,
ne&t,18,
Silenus,19,
Blenheim,19,
Nile,19,
Buckinghamshire,20,
HAMPSHIRE,20,
Louis,20,
Hampshire,20,
Shropshire,20,
Canada,21,
Cannes,21,
Lausanne,21,
Booth,22,
Quashyboos,22,
Mrs,23,
Rector,23,
Vittoria,23,
History,23,
Quatorze,23,
Saint Jean,24,
PP,24,
Mount Saint John,24,
Saint Helen,24,
Saint Martin’s Lane,24,
the Russian Order of Saint Nicholas,24,
Saint Jams,24,
Saint Kitts,24,
Great Gaunt Street,25,
Great Gaunt,25,
Gaunt,25,
Gaunt-square,25,
Great Gaunt-,25,
New Gaunt,25,
Great Britain,25,
Fairs,26,
Peerage,26,
Peer,26,
Venice,27,
Grosvenor,27,
Heavens,27,
Venus,27,
Coventry,28,
Coventry Island,28,
"Coventry
Island",28,
l’aisle,28,
Macmurdo,28,
the Cannibal Islands,28,
Long Island,28,
MR,28,
Park,29,
Nob,29,
Ofcaane,29,
"Park
Lane",29,
&.,29,
St.James’s Park,29,
Hyde Park,29,
Boulevard de,30,
Boulogne,30,
Desert,30,
Boulogue,30,
Cologne,30,
Windsor,31,
the West Winds,31,
the West Ladies,31,
ZZ,32,
Cowes,32,
Wesleyan,32,
motley,32,
Moscow,33,
Scotland,33,
Shetland,33,
Portland,33,
&.—Miss,34,
Miss.,34,
Miss,34,
kiss,34,
Long Acre,35,
Babylon,35,
Colony,35,
Glenmalony,35,
Polonia,35,
the Prince of Wales’s,36,
the Prince of Wales,36,
Ak,36,
the Residence of Madame,36,
the Prince Regent,36,
Billingsgate,37,
Ramsgate,37,
Negation,37,
Harrogate,37,
know-,37,
Margate,37,
Pharaoh,37,
Major,37,
Joy,38,
Joy.,38,
Enjoy,38,
Ireland,39,
Cato,39,
Except Ireland,39,
Noir,39,
the Peerage of Ireland,39,
Wrench,40,
Florence,40,
Montmorency,40,
Frenchmen,40,
Trenck,40,
Rotterdam,41,
Metternich,41,
Gazette,41,
Munich,41,
~It,41,
Turkey,42,
Bagshot,42,
Pictures,42,
Turnham,42,
St. John’s,43,
"St. John’s
Wood",43,
"Mount
St. John",43,
St. Just,43,
Leipzig,44,
Ladyship,44,
Tadyship,44,
Brougham,45,
Champaign,45,
Fulham,45,
Cheltenham,45,
C.B.,45,
Langham,45,
Hamlin,45,
Viscount Hellborough,46,
Mount St.,46,
County,46,
County Mildred,46,
the County Dark,46,
¢found,46,
Mount,46,
P.S.,47,
la,47,
po,47,
Asia,48,
Austria,48,
Australasia,48,
