cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10
0.0,MARS,Mars,Marengo,,,,,,,,
1.0,Zwieback,Elbe,Bacon,Cackle,,,,,,,
2.0,Rawdon,Corydon,Don Juan,Wimbledon,,,,,,,
3.0,Gardens,Quadrant gardens,"Kensington
Gardens",Kensington Gardens,New Gardens,the Aurelius Garden,,,,,
4.0,girl””—and,"night,—and","care,—and",quarters.—And,,,,,,,
5.0,Belgravia,Geography,Belgium,,,,,,,,
6.0,Bevetendt,Nineveh,Ostend,,,,,,,,
7.0,Liverpool,Lover,Dover,Silvery,Sovereigns,,,,,,
8.0,East,East India,East Indiaman,West Indian,India,West India,,,,,
9.0,Podder,Ramchunder,Yonder,Lederlung,Derby,Alderney,,,,,
10.0,"West End Hotels,—nevertheless",West End,the West End,West,West End Swell,,,,,,
11.0,Folle,Hollyock,Follows,,,,,,,,
12.0,Harrogate,Billingsgate,Pharaoh,Ramsgate,Margate,,,,,,
13.0,Blooms-,Rowson,Thomson,Songs,thou,,,,,,
14.0,Opera,Kerahedy,Persia,Europe,Talavera,Perry,Demerara,,,,
15.0,"mind,.and",Minded,,,,,,,,,
16.0,Cannes,Canada,Lausanne,,,,,,,,
17.0,Britannia,Rule Britannia,Britain,planning;—no,,,,,,,
18.0,the Niagara cataract,the Latin Grammar,the City,"the City, Sir",the Atlantic Ocean,City,us City,the City of London,,,
19.0,Hall,Mall,Armada,Smallest,,,,,,,
20.0,the Marquis of Stone’s,the Magic Flute,Louis,the Valley of Diamonds,"the moon
aux",the Queen of She,,,,,
21.0,Artist,Bonaparty,écarté,Japan,Paris,paragon,,,,,
22.0,Cecilia,Machiavellian,Goliah,,,,,,,,
23.0,Wealthé Orleans,New Orleans,Orleans,,,,,,,,
24.0,Salamanca,Manon,Cracksman,Germany,oman,,,,,,
25.0,Ringwood,Brings,Tinge,Lowood,Being,Charing,,,,,
26.0,Trumpet,Truth,Madame Strumpff,Puppets,Pump,,,,,,
27.0,Button,Butler,Butts,Mutton,,,,,,,
28.0,WATERLOO,Waterloo,Bayswater,,,,,,,,
29.0,Wrench,Trenck,Florence,Frenchmen,Montmorency,,,,,,
30.0,Pineries,Bohemian Libraries,Siberia,,,,,,,,
31.0,Brunswick,CHISWICK,Chiswick,,,,,,,,
32.0,Mount Saint John,Saint Jean,Saint Kitts,Brainton,Saint Martin’s Lane,Saint Jams,the Russian Order of Saint Nicholas,Saint Helen,,,
33.0,inn,Inn,Grass Inn,Inn of mornings,,,,,,,
34.0,Methodist,Methusalem,Christchurch,Bethesda Place,,,,,,,
35.0,"St.
George’s",St. George’s,St. George’s Hospital,,,,,,,,
36.0,Grosvenor,avec sa,Heavens,,,,,,,,
37.0,Smithfield,Gulielmo,Moorfields,Moorish,,,,,,,
38.0,Peninsular,Peninsula,Schlippenschloppen,Consul,,,,,,,
39.0,Wellington,Wellingtons,Ballinasloe,Islington,Kensington,,,,,,
40.0,Thames St.,Thames,Feltham,,,,,,,,
41.0,Calcutta,Calumny,,,,,,,,,
42.0,Angelséme,Notgeung,Kangaroo,Baronet,Rookery,Sugar,,,,,
43.0,Prague,Peerage,the Peerage of Ireland,Peer,,,,,,,
44.0,Tadyship,Ladyship,,,,,,,,,
45.0,Russia,Bruges,BRUSSELS,Sussex,Brussels,,,,,,
46.0,Monsieur Isidor,Monseigneur,Isidor,Monsieur,Inside,Monplaisir,monsignori,,,,
47.0,Cambridge,Knightsbridge,the Arabian Nights,,,,,,,,
48.0,Rebecca,Piccadilly,Helvellyn,Arcadia,,,,,,,
