cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
0,Bragg,Prague,Bramah,Spiggot,Brazil,Brava,Bagram,,,,,,,,
1,Russia,Prussia,the Russian Order of Saint Nicholas,,,,,,,,,,,,
2,Hall,Mall,Ballinasloe,Omphale,Talleyrand,,,,,,,,,,
3,Gardens,"Kensington
Gardens",Judenstadt,Kensington Gardens,New Gardens,the Aurelius Garden,Sugar,,,,,,,,
4,Saint Helena,St. Helena,Mount Saint John,Saint Jean,Jena,Saint Martin’s Lane,Saint Jams,Maintenon,,,,,,,
5,East,S. Hieas,Nassau,Easter,Red Seas,,,,,,,,,,
6,Strumpff,Trumpet,Truth,Madame Strumpff,Pump,,,,,,,,,,
7,Morocco,morocco,Roc,,,,,,,,,,,,
8,Amelia,Cecilia,Richelieu,Camelot,Dearest Amelia,Cornelia,,,,,,,,,
9,Threadneedle,Threadneedle Street,Leeds,,,,,,,,,,,,
10,Clapham,Clapp,PP,,,,,,,,,,,,
11,"West End Hotels,—nevertheless",West End,the West End,West,,,,,,,,,,,
12,Opera,"éelopement,—or",Kerahedy,Persia,Europe,Talavera,Demerara,,,,,,,,
13,Ireland,Shetland,Delaware,Except Ireland,the Peerage of Ireland,,,,,,,,,,
14,Cannes,Rio Janeiro,Canada,Lausanne,polynesia,,,,,,,,,,
15,Italy,Britannia,Rule Britannia,Titania,Oxonians,Britain,Brittany,Neapolitan,planning;—no,,,,,,
16,Cambridge,Camberwell,Knightsbridge,ambrosia,Sambo,,,,,,,,,,
17,La,Loyola,LA,Black Bess,Labrador,palau,Molasses,la,playa,Medulla,Bethesda Place,dans la,,,
18,Liston,Clingstone,Osbaldiston,History,Fuddleston,,,,,,,,,,
19,Smithfield,Fitzroy,Toeplitz,~It,Troy,,,,,,,,,,
20,Banbury,Sudbury,Edinburgh,Highbury Barn,Canterbury,Crackenbury,,,,,,,,,
21,the City,"the City, Sir",City,UK,us City,the City of London,Vanity,,,,,,,,
22,Potentate,emirates,States,,,,,,,,,,,,
23,Dayton,Stilton,Alton,Buxton,Grafton,,,,,,,,,,
24,M.P.,M.D.,P.S.,,,,,,,,,,,,
25,Holland,Old England,Anglais,England,Bengal,Scotland,thailand,,,,,,,,
26,Zwieback,Bagshot,Bay,the Bay,Bombay,may’t,,,,,,,,,
27,Brunswick,CHISWICK,Chiswick,,,,,,,,,,,,
28,Higham,Chatham,chad,Fulham,Chaffers,Durham,Brougham,CHATHAM,Champaign,,,,,,
29,Methodist,Methusalem,thou,,,,,,,,,,,,
30,Colonies,Polonia,Colony,,,,,,,,,,,,
31,"St.
George’s",Geography,St. George’s,Georgina,St. George’s Hospital,,,,,,,,,,
32,France,france,Lance,,,,,,,,,,,,
33,Major,Meejor,Jos,,,,,,,,,,,,
34,the Niagara cataract,écarté,Caracas,Calcutta,Cackle,Pharaoh,Macau,Caen,,,,,,,
35,Flanders,Andes,Loder,Ramchunder,Switzerland,Yonder,quarters.—And,Derby,,,,,,,
36,Belgravia,belgium,belmont,Belgium,,,,,,,,,,,
37,Tours,NURSE,Mrs,,,,,,,,,,,,
38,JT,&.—Miss,Miss,Bois,kiss,Miss.,,,,,,,,,
39,Dublin,Billingsgate,Ealing,Wellington,Islington,Kensington,,,,,,,,,
40,Thames St.,Thames,Feltham,Messrs,,,,,,,,,,,
41,inn,Inn,minibus,Vienna,Spain,Inn of mornings,inn-land-,Insee,Grays Inn,,,,,,
42,girl””—and,"night,—and","care,—and",the Arabian Nights,,,,,,,,,,,
43,H.H.,White Hermitage,the H. H.,,,,,,,,,,,,
44,Winchester,Rochester,Rotterdam,Leicester,,,,,,,,,,,
45,St. Actual,Saint Kitts,St. Kitts,St. Kitt’s,St.,,,,,,,,,,
46,Albany,Calumny,Ny,Albion,ZZ,Elba,Albums,,,,,,,,
47,Minden,Barbados,Baden,golden auburn,Wiesbaden,Dresden,Madeira,"Baden
Baden",,,,,,,
48,Monsieur Isidor,Monseigneur,Isidor,&.,Monsieur,sidon,Monplaisir,,,,,,,,
49,Ringwood,Longwood,Long Acre,Jong,,,,,,,,,,,
50,Touchdown,O’Dowd,Touchdowns,the Earl of Touchdown,,,,,,,,,,,
51,Liverpool,Dover,cordova,Silvery,Sovereigns,,,,,,,,,,
52,Machiavellian,Helvellyn,guelph,Asvel,Nivelle,,,,,,,,,,
53,bastille,Versailles,Achilles,Cornhill,Squills,Piccadilly,villa,Ill,Muswell Hill,Gillespie,Denmark Hill,IL,,,
54,Ricketts,Jamaica,Cashmere,America,Mero,Africa,Jericho,,,,,,,,
55,"avec sa
femme","Emmy’s,—their","ha,—there",,,,,,,,,,,,
