cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
0.0,Gillespie,Versailles,Achilles,bastille,Spiggot,,,,
1.0,Bevetendt,Nineveh,Ostend,,,,,,
2.0,Billingsgate,Ramsgate,Harrogate,Margate,,,,,
3.0,Hall,Omphale,Mall,Talleyrand,,,,,
4.0,"the French Chargé d’ Affaires, M de Macau",Fairs,Macau,Macmurdo,,,,,
5.0,St. George’s,St. George’s Hospital,Georgina,"St.
George’s",,,,,
6.0,the Hyde Park,Park,"Park
Lane",paragon,St.James’s Park,Hyde Park,,,
7.0,Canada,Armada,Madame Barbecue,,,,,,
8.0,"Bois de
Boulogne",Bois,Boulevard de,Cognac,Boulogne,Bois de Boulogne,Cologne,,
9.0,Strumpff,Trumpet,Madame Strumpff,Truth,Pump,,,,
10.0,golden auburn,Osnaburg,Edinburgh,Strasburg,St. Petersburg,,,,
11.0,Mango,Marengo,Angouléme,oman,Salamanca,,,,
12.0,Bagram,Geography,Bagshot,the Latin Grammar,,,,,
13.0,York,the Duke of York,Cork,New York,,,,,
14.0,Brazil,Bragg,Brava,Bramah,Labrador,,,,
15.0,Fitzroy,Troy,Horowitz,Toeplitz,,,,,
16.0,Great Gaunt Street,Great Gaunt,Gaunt,Gaunt-square,Great Gaunt-,New Gaunt,Great Britain,,
17.0,Chapels,chad,Charing,Champaign,Chaffers,,,,
18.0,"Swamp Town
Gazette",Swamptown,Swamp Town,Gazette,swan,Debrett,,,
19.0,Mountrail,Mount St.,Trail,Mount,,,,,
20.0,Tours,NURSE,,,,,,,
21.0,quarters.—And,girl””—and,"night,—and","care,—and",Andes,Sands,,,
22.0,Leipzig,Leicester,Winchester,Rochester,,,,,
23.0,Jamaica,Africa,America,Ricketts,,,,,
24.0,Silenus,Nile,Venus,,,,,,
25.0,Buckinghamshire,HAMPSHIRE,Hampshire,,,,,,
26.0,Dundas,Golconda,Conway,Silicon,,,,,
27.0,the Temple of Concord,cordova,Temple,,,,,,
28.0,¢ris¢e,Parisot,Christchurch,Paris,,,,,
29.0,Caracas,the Niagara cataract,the Arabian Nights,Pharaoh,,,,,
30.0,Saint Jean,Mount Saint John,Saint Martin’s Lane,Maintenon,Saint Helena,Spain,Saint Jams,Saint Kitts,
31.0,Newfoundland,inn-land-,Scotland,Switzerland,Shetland,Holland,Flanders,thailand,
32.0,Peerage,Peer,the Peerage of Ireland,,,,,,
33.0,Molasses,Nassau,Loyola,,,,,,
34.0,Rebeco,Quebec,Rebecca,,,,,,
35.0,Venice,Grosvenor,Asvel,Rosa,,,,,
36.0,Coventry,Coventry Island,"Coventry
Island",the Cannibal Islands,,,,,
37.0,palestine,existingée,Palermo,Continent,,,,,
38.0,Prussia,Russia,the Russian Order of Saint Nicholas,,,,,,
39.0,Rector,Vittoria,Gloria,,,,,,
40.0,Grady,Lady,Ladyship,,,,,,
41.0,Long Acre,Babylon,Long Island,"dong la
roo",Jong,,,,
42.0,Bayswater,Waterloo,WATERLOO,Blooms-,,,,,
43.0,Lewes,Moscow,Cowes,Wesleyan,,,,,
44.0,playa,planning;—no,Bethesda Place,Monplaisir,,,,,
45.0,Leeds,Threadneedle,Fluvy,Threadneedle Street,,,,,
46.0,&.—Miss,Miss.,Miss,kiss,,,,,
47.0,East,Easter,S. Hieas,,,,,,
48.0,Hulker,Kerahedy,Rookery,handkerchiefs,,,,,
49.0,Eagles,twenty eagles,,,,,,,
50.0,the Prince of Wales’s,the Prince of Wales,Wales,the Prince Regent,,,,,
51.0,Ireland,Delaware,Except Ireland,Empire,,,,,
52.0,Hants,atlanta,the Atlantic Ocean,,,,,,
53.0,Florence,Montmorency,belmont,Montmirail,,,,,
54.0,Bruges,knowingest,know-,,,,,,
55.0,St. John’s,"St. John’s
Wood","Mount
St. John",,,,,,
56.0,Brougham,Higham,Fulham,Durham,,,,,
57.0,Bierstadt,Wittgenstein,Judenstadt,,,,,,
58.0,Louis,Louis XVIII,,,,,,,
59.0,County Kildare,the County Cork,County,,,,,,
60.0,St. Helena,St. Vincent’s,St.,St. Mary’s,St. Actual,St. Just,,,
61.0,Asia,Austria,Australasia,Clytemnestra,,,,,
62.0,Bombay,Bay,,,,,,,
