text,cluster,cluster_corrected
Batavier,-1,
Tn,-1,
Demerara,-1,
the West Indies,-1,
Canada,-1,
Schlippenschloppen,-1,
quarters.—And,-1,
Begleitung,-1,
golden auburn,-1,
Mrs,-1,
Armada,-1,
Fuddleston,-1,
the H. H.,-1,
Rotterdam,-1,
Udolpho,-1,
Leeds,-1,
Newfoundland,-1,
be—.”—He,-1,
Machiavellian,-1,
ZZ,-1,
Peggy,-1,
Dundas,-1,
Bois,-1,
Leipzig,-1,
Music,-1,
Bruges,-1,
Snaily,-1,
Butler,-1,
the Pincian Hill,-1,
Injee,-1,
Italy,-1,
Club,-1,
Jamaica,-1,
India,-1,
Neapolitan,-1,
Golconda,-1,
Ealing,-1,
Geography,-1,
Wittgenstein,-1,
Borodino,-1,
"West End Hotels,—nevertheless",-1,
Cognac,-1,
the Magic Flute,-1,
Cashmere,-1,
Fairs,-1,
Finchley,-1,
Denmark Hill,-1,
Windsor,-1,
Bengal,-1,
Corydon,-1,
UK,-1,
"Boulevard de
Gand",-1,
Nob,-1,
"avec sa
femme",-1,
PP,-1,
Egil,-1,
Troy,-1,
St. Vincent’s,-1,
Vittoria,-1,
Lowparp-Srreer,-1,
Nineveh,-1,
Jupiter,-1,
Sambo,-1,
most_melan-,-1,
Bonaparty,-1,
Cork,-1,
Esq,-1,
zkich,-1,
Aylem,-1,
paragon,-1,
Babylon,-1,
Glowry,-1,
Nassau,-1,
Palermo,-1,
Rio Janeiro,-1,
Florence,-1,
Kalydor,-1,
Hants,-1,
Montmorency,-1,
Hart Street,-1,
Charing,-1,
Inn of mornings,-1,
Frenchmen,-1,
Vanity,-1,
the Straight Waistcoat,-1,
Metternich,-1,
Turkey,-1,
Yellowjack,-1,
St. Mary’s,-1,
Gayd,-1,
West Indies,-1,
Demagogue,-1,
the City of London,-1,
l’aigle,-1,
Jos,-1,
Louis,-1,
Saint Martin’s Lane,-1,
R.A.,-1,
Burschen,-1,
XX,-1,
Richelieu,-1,
Becky,-1,
protégée,-1,
Biscay,-1,
Sultan,-1,
Piccadilly,-1,
the Valley of Diamonds,-1,
Continent,-1,
pomatum,-1,
Christchurch,-1,
the Bay,-1,
Jemima,-1,
Cheltenham,-1,
the dark sea,-1,
Strasburg,-1,
Lederlung,-1,
H.H.,-1,
Caen,-1,
Bramah,-1,
Marengo,-1,
Grays Inn,-1,
Sugar,-1,
Ny,-1,
Caradori,-1,
Notgeung,-1,
Loyola,-1,
Maintenon,-1,
Trenck,-1,
Arcadia,-1,
Macmurdo,-1,
sajd,-1,
Bethesda Place,-1,
West,-1,
Ems,-1,
sospiri,-1,
Casgandra,-1,
Ricketts,-1,
Bicétre,-1,
Toeplitz,-1,
"bub""a",-1,
the Russian Order of Saint Nicholas,-1,
curacao,-1,
Trail,-1,
Soho,-1,
Trafalgar,-1,
Bagshot,-1,
Portansherry,-1,
fort,-1,
IL,-1,
"compliments,—if",-1,
S. Hieas,-1,
Switzerland,-1,
Munoz,-1,
Surrey,-1,
Alderney,-1,
Rowson,-1,
Cribb,-1,
Mero,-1,
Richmond,-1,
Jena,-1,
Brittany,-1,
Philoméle,-1,
Clytemnestra,-1,
Ghent,-1,
Don Juan,-1,
Holland,-1,
Cornhill,-1,
Naples,-1,
Ramchunder,-1,
Dresden,-1,
St. Acheul,-1,
Noir,-1,
Empire,-1,
po,-1,
Japan,-1,
Messrs,-1,
Greek Street,-1,
Europe,-1,
Spiggot,-1,
the Latin Grammar,-1,
Blooms-,-1,
Truth,-1,
"the French Chargé d’ Affaires, M de Macabau",-1,
Feltham,-1,
Spain,-1,
Germany,-1,
Willia,-1,
Flanders,-1,
Wales,-1,
archeologian,-1,
Kunz,-1,
handkerchiefs,-1,
Stubbles,-1,
"dong la
roo",-1,
Wimbledon,-1,
the St. Leger,-1,
Fitzjurld,-1,
Butes,-1,
Quashyboos,-1,
Turnham,-1,
motley,-1,
Salamanca,-1,
the Peerage of Ireland,-1,
Wildbad,-1,
Carmarthenshire,-1,
Camberwell,-1,
Bantings,-1,
Hollyock,-1,
pekin,-1,
Portland,-1,
Monplaisir,-1,
Muswell Hill,-1,
Goliah,-1,
Medulla,-1,
Debrett,-1,
Rome,-1,
Pharaoh,-1,
Chaffers,-1,
Puppets,-1,
JT,-1,
Belinda,-1,
Dalilah,-1,
Cecilia,-1,
Saint Kitts,-1,
Ballinasloe,-1,
Jong,-1,
Jingo,-1,
britska,-1,
Ravdonn,-1,
ne&t,-1,
Munich,-1,
