text,cluster,cluster_corrected
Africa,-1,
the City of London,-1,
Billingsgate,-1,
Fuddleston,-1,
Metternich,-1,
Coventry,-1,
Yellowjack,-1,
Cambridge,-1,
Glowry,-1,
Kibobjee,-1,
Easter,-1,
Helvellyn,-1,
Wild,-1,
Portsmouth,-1,
Corydon,-1,
Camberwell,-1,
St. Kitt’s,-1,
Kew Gardens,-1,
Roehampton,-1,
the New Road,-1,
Brazil,-1,
Faro,-1,
East,-1,
St. Michael of Pumpernickel,-1,
Versailles,-1,
Kalydor,-1,
the Cannibal Islands,-1,
Lausanne,-1,
Arcadia,-1,
XX,-1,
West Indies,-1,
Silenus,-1,
Club,-1,
Wiesbaden,-1,
Pompeii,-1,
interest;)—if,-1,
Tuileries,-1,
Chaffers,-1,
St. Martin’s,-1,
the Latin Grammar,-1,
Talleyrand,-1,
Severe,-1,
Oporto,-1,
Levant,-1,
Carmarthenshire,-1,
Prague,-1,
Wales,-1,
H.H.,-1,
Flanders,-1,
East Indiaman,-1,
Macmurdo,-1,
Holland,-1,
Washington,-1,
"compliments,—if",-1,
Naples,-1,
Dresden,-1,
Johnes,-1,
Southampton Row,-1,
Tape,-1,
Dearest George,-1,
Curio Street,-1,
St. George’s,-1,
St. James’s Street,-1,
Babylon,-1,
the West End,-1,
Cognac,-1,
Esq,-1,
Eagles,-1,
Buxton,-1,
Gulielmo,-1,
Sultan,-1,
St. Helena,-1,
Hampshire,-1,
Kingdom,-1,
Orleans,-1,
Bloomsbury,-1,
Batavier,-1,
Brava,-1,
Bramah,-1,
Oxford,-1,
Sugar,-1,
Cribb,-1,
Christchurch,-1,
the Pincian Hill,-1,
Provence,-1,
Schlossberg,-1,
Providence,-1,
Gaunt Street,-1,
Temple,-1,
Siberia,-1,
Islingtontown,-1,
Music,-1,
Great,-1,
Maria,-1,
swan,-1,
Desert,-1,
Omphale,-1,
Gaunt,-1,
Loyola,-1,
Spain,-1,
Pump,-1,
Grand Mogul,-1,
Cape,-1,
Zwieback,-1,
Stere,-1,
Ramsgate,-1,
Ireland,-1,
Newfoundland,-1,
West,-1,
Ricketts,-1,
Europe,-1,
Denmark Hill,-1,
Wesleyan,-1,
Feltham,-1,
Spiggot,-1,
Frenchmen,-1,
