text,cluster,cluster_corrected
Inn,0,
Spain,0,
inn,0,
ITaly,1,
italy,1,
pityiag,1,
it1,1,
Royal,1,
Italy,1,
al,1,
Mlacnab,2,
La,2,
las Ice,2,
LA,2,
MR,2,
G.C.IN,3,
G.C.IN.,3,
G.C.B.,3,
K.C.,3,
Blankshire,4,
Derbyshire,4,
Laueaslire,4,
Yorkshire,4,
Oxford,5,
Foxglove,5,
Bradford,5,
"smallpox,-short",5,
California,5,
North-country,6,
North riton,6,
factoriesl,6,
know-,6,
Oh l,6,
North bBriton,6,
up.to,6,
BnoruERTo,6,
MIICIIAEL,7,
IICiAE,7,
K.L.S.,7,
cHAPTER XXXIII,7,
MIICIIAEL ARMISTROyG.,7,
MElford Park,8,
MelFord Park,8,
Melford Park,8,
Melford,8,
Sound,9,
unfortunate6,9,
Sound Norcal,9,
Us,10,
Venus,10,
Austria,10,
Augustusis,10,
Russia,10,
Mnrtha,11,
yet2,11,
MIrth,11,
Nlartha,11,
Earth,11,
Thaddy,11,
earth,11,
Lean,11,
Deep Valley,12,
the dEep Valley,12,
Deep Valley MiLl,12,
Deep VAlley,12,
Deep Valley MIll,12,
Deep-Valley,12,
the Deep Valley,12,
"Deep Valley
Mill",12,
Deep Valley MI1,12,
DIscnELLE,12,
the Deep Valley Mill,12,
Deep Valley Mill,12,
Great Britain,13,
Louisa,13,
Great Marloroug,13,
Dearest Mary,13,
MIARLOROUGH STREET,13,
Charlotte,13,
St. Mary's,13,
Europe,14,
Drakes,14,
Turkey,14,
Turned,14,
PP,14,
ELgI,15,
ATlGUIYG,15,
thatlittle grove,15,
woodbine,16,
Woodcock,16,
morocco,16,
Scotch,16,
Crockley,16,
Lodge,16,
WARREN,17,
WI,17,
Warwick,17,
Africa,17,
SELL3,18,
LL,18,
Ill,18,
TR0IL01,18,
Millord,18,
Tremlettt,19,
Trembled,19,
Bless,19,
Westmoreland,20,
Scotland,20,
Germany,20,
Highland,20,
Ilighlandloch,20,
england,20,
England,20,
china,21,
HIowsomever,21,
Rome,21,
Domenichino,21,
Nice,21,
Ore.,22,
Providence,22,
France,22,
florence,22,
Prentice,22,
the1,23,
Southern Reg,23,
Bretherton,23,
Gabherly,23,
the Emerald Isle,23,
thereon,23,
Kidderminster,23,
St,24,
pAst,24,
Papalny,24,
Lindens,25,
lI,25,
pinery,25,
GENEROSITY,25,
LiE,25,
Dowling,25,
Happened,25,
Cologne,25,
Linen,25,
London,26,
ar moon,26,
Madeira,26,
Golconda,26,
London Madeira,26,
1CHILD A1MISTROMG,27,
MICHaEL WaITING,27,
Derbsyshiroe-Michael,27,
SOCIAL STrONG,27,
yong,27,
Arntstrong,27,
3MICHAEL STrONG,27,
