cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,St,ste,pAst,St. Mary's,STig Africa,SOCIAL STrONG,bOston,,,,,
1,Ohio,china,HIowsomever,OhIO,WY,,,,,,,
2,Oxford,"smallpox,-short",Rockford,Foxglove,Bradford,unfortunate6,MR,,,,,
3,Tus,brussels,Turkey,Turpin,,,,,,,,
4,Lurid,DIURI,Europe,,,,,,,,,
5,Tn,maine,inn,Spain,woodbine,joaquin,Mac-,Happened,,,,
6,the1,Southern Reg,Gabherly,thein,the Emerald Isle,Nathan,,,,,,
7,lille,Millard,Ill,Tugswell,TR0IL01,,,,,,,
8,NIrs,MIrs,Mirs,,,,,,,,,
9,hardwood,WARREN,Mars,Warwick,harare,Charlotte,Elward,havre,Argyll,Dearest Mary,paris,earth
10,Golconda,Cologne,Gol,,,,,,,,,
11,erie greece,Ore.,Bridget Floor,Providence,ElOQUENCE,florence,Prentice,,,,,
12,park-palin,Milford Park,MilFord Park,MIlford Park,Milford,,,,,,,
13,Martial,pityiag,Iad,india,ia,MIICIIAEL,IBeria,Austria,Russia,,,
14,MD,G.C.IH,K.L.S.,K.C.,G.C.B.,,,,,,,
15,denver,madero,Findens,Venus,denr,Kidderminster,,,,,,
16,London,"thatlittle grove monde
--my",seif,Madeira,London Madeira,ar moon,,,,,,
17,lng,hung,Bering,yong,,,,,,,,
18,Mlacnab,las Ice,La,LA,las confided,las,,,,,,
19,Royal,Italy,ITaly,italy,Gahberly 2'',it1,al,,,,,
20,etctera.,Scotch,yet2,Teletext,etctera,,,,,,,
21,PU ALI9HER,Dowling,LIBYA,Linen,Wellington,Halifax,lI,California,ILiad,LIRE,,
22,ANGEROU,Germany,ny,,,,,,,,,
23,MExico,Louisa,Domenichino,Lodge,lome,Rome,,,,,,
24,bound korea,seaworld,Great Britain,Great Marlborough,ATlGUIYG,Bots,,,,,,
25,Hamlet,Gazette,butte,Tremlettt,,,,,,,,
26,Deep Valle,Deep-Valley,the Deep Valley,"Deep Valley
Mill",the Deep Valley Mill,Deep Valley Mill,Deep Valley MaIl,Deep Valley,the dEep Valley,Deep VAlley,Deep Valley MIll,Deep Valley MI1
27,cHAPTER XXXIII,XXVII,,,,,,,,,,
28,Westmnorland,Highland,Ilighlandloch,Mt,Scotland,england,England,,,,,
29,lancashire,Derbyshire,canada,ireland,Lancashire,Laueaslire,Yorkshire,,,,,
30,morocco,Bless,Woodcock,Becky,Brockley,Crockley,,,,,,
31,Huxley,Lean,Huxley-lane,,,,,,,,,
32,France,Iran,anl,france,Nice,,,,,,,
33,Wakefield,ISRAEL,ISrAEL,,,,,,,,,
34,up.to,toronto,Mss Brotherton,Brotherton,North triton,BnoruERTo,North,North bRiton,,,,
