text,cluster,cluster_corrected
California,-1,
Mt,-1,
Mac-,-1,
Papalny,-1,
Derbsyshiroe-Mlichael,-1,
Cologne,-1,
fcw,-1,
Lean,-1,
ADETDRE8,-1,
ar moon,-1,
Tremlettt,-1,
worda,-1,
Ykou,-1,
Charlotte,-1,
pityiag,-1,
forI,-1,
WY,-1,
Miehael,-1,
Great Britain,-1,
howaeer,-1,
factoriesl,-1,
nROt,-1,
MR,-1,
TR0IL01,-1,
beatty,-1,
lalies,-1,
Ore.,-1,
Oh l,0,
eOh,0,
thcm.,1,
thcm,1,
G.C.IH,2,
K.C.,2,
K.L.S.,2,
G.C.B.,2,
Drakes,3,
Sykeses,3,
Mirs,4,
DIURI,4,
migbt,4,
NIrs,4,
MIrs,4,
ATlGUIYG,5,
thatlittle grove,5,
etctera,6,
etctera.,6,
pece,7,
Becky,7,
NoOT,8,
ELECI,8,
DIscnELLE,8,
Lodge,8,
youl1,9,
U OULTAIIG,9,
youl1'',9,
France,10,
nc,10,
consequencc,10,
yong,11,
Arntstrong,11,
arns,11,
withont,12,
Thoe,12,
withou,12,
Hoxley,13,
Crockley,13,
morocco,14,
proccediag,14,
London Madeira,15,
Madeira,15,
London,15,
Golconda,16,
Gol,16,
BnoruERTo,17,
Brotherton,17,
Mss Brotherton,17,
North-country,18,
North bBriton,18,
North riton,18,
Edwvard,19,
Warwick,19,
Elward,19,
WARREN,19,
IIerald,20,
the Emerald Isle,20,
Foxglove,21,
overlooker1,21,
Vhere,22,
Europe,22,
Gahberly 2'',22,
Gabherly,22,
wshiceh,23,
Nice,23,
whiceh,23,
Venus,24,
ADVENTIRES,24,
Prentice,24,
AVENTURES5,24,
ANbD ADVETURES,24,
ANGEROU,25,
Germany,25,
England,26,
Englanl,26,
Westmnorland,26,
anl,26,
Highland,27,
Ilighlandloch,27,
Sicotland,28,
Scotland,28,
Scotch,29,
Prescot,29,
Marth,30,
Mnrtha,30,
earth,30,
Nlartha,30,
Dowling,31,
Wellington,31,
rheu,32,
ITig Africa,32,
eHe,32,
Dearest Mary,33,
Providence,33,
St. Mary's,33,
Laueaslire,34,
LIRE,34,
Elizet,35,
yet2,35,
lI,35,
liule,35,
ste,36,
St,36,
Kidderminster,36,
Bcll,37,
Bclinda,37,
tnan,38,
humnan,38,
tn,39,
Tn,39,
XVII,40,
XXVII,40,
lome,41,
Rome,41,
Sevre china,42,
Domenichino,42,
HIowever,43,
HIowsomever,43,
Mcssr,44,
Neverthelcss,44,
Mlary,45,
Mlacnab,45,
Augustusis,46,
Tus,46,
Austria,46,
IHad,47,
Iad,47,
Russia,47,
ia,47,
BHAM,48,
havc,48,
havre,48,
ny,49,
mny,49,
Theao,50,
thein,50,
Matthei,50,
LA,51,
La,51,
Ilash,52,
las,52,
Itold,53,
it1,53,
up.to,53,
IICiAE,54,
MIICIIAEL ARMISTROyG.,54,
ICIIAL,55,
ICIIAL AnsTONG,55,
maine,56,
inn,56,
woodbine,56,
Spain,56,
Turpin,57,
pinery,57,
Turkey,57,
denr,58,
Findens,58,
aleng,59,
ALLY,59,
al,59,
Royal,59,
Derbyshire,60,
Lancashire,60,
Yorkshire,60,
YIII,61,
cHAPTER XXXIII,61,
Laly,62,
laly,62,
Italy,63,
realy,63,
Mlichael,64,
Nlichael,64,
Nichael,65,
Michaa1,65,
hMichael,65,
Michaecl,65,
Mtichael,65,
MIichael,66,
MIICHAEL,66,
Miichael,66,
"Deep Valley
Mill",67,
the Deep Valley,67,
the bDeep Valley,67,
Deep Valley,67,
Deep-Valley,67,
Deep Valley Mill,67,
Deep Valley MI1,67,
Deep Valley MIill,67,
Deep Valley MiIl,67,
Deep Valle,67,
the Deep Valley Mill,67,
Iill walk,68,
Millord,68,
Ill,68,
millenr,68,
WiIl,68,
Oxford,69,
Bradford,69,
MIilford,70,
Milford,70,
Milford Park,71,
MilIford Park,71,
MIilford Park,71,
