text,cluster,cluster_corrected
orient,0,
Prentice,0,
n’t,0,
GRANBY,1,
france,1,
Hicnranpens,1,
France,1,
Fimrantox,1,
Huxley,2,
quad-,2,
Cologne,2,
Howley,2,
Huxley-lane,2,
& K.C.,3,
maine,3,
Turpin,3,
ain’t,3,
PLAIN STATEMENT,3,
Spain,3,
Europe,3,
spain,3,
Tisn’t,3,
Helvellyn,4,
Ma’moselle,4,
Tugswell,4,
England,5,
me!—and,5,
Westmorland,5,
Highland,5,
H. SMITH,5,
JT,5,
Flanders,5,
Mexico,5,
Poland,5,
IRELAND,5,
Highlandloch,5,
ENGLAND,5,
La,5,
XXII,6,
woodbine,6,
Woodcock,6,
hardwood,6,
Henan,7,
M.D.,7,
Nurse,8,
butte,8,
Gazette,8,
Brussels,8,
York,8,
Charlotte,8,
"Deep Valley
Mill",9,
Bastille,9,
the Deep Valley,9,
THE DEEP VALLEY,9,
the Deep Valley «,9,
Deep Valley,9,
Deep-Valley,9,
Loxpow,9,
Deep Valley Mill,9,
"Deep
Valley",9,
"Deep Valley

su",9,
the Deep Valley Mill,9,
VALLEY,9,
Brockley,10,
morocco,10,
Rockford,10,
Crockley,10,
Drakes,11,
Venus,11,
Louisa,11,
Russia,11,
Dowling,12,
refusing.a,12,
Singular,12,
Rheingau,12,
Esq,12,
Kingdom,12,
seaworld,12,
Germany,12,
premises,12,
Booming,12,
Arctic,13,
Cretan,13,
Brotherton,14,
Crompton,14,
Kuzzicnasit,14,
Anuincrox,14,
Boston,14,
Becky,14,
Canterbury,15,
Burbage,15,
Babur,15,
"nonsense,—ideas",16,
"by,—I",16,
"lady,—I",16,
"you,—I",16,
MR,16,
joaquin,16,
North,17,
ST,17,
earth,17,
Earth,17,
Derbyshire,18,
aires,18,
Lancashire,18,
"Derby-
shire",18,
Kidderminster,18,
Yorkshire,18,
Rebecca,19,
Angeles,19,
Paris,19,
Mill,19,
Sophy,19,
Milford Park,19,
Oxford,19,
Milford,19,
Bradford,19,
Tn,19,
Tilbury Fort,20,
fort,20,
westport,20,
KNOW-,21,
Turkey,21,
Nice,21,
London Madeira,22,
al,22,
Golconda,22,
LONDON,22,
London,22,
California,23,
cali,23,
Halifax,23,
Aghleigh,23,
WARREN,23,
Samaritan,24,
Wakefield,24,
Italy,24,
Britain,24,
Great Britain,24,
Africa,25,
America,25,
sont,25,
AMERICA,25,
Tis Africa,25,
china,25,
BENEVOLENCE,26,
LAYS,26,
Devenevx,26,
never.should,26,
Findens,27,
Providence,27,
denver,27,
Teletext,28,
BRAMBLETYE Scope Series,28,
Hamlet,28,
Royal,28,
Saxony,28,
DUBLIN,29,
park-palin,29,
Warwick,29,
WELLINGTON,29,
Madeira,29,
Dublin,29,
Scotch,30,
moscow,30,
jt,30,
Scotland,30,
SCOTLAND,30,
kind'and,31,
Domenichino,31,
"kindness,—regiment j'ai",31,
Foxglove,32,
what~,32,
seif,32,
Fraser,33,
Leeds,33,
may’t,33,
Lodge,33,
observe=,33,
Roma,34,
Blackberry,35,
Bering,35,
in'a,35,
East,35,
palo,35,
Bering’s,35,
shifting*stream,36,
Straits,36,
Austria,36,
inn,37,
most.le-,37,
Manupa,37,
St. Mary's,37,
MARGATE,37,
St. Mary’s,37,
protégée,38,
the ivory brow,38,
the Kingdom,38,
the Emerald Isle,38,
Southern Reg,38,
the Holy Virgin,38,
