cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0,Mill,Millocrats,,,,,,,,,,
1,PLAIN STATEMENT,Britain,Spain,Italy,Samaritan,,,,,,,
2,America,Mexico,Africa,,,,,,,,,
3,Brussels,Rasselas,Venus,Russia,,,,,,,,
4,Halloo,Halifax,Foxglove,Louisa,Charlotte,,,,,,,
5,Deep Valley,Hoxley,THE DEEP VALLEY,Valley,Leeds,Deep,VALLEY,Deep-Valley,the Deep Valley,"Deep
     Valley",the Deep Valley Mill,Deep Valley Mill
6,Drakes,Wakefield,Sykeses,,,,,,,,,
7,East,Thistledown,Austria,Bastille,Great,,,,,,,
8,Boston,Crompton,Sophy,Brotherton,Rome,Crockley,,,,,,
9,woodbine,inn,Dowling,Cannon,Sèvre china,,,,,,,
10,Oxford,Bradford,Millford Park,Milford Park,Paris,Milford,,,,,,
11,Flanders,NURSE,UNDERSELL,Helvellyn,,,,,,,,
12,Scotland,Highland,Westmorland,Poland,England,Cologne,,,,,,
13,Europe,Turkey,Turpin,,,,,,,,,
14,DERBYSHIRE,Derbyshire,Neckerby,,,,,,,,,
15,St.,MS,"St.
     Mary's",St. Mary's,,,,,,,,
16,Blackberry,Rebecca,Warwick,Becky,,,,,,,,
17,France,Lancashirc,M.D.,Cretan,MR,Lancashire,,,,,,
18,Protégée,protegé,protégée,,,,,,,,,
19,Wordsworth,Tilbury Fort,morocco,earth,North,,,,,,,
20,the Holy Virgin,the Emerald Isle,the moon,,,,,,,,,
21,premises,Scotch,Prescot,,,,,,,,,
22,Ulswater,Germany,Kidderminster,,,,,,,,,
23,Shakspeare,York,Yorkshire,,,,,,,,,
24,London,Saxony,Madeira,Golconda,London Madeira,,,,,,,
25,orient,Providence,Nice,Prentice,,,,,,,,
