cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11
0.0,Miguel,Medroso Rodrigues,Miguelsinho,,,,,,,,,
1.0,Geitoso,Peito,,,,,,,,,,
2.0,Lima Vida,Campos Lima,dulcida,,,,,,,,,
3.0,es viajantes,Escrevia,desmantelos,,,,,,,,,
4.0,g'ellas,Aquella,nella,Naquelle,paquêta,Aquelle,aquella calúnia,naquelle,aquella santa casa,aquelle,,
5.0,Vol,voluntario,I vol,,,,,,,,,
6.0,Infias,Inf,oleografia barata,,,,,,,,,
7.0,SACRIFICADA,cadete,BACHIFICADA,SACRIFÇADA,BACRIRICADA,BAPRIFICADA,SACRIPICADA,BAORIFICADA,"Madre

 

 

 

 

BACRIFICADA",SACHIFICADA,BACRIFICADA,"SACRIFICADA

familia"
8.0,Abraçava,Disseração,Havana,pormenorisava,atordoava,braza,,,,,,
9.0,visinho,visinho cemiterio grasnaram,cemiterio público,"Biblioteca de propaganda educativos
e distribuição gratuita",Pedro Cem,,,,,,,
10.0,girandola,pola,Candeia,Grande,,,,,,,,
11.0,"fa-
emilia",sus el,familia,Relia,Eulalia,,,,,,,
12.0,Santo Deus,santo Deus,Adeus,FEL Intona,,,,,,,,
13.0,bemaventurança,Cura,França,,,,,,,,,
14.0,Eolheto,Olhe,,,,,,,,,,
15.0,Primeiras,palreiras,Pautino de Oliveira,Freira,Córei,,,,,,,
16.0,aféto,,,,,,,,,,,
17.0,Inglaterra,materialisar,terra,,,,,,,,,
18.0,nossa velha igreja,Tigre,NOSSA HOMENAGEM,,,,,,,,,
19.0,Santas,Cinta,Plantado,"Santas
Terezas de Jesus",santa casa,,,,,,,
20.0,Trepadeira,"Clara do
Trepadeira","Clara de
Rezedeira",,,,,,,,,
21.0,tôr comnosco,& cova,,,,,,,,,,
22.0,opulencia,Abrenuncio,ANcIçÕES,lugubre,,,,,,,,
23.0,volta delle,elle,porto delle,ello,elle lhas,,,,,,,
24.0,Olha,lha,Talhados,Filhas,Zarôlha,,,,,,,
25.0,Barba Azul,céo azul,,,,,,,,,,
26.0,"da-
goas","300
Gomes Leal",Real,Mes,,,,,,,,
27.0,Fechou,Cho-,Olho-o,,,,,,,,,
28.0,Tejo,Alemtejo,,,,,,,,,,
29.0,Ina da Camera Rego,Sentia-so,Surrateiramente,Entroncamento,atrozêlo,"Presentimento-
tos",Francamente,,,,,
30.0,bôca vasia,vasia,,,,,,,,,,
31.0,Leves,Ouves,,,,,,,,,,
32.0,Veja-a,Veja-lhe,,,,,,,,,,
33.0,Mania,Janelas,Ulane,Manel,Mand,,,,,,,
34.0,tomara,Chamou-a,Chamaram-mo,tam-,Ama,fui-mo,,,,,,
35.0,mévinagre,Ina,Chinas,dornas,minas batatinhas,Chico,ruinas,,,,,
36.0,Sahi,Sahira,sahir,Sahir,hade sahir,,,,,,,
37.0,Clara,Clara do Rezadoira,Manél da Clara do Rezadeira,Clara do Reza-,,,,,,,,
38.0,pessõas,Una,"una
pessõa",,,,,,,,,
39.0,Pequena,pequenino,,,,,,,,,,
40.0,dôce,dôco,,,,,,,,,,
41.0,Ífonte,Ponte do Inferno,Fonte do Inferno?,Fonte do Inferno,,,,,,,,
42.0,Decerto,"cam-
pos","cam-
pos amanhecer",,,,,,,,,
43.0,Dahi,ahi,,,,,,,,,,
44.0,Alegre,alegre,Mon-,,,,,,,,,
45.0,"quasi
caveira",Quasi,"quasi
odiento",,,,,,,,,
46.0,Senhora,Nosso Senhor,"Senhorã
dos Verdes",Horída,Senhora Condessa,Senhorã,Tenho,,,,,
47.0,vonva,Invas,silvas,,,,,,,,,
48.0,grande chapéo,chapéo,"sen
chapéo",,,,,,,,,
49.0,Aplausos,Sorrisos,Sorria,,,,,,,,,
50.0,Amhos,Conseguira,Aconselhava-a,Conselhos,Joelhos,,,,,,,
51.0,Vamos,Choravam,Chorava,,,,,,,,,
52.0,em Portugal,Importa-me,escrevaninha portugal,n'Portugal,portugal,,,,,,,
53.0,Pedir,Podia,Jages,tragedia,tra,comedia,,,,,,
54.0,Lembrara,Coimbra,Academia do Coimbra,Coisa,COIMBRA,,,,,,,
55.0,herva,herdaste,Perdão,Numero,,,,,,,,
56.0,Comborço,Colombo,,,,,,,,,,
57.0,"Christina
Será",Christo,Christina,Ohristina,,,,,,,,
58.0,Nortyres,álacres,Sévres,Resignada,,,,,,,,
59.0,Paris,Paraphraso,Paraizo,Jarras,,,,,,,,
60.0,damasco,Grão-Vasco,Tearão,,,,,,,,,
61.0,Jhiam,Iria,Dispensariam,Cederia,,,,,,,,
62.0,Prós-,hóspeda,Viera,Próspera,,,,,,,,
63.0,Senhora do Castelo,Senhora de Castelo,Senhora do Castelo...,,,,,,,,,
64.0,"proprio
Diabo em pessôa !",Diabo,,,,,,,,,,
65.0,tristeza,Triste,,,,,,,,,,
66.0,"pas-
sar","pas-
ava",,,,,,,,,,
67.0,fósso,Posso,,,,,,,,,,
68.0,Esplendores do Srcerdocio,Poeta Saudade,Saudades do Ceu,,,,,,,,,
69.0,amnito serena,Tonito,sen bonito,sen bonito bigode,,,,,,,,
70.0,Adro Claudoa,Soror Magyoela,Claudea,Pobre Soror Claudoa,Soror Claudea,saude,,,,,,
71.0,této,,,,,,,,,,,
72.0,feitôr,ICEIRA,FEITICEIRA,,,,,,,,,
73.0,Desatou,Soror Gertrudes,Senhora Gertrudes,Gertrudes Zarôlha,Soror Gertrudes —,"Ó
Gertrudes","Gertrudes
Zarôlha",Madre Gertrudes,,,,
74.0,estrada,Serra da Estrella,Estive,ceremonia,Estremoz,,,,,,,
75.0,mamã sabe,sabbat,Saber,,,,,,,,,
76.0,Cavalinho,Farta,Martinho,metro partiu-lho uma aza,,,,,,,,
77.0,vianda,Ama-Rita,"mem-
ro da aristocracia britanica",Auto da « Sebenta,desconfiança,Confiando da Ama-Rita,,,,,,
78.0,tisica,Maricas,Tica,America,Africa,Rico,Amérricana,Amérrica,,,,
79.0,Manoel,"Seror
Manoel",Cacilda,Soror Manoel,"Soror
Manoel",Soror,,,,,,
80.0,Madre Superior,intemperies,Superior,,,,,,,,,
81.0,Marques,Esquecia,Marquez-,,,,,,,,,
82.0,Fôra,fôra,,,,,,,,,,
83.0,Desprender,Premia,Compreendia,Repreensões,pre,,,,,,,
84.0,valôr,flôr,,,,,,,,,,
85.0,TANGO,Soror Angelica,Madre Angelica,"241

Angelica",,,,,,,,
86.0,bôas,Lisbôa,normalisou,,,,,,,,,
87.0,"Via

DIARIO DUMA",Dizialhe,Dizia-me,mo dizia,,,,,,,,
88.0,Situa Gameiro,Casas,Teresita do barbeiro,"Lisa da
Roda","casa dos
Carneiros",,,,,,,
89.0,proxima,lagrimas,Ultimas,,,,,,,,,
90.0,vólhote,olla,"olla mote-
java",,,,,,,,,
91.0,Saltava,Tavares Cardoso,Encostada,Fitava-a,Gostava,,,,,,,
92.0,"Pobre Madre Lan-
den!",Madre Clandea,Madre Claudes,Madrid,Padre,Pobre Madre,bom do padre,Madre,,,,
93.0,vêr-me,vêr,revêr,,,,,,,,,
94.0,"SACRIFIGADA

Falou",Diga,SACRIFIGADA,"SACRIFIGADA

Y",,,,,,,,
95.0,Estados-Unidos,salvadora,Sagrado,Morgado,,,,,,,,
96.0,Vergonhas,cosinha,Pobre 'Ferczinha,condessinha,Tenha,Espanha,Aninhei-me,Mariquinhas,coitadinha,caldeirinha magica,Vinha,Zéfinha da horta
97.0,"Terezinha da Zófa
do Padre",Torezinha,Terezinha,,,,,,,,,
98.0,Peniche...,Peniche,,,,,,,,,,
99.0,Mancela,Ixreutzss,"rOmancE

Ixreutzss",,,,,,,,,
100.0,Recordava,Acordara,"ú

Acordara",,,,,,,,,
101.0,Continuará,Contos,contér,,,,,,,,,
