text,cluster,cluster_corrected
chapéo,0,
grande chapéo,0,
"sen
chapéo",0,
Pés,0,
Terezinha,1,
Torezinha,1,
Pobre 'Ferczinha,1,
Tenha,1,
Vergonhas,1,
"Terezinha da Zófa
do Padre",1,
intemperies,1,
Inglaterra,1,
herva,2,
Er,2,
Saber,2,
Cederia,2,
terra,2,
Viera,2,
ceremonia,2,
Superior,2,
Numero,2,
Disseração,2,
Perdão,2,
Decerto,2,
herdaste,2,
Ama,3,
damasco,3,
mamã sabe,3,
Chamaram-mo,3,
Ama-Rita,3,
tam-,3,
Pôs,3,
Campos Lima,3,
"cam-
pos amanhecer",3,
Marques,4,
Marquez-,4,
Esquecia,4,
Francamente,5,
EN,5,
opulencia,5,
Entroncamento,5,
atrozêlo,5,
Abrenuncio,5,
Sentia-so,5,
"Presentimento-
tos",5,
ruinas,6,
FEL Intona,6,
Inf,6,
Ina,6,
mévinagre,6,
Una,6,
Chinas,6,
minas batatinhas,6,
Paris,7,
Triste,7,
tristeza,7,
materialisar,7,
Acordara,8,
dulcida,8,
Recordava,8,
gião,8,
"ú

Acordara",8,
HU,9,
hade sahir,9,
Sahir,9,
Sahira,9,
Sahi,9,
sahir,9,
Dahi,9,
ahi,9,
"Lisa da
Roda",10,
NOSSA HOMENAGEM,10,
Ina da Camera Rego,10,
Zéfinha da horta,10,
nossa velha igreja,10,
Lima Vida,10,
Serra da Estrella,10,
!,11,
santo Deus,11,
porto delle,11,
Adeus,11,
Santo Deus,11,
Auto da « Sebenta,11,
Colombo,12,
comedia,12,
Qnom,12,
tragedia,12,
Podia,12,
Diabo,12,
Pedir,12,
Dizia-me,12,
Compreendia,12,
Conselhos,13,
k,13,
Aconselhava-a,13,
Conseguira,13,
Joelhos,13,
vólhote,13,
bom do padre,14,
Madre,14,
Madre Angelica,14,
Pobre Madre,14,
Madre Clandea,14,
Madrid,14,
Madre Claudes,14,
Padre,14,
Madre Superior,14,
"Pobre Madre Lan-
den!",14,
Peito,15,
této,15,
gôto,15,
aféto,15,
TO,15,
Tonito,15,
Vai-to,15,
Desatou,15,
tomara,15,
salvadora,16,
Havana,16,
Chorava,16,
Cavalinho,16,
Cho-,16,
atordoava,16,
pormenorisava,16,
Fechou,16,
Choravam,16,
Abraçava,16,
Alemtejo,17,
Tejo,17,
Ilte,17,
Tearão,17,
S.º,17,
Infias,18,
vasia,18,
"pas-
ava",18,
Invas,18,
Grão-Vasco,18,
bôca vasia,18,
