text,cluster,cluster_corrected
Podia,0,
UT,0,
proprio Diabo,0,
Compreendia,0,
tragedia,0,
Diabo,0,
Candia,0,
Lili,1,
familia,1,
insensibilisa,1,
Thus,1,
equilibrio,1,
nova morgada,2,
nevada,2,
Resignada,2,
lua,2,
táboa,2,
Crédo,2,
em Portugal,3,
Portugal,3,
rétidão,3,
Importa-me,3,
Choravam,4,
alongavam-se:--este,4,
Chorava,4,
Chamavam-no,4,
Additional,5,
gárrulas,5,
Redistribution,5,
Donations,5,
Saltava,6,
Fitava-a,6,
Havana,6,
rôxos,6,
Tavares Cardoso,6,
enregelava,6,
terra,7,
computer virus,7,
Serra da Estrella,7,
Inglaterra,7,
cemiterio,8,
visinho cemiterio,8,
vasia,8,
cemiterio público,8,
lha,9,
amimalhado,9,
Olhava,9,
nossa velha igreja,9,
Olha,9,
normalisou,10,
Lisbôa,10,
bôas,10,
céo azul,11,
Cacilda,11,
Africa,12,
America,12,
Hãode,12,
tisica,12,
Maricas,12,
Amérrica,12,
Amérricana,12,
"work
with the phrase",13,
purpuras,13,
Pôs,13,
"cost and with
almost",14,
Anda,14,
vianda,14,
escandalo da familia,14,
Anninhas,15,
cantarinha,15,
Aninhei-me,15,
Vinha,15,
condessinha,15,
cosinha,15,
caldeirinha magica,15,
Mariquinhas,15,
crescidinha,15,
damasco,16,
Ama-Rita,16,
"Ama-Rita,--",16,
Vou,16,
Ama,16,
bôamente,17,
Surrateiramente,17,
Entroncamento,17,
lamentassem,17,
Presentimentos,17,
vêr-me,18,
Peniche,18,
Revoltar-se,18,
revêr,18,
Escrevia,18,
revêr...,18,
Vêr,18,
Santo Deus,19,
santo Deus,19,
Convento das Bernardas,19,
santos,19,
praça louco de furia,19,
pranto:--era,19,
Angelus,20,
Soror Angelica,20,
Madre Angelica,20,
Gertrudes Zarôlha,21,
Soror Gertrudes,21,
"Soror
Gertrudes",21,
"Gertrudes
Zarôlha,--«corro",21,
assim:--Ó Gertrudes,21,
Zarôlha,21,
této,21,
plumeiras,22,
FEITICEIRA,22,
Paulino de Oliveira,22,
capoeira!?--e,22,
Quasi,22,
Baixa,22,
palreiras,22,
camponia,23,
insónia,23,
ceremonia,23,
Tonito,23,
causticar,24,
Estive,24,
Estremoz,24,
Estados-Unidos,24,
suor,24,
flôr,25,
valôr,25,
lôrpas,25,
"vera pessôa
do bom padre Zé",26,
bom do padre,26,
Terezinha da Zéfa do Padre,26,
Terezinha,26,
There,26,
"Luisa da
Roda",26,
Zéfinha da horta,26,
Dahi,27,
véos,27,
ahi,27,
"Clara do
Rezadeira",28,
Clara do Rezadeira,28,
"Clara de Rezadeira,--coitada!--mal",28,
Clara,28,
granadeiro,28,
Rezadeira,28,
seminario,29,
Chinas,29,
Imaginava,29,
Ordem,29,
Lembro-me,30,
Endireitei-me,30,
Córei,30,
Geitoso,30,
roca,31,
Hontem,31,
montão,31,
Continuará,31,
"Terezinha,--continuava convencedora",31,
Contos,31,
Typographia França Amado,32,
bemaventurança,32,
desconfiança,32,
cadete,33,
saüdades,33,
Desatou,33,
Vergonhas,34,
However,34,
fóra,34,
mamã sabe!,35,
"IV

Sacrificada",35,
Sacrificada,35,
aféto,36,
espójar,36,
Desprender,36,
Esposas,36,
Espanha,36,
Socegasse,37,
Salvador,37,
Salt Lake City,37,
dornas,37,
Some states do not allow disclaimers of certain,38,
Farta,38,
Aberta,38,
Decerto,38,
Dispensariam,39,
Maria Augusta,39,
Barba Azul,39,
Maria do Próspero,39,
Naquelle,40,
"Fôra
aquelle patife",40,
aquelle,40,
naquelle,40,
daquelle,40,
herdaste,41,
!,41,
Eduarda,41,
mana,42,
Many,42,
monomaníaco,42,
desmantelos,42,
Próspera,43,
by U.S. federal laws,43,
Mêses,43,
understand,43,
Senhora do Castelo,44,
Senhora dos Verdes,44,
Senhora Condessa,44,
bom-senso,44,
milagre do Senhor,44,
Tenho,44,
Nosso Senhor,44,
pavôr,44,
Conseguira,45,
Conselhos,45,
Aconselhava-a,45,
rapazelho,45,
transigencia,46,
opulencia,46,
Chico,47,
Teresita,47,
prescrutar,47,
álacres,47,
Sèvres,47,
álêm,48,
V,48,
Coimbra,48,
COIMBRA,48,
braza,48,
Abraçava,48,
Brazil,48,
Infias,49,
Fôra,49,
Tejo,49,
sofredôra,49,
