text,cluster,cluster_corrected
Endireitei-me,0.0,
Aninhei-me,0.0,
Córei,0.0,
Geitoso,0.0,
Olhava,1.0,
Havana,1.0,
Olha,1.0,
enregelava,1.0,
lha,1.0,
cadete,2.0,
saüdades,2.0,
Desatou,2.0,
Sacrificada,3.0,
"IV

Sacrificada",3.0,
chapéo,4.0,
grande chapéo,4.0,
Alemtejo,5.0,
Maleitas,5.0,
Tejo,5.0,
lamentassem,6.0,
Entroncamento,6.0,
Socegasse,6.0,
Presentimentos,6.0,
bôamente,6.0,
Surrateiramente,6.0,
Tambem,7.0,
Camborço,7.0,
trambulhando,7.0,
Terezinha da Zéfa do Padre,8.0,
bom do padre,8.0,
"vera pessôa
do bom padre Zé",8.0,
Additional,9.0,
Donations,9.0,
Redistribution,9.0,
prescrutar,10.0,
Sèvres,10.0,
Teresita,10.0,
álacres,10.0,
Resignada,10.0,
Alegre,11.0,
alegre,11.0,
Ama,12.0,
damasco,12.0,
Typographia França Amado,12.0,
Ordem,13.0,
Senhora dos Verdes,13.0,
casa dos Carneiros,13.0,
However,13.0,
Senhora do Castelo,13.0,
Senhora Condessa,13.0,
Estados-Unidos,13.0,
opulencia,14.0,
transigencia,14.0,
Estremoz,15.0,
Serra da Estrella,15.0,
"Luisa da
Roda",15.0,
espójar,16.0,
Esposas,16.0,
Espanha,16.0,
Desprender,16.0,
mamã,17.0,
mamã sabe!,17.0,
revêr,18.0,
Revoltar-se,18.0,
revêr...,18.0,
equilibrio,19.0,
insensibilisa,19.0,
Lili,19.0,
familia,19.0,
cemiterio,20.0,
visinho cemiterio,20.0,
cemiterio público,20.0,
Brazil,21.0,
Coimbra,21.0,
COIMBRA,21.0,
Abraçava,21.0,
braza,21.0,
gárrulas,22.0,
Eulalia,22.0,
Diabo,23.0,
proprio Diabo,23.0,
Portugal,24.0,
Importa-me,24.0,
em Portugal,24.0,
Convento das Bernardas,25.0,
Santo Deus,25.0,
santo Deus,25.0,
pranto:--era,25.0,
praça louco de furia,25.0,
santos,25.0,
"Soror
Gertrudes",26.0,
"Gertrudes
Zarôlha,--«corro",26.0,
Soror Gertrudes,26.0,
Gertrudes Zarôlha,26.0,
assim:--Ó Gertrudes,26.0,
Zarôlha,26.0,
Sahi,27.0,
sahir,27.0,
hade sahir,27.0,
Sahir,27.0,
Sahira,27.0,
Fôra,28.0,
sofredôra,28.0,
Dahi,29.0,
ahi,29.0,
amimalhado,30.0,
proxima,30.0,
Produced,30.0,
Imaginava,30.0,
lagrimas,30.0,
Project Gutenberg-tm,30.0,
Animais,30.0,
Madrid,31.0,
Claudea,31.0,
"Madre
Claudea",31.0,
Maud,31.0,
Pobre Madre Claudea,31.0,
saude,31.0,
Iria,32.0,
Sorria,32.0,
miserias!--tão,32.0,
nossa velha igreja,33.0,
Tigre,33.0,
alongavam-se:--este,34.0,
Chamou-a,34.0,
Chamavam-no,34.0,
Nosso Senhor,35.0,
Tenho,35.0,
milagre do Senhor,35.0,
Soror Angelica,36.0,
Angelus,36.0,
Madre Angelica,36.0,
Esquecia-me,37.0,
Dizia-me,37.0,
Esquecia,37.0,
santa casa,38.0,
aquella santa casa,38.0,
Santas,38.0,
--«Tem,39.0,
Hontem,39.0,
montão,39.0,
nova morgada,40.0,
nevada,40.0,
Salvador,40.0,
Ama-Rita,41.0,
"Ama-Rita,--",41.0,
rapazelho,42.0,
Aconselhava-a,42.0,
Conseguira,42.0,
Conselhos,42.0,
této,43.0,
aféto,43.0,
Christo,44.0,
Estive,44.0,
Christina,44.0,
Fitava-a,45.0,
Salt Lake City,45.0,
Tavares Cardoso,45.0,
Saltava,45.0,
mana,46.0,
desmantelos,46.0,
monomaníaco,46.0,
Many,46.0,
Paris,47.0,
Paraizo,47.0,
Invejara,47.0,
tomara,47.0,
Peniche,48.0,
Dispensariam,48.0,
bom-senso,48.0,
Aberta,49.0,
Some states do not allow disclaimers of certain,49.0,
Decerto,49.0,
Farta,49.0,
U.S.,50.0,
Cederia,50.0,
by U.S. federal laws,50.0,
Terezinha,51.0,
Vergonhas,51.0,
caldeirinha magica,51.0,
cantarinha,51.0,
Mariquinhas,51.0,
Zéfinha da horta,51.0,
condessinha,51.0,
Vinha,51.0,
Anninhas,51.0,
cosinha,51.0,
crescidinha,51.0,
vêr-me,52.0,
Vêr,52.0,
Lembro-me,52.0,
Eduarda,53.0,
Continuará,53.0,
"Terezinha,--continuava convencedora",53.0,
Contos,53.0,
Amérricana,54.0,
tisica,54.0,
Maricas,54.0,
causticar,54.0,
America,54.0,
Africa,54.0,
Amérrica,54.0,
Quasi,55.0,
hipocrisia,55.0,
vasia,55.0,
silvas,55.0,
bôas,56.0,
normalisou,56.0,
Lisbôa,56.0,
Clara do Rezadeira,57.0,
Rezadeira,57.0,
granadeiro,57.0,
"Clara do
Rezadeira",57.0,
Clara,57.0,
"Clara de Rezadeira,--coitada!--mal",57.0,
vianda,58.0,
Anda,58.0,
understand,58.0,
escandalo da familia,58.0,
nelle,59.0,
volta delle,59.0,
elle,59.0,
delle,59.0,
pé delle,59.0,
Martinho,60.0,
visinho,60.0,
Miguel,60.0,
Miguelsinho,60.0,
"cost and with
almost",61.0,
"work
with the phrase",61.0,
There,61.0,
purpuras,62.0,
Paulino de Oliveira,62.0,
palreiras,62.0,
plumeiras,62.0,
capoeira!?--e,62.0,
FEITICEIRA,62.0,
materialisar,63.0,
terra,63.0,
Inglaterra,63.0,
Maria Augusta,64.0,
Maria do Próspero,64.0,
Próspera,64.0,
Naquelle,65.0,
daquelle,65.0,
naquelle,65.0,
aquelle,65.0,
"Fôra
aquelle patife",65.0,
Podia,66.0,
lages,66.0,
tragedia,66.0,
dornas,67.0,
seminario,67.0,
Chinas,67.0,
Chico,67.0,
rétidão,68.0,
--«Eu heide,68.0,
--«Perdão,68.0,
herdaste,68.0,
Chorava,69.0,
Choravam,69.0,
"Madre
Superiora",70.0,
Superiora,70.0,
Madre-Superiora,70.0,
Barba Azul,71.0,
céo azul,71.0,
Tonito,72.0,
camponia,72.0,
ceremonia,72.0,
insónia,72.0,
bemaventurança,73.0,
Infias,73.0,
desconfiança,73.0,
Candia,74.0,
computer virus,74.0,
Compreendia,74.0,
flôr,75.0,
lôrpas,75.0,
valôr,75.0,
Soror,76.0,
Manoela,76.0,
Soror Gertrudes--Manoela,76.0,
Soror Manoela,76.0,
Manoel,76.0,
"Soror
Manoela",76.0,
aquella grande,77.0,
Marques,77.0,
aquella casa,77.0,
aquella sineta,77.0,
Aquellas,77.0,
aquella calúnia,77.0,
nella,77.0,
Aquella,77.0,
Veja-lhe,78.0,
Escrevia,78.0,
Devia-lhes,78.0,
roca,79.0,
Trocaram-ma,79.0,
lua,,
UT,,
Title,,
Vou,,
Hãode,,
fóra,,
táboa,,
!,,
Baixa,,
dôce,,
álêm,,
suor,,
rôxos,,
V,,
Thus,,
pavôr,,
Crédo,,
Cacilda,,
Mêses,,
véos,,
Pôs,,
gôto,,
