text,cluster,cluster_corrected
LOpo,0,
politica1 de lPortuggab,0,
gou do dcnso troco de cavalleiros,0,
confiava,0,
"toda aquella
vergonha",0,
bBastardo,0,
nao cra ella do Ponto,0,
rola,0,
"Mas d
sobre",0,
do Cavallo,0,
"touveia
na Costa",0,
Iamires,0,
caiu,0,
Grata,0,
magra,0,
louvando,0,
I83,0,
A IL.I.TI CA E,0,
"santa
Direita",0,
"novecentoste
cincoenta",0,
-Ilein,0,
Antes,0,
cuido,0,
Visinha,0,
cnntinuado por uma sebe,0,
terra quc suba,0,
"andando em consciencia
social",0,
viagem,0,
Mas as,0,
pena nao ter em Oliveira,0,
hortali,0,
Velhos,0,
ncia do estrangeirismoln-Como o Seminario,0,
Adinistrador,0,
sentiu,0,
num terror,0,
nio o Ainda,0,
Esta massada,0,
"A Il1III A1 I IMIE
tia trivial,-todo o seu estoreo tio desesperado",0,
nealogico,0,
uma estrada,0,
varado,0,
teria,0,
gostava,0,
s6 temos,0,
cora Rainha,0,
Frei-,0,
us,0,
Risonho,0,
Pola estrada d torre,0,
Transe-,0,
"Snr
tGonealo Mendes",0,
Grande Caval-,0,
Palavras textuaes,0,
Ievar is Senhoras,0,
"Gl
A II.LLSTE",0,
ksfaltato,0,
irreparavel,0,
A IILLISIBR LAMA IDE RAMIIRS5,0,
defrnto,0,
Final,0,
"sempre canto e perdeu
na batina e no verniz dos sapatos",0,
Margens,0,
Gnalo bradava,0,
Santa recinto para fallar,0,
uma gallinha,0,
atr'ara,0,
arretdava,0,
llarrlo,0,
Emfim,0,
Nacionaes,0,
llurrolao,0,
Fiel Matheus,0,
amigo6,0,
subiam,0,
apenas,0,
caseiro,0,
IDes-,0,
Capital,0,
do apoiado,0,
Mas depois ticos o Visconde,0,
adiava,0,
Bobo,0,
victoria,0,
Mioirama,0,
Para 0 acabar precisava o espirito hem socegado,0,
Rio,0,
SE ao outro dia nao,0,
pouca,0,
Torno ongatada i,0,
almocou,0,
queda do hlinislerio,0,
trazia,0,
trago,0,
"escuras e gua-
rulas",0,
Tio,0,
lu l,0,
gingando,0,
IlUS,0,
debruado,0,
vinte alguma casa erradia,0,
bajula Conselheiros,0,
funda,0,
a10 StIA;0-outros,0,
alo,0,
serviu,0,
"Gu-
terras",0,
cera,0,
tartaruga,0,
gota,0,
presa,0,
Urgencia,0,
gua do Fidalgo,0,
pescada,0,
doido do pinheiral e da matta,0,
Provincia,0,
sentassomos,0,
A 1LITO A U IAAIII,0,
colhe i cama,0,
RAWIkES,0,
cerrada com sanha,0,
apenas defcndesso algum angulo do muralha,0,
trovador,0,
CRIME,0,
Duraque,0,
Maricas,0,
"mim,-cerrando",0,
vestido do burel como um onipotente,0,
do,0,
i,0,
Algum,0,
ntara,0,
oitado,0,
nao comeu,0,
Abandonada,0,
quieto,0,
murmurou,0,
colieou a passar o pRometo do tio,0,
imperturlavel,0,
v6s,0,
lleicao,0,
bruscamente a botica,0,
In0estrada,0,
arredar do espelho,0,
malandro da grenha ondeadal Esse,0,
colina,0,
osso do guarda-sol,0,
A ILLLSTII AA DE RAMIRES,0,
deixa,0,
"Ii 
F",0,
cabe,0,
Ribeirinha,0,
uma creanca pequena,0,
Barrolo tambem so occupar,0,
porem,0,
do Vidceirinha,0,
despido,0,
coes la Casa,0,
vulto,0,
afastar,0,
toma,0,
"uma im-
mesa e lustrosa lua nova surgia",0,
contar,0,
n0Sso Castanheiro,0,
empregava,0,
Si-,0,
amansou,0,
assignada,0,
Passou,0,
Piedosa,0,
rou,0,
qne amanh,0,
Rosa,0,
breve artilharia,0,
Anostols,0,
General atalhou,0,
arrancou do canap o corpansil,0,
pre era melhor arranjo pura o,0,
CgUin,0,
Rio Goueia,0,
Dom,0,
Nosso Senhor,0,
como um captiv ao pelo,0,
Cotovelo,0,
Tive,0,
Ti:6,0,
seis,0,
sofrego-e alaz,0,
cruzados,0,
cemiterio,0,
toda ella ste perdia,0,
Cavalleiro,0,
taes,0,
ngugavam,0,
Comprida,0,
vendiam,0,
totlas,0,
nas suas assas,0,
A I.I.T,0,
facil e cm vagares,0,
Est,0,
S6,0,
Cavalheiro,0,
amarras,0,
Tabaco-,0,
Gouveia,0,
Gunal pic,0,
Craquede,0,
Coudel,0,
linhagecm,0,
Tulo,0,
intenso,0,
trato,0,
ossos crueis,0,
revelavam,0,
reparou,0,
soberbo e elalo quc,0,
pintada amarello,0,
apezar,0,
barro,0,
amigo Godinho,0,
do Nascera=--quando,0,
St,0,
alongava,0,
Trag,0,
vinte,0,
sido do criado,0,
toda criada,0,
nao era acanhada,0,
Civis,0,
crepusculo ferreira,0,
gordo,0,
mudamenie,0,
Ias caleira do Poder lcvantasse do acaso,0,
viuva,0,
coraes,0,
amanh,0,
"bar-
branco empinalo",0,
Novas de Tolosa,0,
preito,0,
Cent0-,0,
etardava,0,
Animada,0,
cavalleiro,0,
sua tristezas,0,
MAr-,0,
"Mas tem cuidado com o frasco
 Bento",0,
S. 1x,0,
ncia,0,
do vau do Espi-,0,
Sr,0,
A I,0,
cuja4s,0,
Portugal heroico.n Depois,0,
Estado alguma carta ao seu alfaiate,0,
guedes,0,
rico,0,
"Santa
lrcncia",0,
dez,0,
avisara,0,
ajoujado,0,
As,0,
incapaz,0,
saber,0,
