text,cluster,cluster_corrected
Julho,-1,
i Villa,-1,
Uaonalo,-1,
Tor de Santa,-1,
atravez da noile,-1,
almenira,-1,
Pelo,-1,
Te-Deum,-1,
cannaviaes,-1,
Mlendouea,-1,
gon,-1,
Immediatamente,-1,
Ve,-1,
Etelvina,-1,
la Torre,-1,
"ma revoa-
da de perdizes",-1,
preciusissimo,-1,
Iendera,-1,
Junho,-1,
Tit,-1,
Cognae,-1,
ILLUS1,-1,
Divino,-1,
Iutos,-1,
colches,-1,
quietaeao,-1,
seM-,-1,
Joaio Gouveia,-1,
aquella noite de,-1,
Amninistracio,-1,
"de-
cristo",-1,
Manoelsinho,-1,
Teixeira de Carredes,-1,
pequerrueha tao,-1,
Almas,-1,
uipproxime,-1,
iMagines,-1,
desgra,-1,
Scena,-1,
k coto General,-1,
Bica-Velha,-1,
MOnte-Agora,-1,
Terreiro do Pano,-1,
pavorosa,-1,
Linho,-1,
Crede,-1,
Infancia,-1,
Quarta,-1,
l2art,-1,
"Lopo de
bAixo",-1,
CiVIL.III A D III,-1,
repellia,-1,
Oliveira tnmhem veu,-1,
dcclaro,-1,
fresco valle,-1,
l3ra-,-1,
olha Tarde,-1,
FE General,-1,
Assembl,-1,
Miranda  j,-1,
Lis-,-1,
Mirante-o,-1,
Y J.I.T,-1,
Lebres,-1,
paschoal,-1,
bravio,-1,
Crassa,-1,
Honra de Parede,-1,
II.III,-1,
casa da senhora sua mana,-1,
extasi,-1,
sellim,-1,
Jogo Brando do Midos,-1,
Tremidos,-1,
Ainistralor,-1,
Arrancou,-1,
de lisboa,-1,
Rosa,-1,
Sair,-1,
ava a velhissima historia da castello,-1,
"Oliveira
Goncalo",-1,
acredito,-1,
Fgadelos,-1,
Ing,-1,
Culos,-1,
Tavira,-1,
Caminho de Ferro,-1,
Districto,-1,
Noella-recebeu do manh,-1,
Esgaseado,-1,
revelacbcs,-1,
Gonea-,-1,
lle recsistia,-1,
sos  sim;os eslimabilissimos,-1,
Estimava,-1,
rua Velha,-1,
cabo d'aclarar da sombrinha,-1,
formara,-1,
Ceo accusa,-1,
Llil Virgens,-1,
chamma alta da vela,-1,
Collocar,-1,
Ribeirinha,-1,
uuirroquim,-1,
BAIRRO,-1,
Sitio-,-1,
Livros,-1,
rcatnlis,-1,
alcunha5,-1,
Vede,-1,
Zamhczia,-1,
d italia,-1,
Ave-,-1,
Malares-,-1,
Leoneses,-1,
Valerde,-1,
Castanhtei-,-1,
Coio,-1,
orangal,-1,
azinhal,-1,
Santa Repetiu,-1,
Videira,-1,
"Villa-
Clara",-1,
acostiadu,-1,
cmbaraeado,-1,
lle,-1,
Brando,-1,
Salvador,-1,
imellia,-1,
pu,-1,
Gago,-1,
Castanheiro,-1,
Outeiro,-1,
Una manh,-1,
Bens,-1,
barbuda,-1,
Quero,-1,
Tructezindo,-1,
Centro,-1,
n'elle,-1,
Inais,-1,
"es
eutel m",-1,
phantasia,-1,
Ca-,-1,
Contiuu,-1,
garygalheia,-1,
Saia Senhor,-1,
lortugalsiuho,-1,
Ribeira,-1,
horrifurcmn i,-1,
l1 Torre,-1,
Torre de l. Imies,-1,
bru larga,-1,
Batalhas de Apoiado,-1,
Gonealol,-1,
Guiomar,-1,
sa face mis,-1,
rio dc Goncalo,-1,
mInistro aeceiltz,-1,
ILLISTI CASA,-1,
"Portugal
Espantado",-1,
novecentoste,-1,
ponta da sobrinha,-1,
vieira da barbeita,-1,
bua semeadura,-1,
familia Noronhal,-1,
toriquete,-1,
clno,-1,
ygaridute,-1,
Fllc,-1,
Abria,-1,
Iaee,-1,
Sis,-1,
Montes recordava,-1,
salto i,-1,
"villas da
doaao",-1,
Guncalo,-1,
senhora da ostrad,-1,
adresinho desbotalo,-1,
"Social re-
condo",-1,
Rico-,-1,
barranto,-1,
"triumpho dessa mi-
seria-- cnsadores",-1,
gingand,-1,
"tamhem
mendo",-1,
Policia,-1,
goVerna,-1,
collete,-1,
Vicente,-1,
Visconde do Rio-MAnso,-1,
venho de Reis,-1,
Arremessado,-1,
.-MIas,-1,
Torre iratada,-1,
Illa,-1,
"Bica
St",-1,
Solar de Santa Ironia-resistente,-1,
Iranguinha,-1,
Nol,-1,
"L-
ci",-1,
bom Jogo da,-1,
"k nio sc
tcnselava",-1,
"Tam-
hem",-1,
"hom-
ro",-1,
Ate,-1,
Chafariz,-1,
Brazileiro,-1,
piponice,-1,
l)outro,-1,
Alferes f-,-1,
Ilanella,-1,
Manso,-1,
Nacionaes,-1,
"horda da beira
do Coiee",-1,
costernado,-1,
come0a,-1,
meads,-1,
cehi,-1,
aterre,-1,
"Culo novo do
cemiterio",-1,
Terreiro do ao,-1,
elle,-1,
Auctoridade,-1,
av de carlos,-1,
Torcendo,-1,
Cale-,-1,
tanque redondo,-1,
lE,-1,
Gutiertes,-1,
inspirado0 Pharmaceutico,-1,
Santu Direita,-1,
Mlalchior,-1,
Vingasse,-1,
"buchechudo
bar6o",-1,
Apezar,-1,
Algarve,-1,
Flandres,-1,
Contrasta,-1,
Est claro,-1,
Novilles,-1,
Wriga,-1,
Archio,-1,
Presa,-1,
Cmuolino,-1,
SUelor,-1,
Serras,-1,
"est
de d",-1,
Barro,-1,
Itocados,-1,
Obra pArte,-1,
"Teixeira de
Carredes",-1,
Villalohsos,-1,
mart,-1,
Sabes,-1,
assumpto,-1,
esialludo daquelle,-1,
Casco emtudecera,-1,
"Snr
Ilegedor",-1,
mosteiro de Escadas,-1,
Belo,-1,
MAnoel Justi,-1,
go,-1,
Pessoa,-1,
tan-,-1,
incans,-1,
Novellasinh,-1,
"fossos do
l'ao",-1,
Proprios Nacionaes,-1,
Tres,-1,
Sangria,-1,
Commo-,-1,
Fina,-1,
pau.n,-1,
Villas,-1,
Caiadas,-1,
Sancla,-1,
CO,-1,
"MIas
General",-1,
Lan-,-1,
Deus,-1,
guardasolinho,-1,
Silencioso,-1,
Mendo de SObreiros,-1,
remergulhou,-1,
lapide,-1,
Juec,-1,
eglonalista,-1,
Noella,-1,
Franga,-1,
Sino de anlua,-1,
"U
desar0l",-1,
Con-,-1,
Fidalga,-1,
"Santa Irm-
eia",-1,
Safa,-1,
descan,-1,
Reino,-1,
Pessoalmente,-1,
Concalo,-1,
NUs,-1,
Terreiro,-1,
at alli1,-1,
Cerdal,-1,
Seculo,-1,
Funchal,-1,
i branca pelle,-1,
como6r  lisboa,-1,
1r,-1,
Julieta-,-1,
Titosinlo,-1,
Guia,-1,
Torre aos Domingos,-1,
Mithologgia,-1,
Joao Gou-,-1,
Abandonada,-1,
sinha,-1,
rascuthar,-1,
"ma
ca",-1,
Succedeu,-1,
Filha,-1,
pa elle,-1,
Base Casco,-1,
Inimigo,-1,
la Pharmacia,-1,
legua de poss,-1,
Lisboa-e,-1,
rolando0,-1,
0O,-1,
HAMIES,-1,
nia,-1,
Caval-,-1,
Ministerio,-1,
Tructesinudo,-1,
As,-1,
C0es,-1,
Vae,-1,
"sobreveste ne-
gra",-1,
Caminho,-1,
Santa Inclina,-1,
iI:-,-1,
rainha2,-1,
Nosso,-1,
"dep- 
tadon",-1,
MInistro-aeeeitando co,-1,
Serra Moderna,-1,
suspendia,-1,
banco0,-1,
Gioneale,-1,
Antonio VillalobUs,-1,
Castello de hal Irenei,-1,
Palestina,-1,
Ir de Pina,-1,
ge do Lnrg,-1,
Guticrres,-1,
l1)e-,-1,
valle surde,-1,
C1 UI1 hu Claro ma,-1,
Imp,-1,
ILAWIIIINS,-1,
3I,-1,
Bravo,-1,
ara,-1,
St I,-1,
Iructasindo,-1,
alegre,-1,
mudira u,-1,
affronta daquelle cnjado,-1,
