text,cluster,cluster_corrected
papel verde-gaio,-1,
cvnfraria do senhor,-1,
Treixedu,-1,
estalo,-1,
cavalinho,-1,
I10,-1,
EL-rei D. Sejas-,-1,
t0-,-1,
surprehendeu levantando,-1,
A Il1III A1 I IMIE,-1,
odos abtusavam,-1,
Melodrama,-1,
mudo nao,-1,
dormitava,-1,
S. Como,-1,
como base,-1,
"na clara
solida da estrada",-1,
trato,-1,
einpluado,-1,
ILoueneo,-1,
Valle de Josaphat,-1,
assento,-1,
derrubado,-1,
--h,-1,
h,-1,
FE,-1,
perpassaMa,-1,
Se-,-1,
Clar-Sol,-1,
Secretaria,-1,
colo s jornaes da manh,-1,
Aviz,-1,
"Rio Velho
Fnsaiou as teclas",-1,
espesinhado,-1,
Clerigo da Cura,-1,
Chiche,-1,
"Torre
rostituida ao oxplenlur sobrio",-1,
qucto,-1,
Taes,-1,
della,-1,
queda,-1,
na Iibeiinh,-1,
Iecesvinto,-1,
violenta do,-1,
Rico-,-1,
Presidente da mesa,-1,
Ireixcdol,-1,
Agora prim,-1,
Negocios,-1,
Freixos,-1,
"x,%1",-1,
mancha,-1,
naturalmente,-1,
Firmino,-1,
"uma
ceia de Natal",-1,
luto,-1,
lhe enchiam,-1,
Etelvina,-1,
senhora da exist,-1,
passavas,-1,
nao comeu,-1,
leito u ta de Coimbra,-1,
semanas de Capital,-1,
-1J,-1,
jornais,-1,
obra porto,-1,
O,-1,
branduras de lapides,-1,
aProva de como,-1,
Santa thereza,-1,
Mas aqui todos,-1,
"apenas ste
apeava em Oliveira",-1,
Reodades,-1,
phogaho,-1,
chatu e,-1,
"terra ele
redor",-1,
nariz,-1,
funda,-1,
Coimbra no Hotel Mondego,-1,
"aqui
pegada i sua velha Torre",-1,
Voltava,-1,
Iiscutal,-1,
Rnmiresln E por baixo do chapeu ceo,-1,
lEu,-1,
amuados,-1,
Tauhem,-1,
finados,-1,
Mas e difficil,-1,
cabo do pinheiral silencioso,-1,
ultereceu,-1,
Querem,-1,
rondava agora,-1,
liquida,-1,
Cortar,-1,
regaladamente,-1,
aquella sua formosa lettra,-1,
bandeira,-1,
Direita,-1,
Grande novidade MIas o Ande,-1,
Infantas,-1,
uma arena,-1,
com a tosse,-1,
hermann,-1,
aRmas,-1,
janolalon-MIas,-1,
correra ao Mirante,-1,
rosciras,-1,
"anciedade desejos-
rada doscapdr para longe",-1,
"Santa recinto para fallar
ao Andr Cavalleiro",-1,
Colonia portugueza,-1,
benta i sahida,-1,
Mente-,-1,
Com-,-1,
tioncalo sacudiu os hombros,-1,
1F',-1,
pelle do pesco,-1,
veneno,-1,
tabeleceemos,-1,
Oliveira,-1,
"av0 Guerra-
res tivera por",-1,
sempre brincalhao,-1,
sobrecasaca,-1,
Senhor de Santa Direita,-1,
