cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
0,anda,Andtce,Mlanda,Landim,vianda,seccando,ndatms,Ninda,Londa,T,pancnda c assuada,dominanda,lazenda,BAnD0,Sandim,jand,Iunda,hnda,mandadu,,,,,,,,,,,,,,,,,,,,,,
1,CAS,Asseblca,"botoes das
calcas",Casas,Visigothicas,Castrol,Caseo,Casro,i Casu,Caeadas,Casu,tda casal,sohrecasaca,Casal Novo,Case,cacarolas,trocass,I)as,"casas dc
Franea",carvalheiras do Casal No-,,,,,,,,,,,,,,,,,,,,,
2,ILLTE cS DE RAMIS,W,cumisu de chita cir de rosa,collegio de S. ilt,"ILLTE LASA DE IYIIHES
y0",pe qte defrnto,Viseonde de reixonil,Yalle de Josaphat,re salve  ra-,Yonge de Cistea,citna dos teorceis qe se cminat,tos de cstanho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,urre,Burrnlo,Trre,Turre,Trrel,Turras,cureel de guerrd,Turrc,Iurre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,IAMII,IAMIILS,n amigu seri,IAMII3,"C3A DHE IAMII5
y",IAMIIYS,IAMIIHS,IAMIIH5,Zamhczia,uIamn,IMI IAII,familia,IAMIIIIE,ILAMIIIH5,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sinha,Estevinha,"Pinhal
de Estoevinha",gallinha cosida,Iainha,ssinhlo,vinhu,Rosinha,Ininha,linha varunil e scmpre,janellinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Verde,Valrerde,Yillaverde,Pacos de Severim,"erista dos outirs de
Yalverde",lde haver tdesgosto,Caho Verde,goso de verdadciro,Valverde,chi verde,elo Verde,Yalverdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pois,lepois,Ilopois,Iisfoia,lPois,IPois,lcpois,l'ois,Ieois,PUois,llepois da hilho,kPois,Dcpois,lopois,Ilepois,Iepois,beois,lpoi,IDepois,,,,,,,,,,,,,,,,,,,,,,
8,Ilontem,desontelra,monte,tque montasste,"elo e-
sadamonto",Ilotel Mondeg,"imovel
dcante do",contevo,Monte,Montemor,Yivamontc,Mlontemor,monte c vualle,d ponte,Ponte,Ponte...,,,,,,,,,,,,,,,,,,,,,,,,,
9,roquel,Quero,Joqulm,quel eImnpurra,requehro,marroquim,brotquel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,aui,naui,Nau,lais aui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ilraz Victorin,Ilistoria,Iistoia,d'Ilistoria,Hlistoria,historlia da bulha,Ilistoric,voril,Iistoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
