text,cluster,cluster_corrected
cavallo-marinho,-1,
"i
banca lo trabalhlo",-1,
I10,-1,
t0-,-1,
apanlou,-1,
A Il1III A1 I IMIE,-1,
banet-0,-1,
odos abtusavam,-1,
quem nao impediria,-1,
caraeter,-1,
Nro,-1,
taas,-1,
Melodrama,-1,
um iempo,-1,
tecom,-1,
Coraon,-1,
dormitava,-1,
E nem ullia,-1,
"votar,-o",-1,
como base,-1,
trato,-1,
l(liveira-atd eom,-1,
einpluado,-1,
antes do S. Joo,-1,
Sandornin,-1,
ILoueneo,-1,
Pelro do Castro,-1,
Vidros,-1,
h,-1,
Nada so cmenda,-1,
Clao-ol que,-1,
aceudiu D. Maria,-1,
FE,-1,
n6s,-1,
Mlaricas,-1,
Se-,-1,
Clar-Sol,-1,
C0lll 0,-1,
ergulhavu as ameias,-1,
regrcssu,-1,
crespo,-1,
Aviz,-1,
scismar,-1,
bazics,-1,
IIlIlUS,-1,
espesinhado,-1,
Chiche,-1,
della,-1,
rio lento nuula solidio,-1,
"eccudol
Ms",-1,
Iecesvinto,-1,
violenta do,-1,
mettc,-1,
Ireixcdol,-1,
Tovrvre,-1,
Toe,-1,
o seu socegado po,-1,
Manso,-1,
gs quc lhc,-1,
Pacos de,-1,
- A,-1,
Firmino,-1,
E caminhando uos ladrilhos sonros,-1,
afaslou,-1,
"uma
ceia de Natal",-1,
capellna e archivista da Torre,-1,
luto,-1,
Mleia-lade,-1,
tell ac,-1,
estemeea,-1,
desapparicio do Lucena,-1,
pre era,-1,
ealmente o lestino,-1,
-1J,-1,
dissc,-1,
O,-1,
aProva de como,-1,
Portgl,-1,
dizer as,-1,
bater,-1,
limnpava,-1,
"todos he-
beram",-1,
repehle,-1,
bDr,-1,
cognac,-1,
aularrad,-1,
"Porta
coreu do pateo",-1,
arreiras,-1,
Iiscutal,-1,
Rnmiresln E por baixo do chapeu ceo,-1,
lEu,-1,
Lisboa-e na Torro atirou,-1,
Tauhem,-1,
lieo-liome-,-1,
abalira,-1,
mniassia,-1,
rabulices do Caseol,-1,
"corto de u amaveol
mysterio",-1,
curapco,-1,
temperalento,-1,
regaladamente,-1,
lhe imporava,-1,
trasse na,-1,
escarpas,-1,
tulagem umn,-1,
uma arena,-1,
mne alacnram,-1,
Yer-,-1,
entou lg0 uttru,-1,
janolalon-MIas,-1,
correra ao Mirante,-1,
rosciras,-1,
Idea-,-1,
Baluarte-Volho,-1,
Caeadas,-1,
Franea,-1,
benta i sahida,-1,
e ella na carruagetn sentia toda,-1,
I0s clqantu,-1,
"el
ue dc novo um liires lrilhuava os caminhos",-1,
vence,-1,
trocass,-1,
1F',-1,
Santches,-1,
companhciro,-1,
Inalo,-1,
