text,cluster,cluster_corrected
sophar,0,
Pharmacia,0,
Nympha,0,
Sophia,0,
pharol,0,
Ophir,0,
"Dilhares da
Sophia",0,
assoalhar,0,
Immediatamente,1,
Hirtamente,1,
Languidamente,1,
Supplementar,1,
Infamemente,1,
Comedia,1,
Josamente,1,
arrebatadamente,1,
singelament,1,
Immediatamente Videirinha,1,
Post- Seriptum,2,
Post-Scriptum,2,
Rosa,3,
Rossilho,3,
Prosa,3,
tenebrosa,3,
hRosa,3,
gros-,3,
Vagarosas,3,
Severosa,3,
Pros-,3,
Temerosa,3,
Rebolou,4,
bou,4,
Rebolava,4,
Louren,4,
Louredo,4,
Lobo,4,
Ba,5,
balsão,5,
Rebate,5,
Baixa,5,
Baza-,5,
bahu,5,
Abalou,5,
Machumba,5,
abalára,5,
Bayão,5,
Ribeirinha,6,
Ribeira,6,
Ribeira do Coice,6,
boeirinha,6,
Mibeirinha,6,
"Ribeira
do Coiee",6,
bocirinha,6,
Ribe-,6,
Torre Videirinha,6,
Videirinha...,6,
Hibeibinha,6,
Videirinha,6,
N'outro,7,
luncta d'ouro,7,
We/-,7,
n'outro,7,
Tavira,8,
Digodeira,8,
Videira,8,
"viscira er-
guida",8,
caldeira,8,
Vide,8,
Duvido,8,
bebedeira,8,
Videi,8,
Madeira,8,
bigodeira,8,
Videir,8,
Videirinha adeantou,8,
El-Rei,9,
El-rei Dom Affon-,9,
El-Rey,9,
"Guião
d'El-Rey",9,
El-rei,9,
Fl-Rei,9,
El-Rei Fer-,9,
Criticos,10,
bom Titó,10,
Titó,10,
Ti,10,
immenso Titó,10,
Titô,10,
Titulo,10,
ciaes,11,
Leoneses,11,
Setiaes,11,
ES,11,
Es,11,
Gomes,11,
"Titó
descess",11,
es,11,
d'essa,11,
Í,11,
"Calle ess

esso",11,
Es-,11,
Guede,12,
Suecedeu,12,
Advogue,12,
guedelha,12,
Ninguem,12,
Aguiar,13,
Guiomar,13,
Guimarães,13,
marroquim,13,
"Mariquinhas
Marges",13,
anguio,13,
Juizo,13,
esguio,13,
"Açor ne-
gro",14,
Açor negro,14,
S. E,15,
S. Es,15,
S. Miguel,15,
S.,15,
Costa que S. Es,15,
S. Do-,15,
S. Fulgeneio,15,
S. Gun-,15,
Mendonças,16,
Mendonça,16,
Marias Mendonças,16,
Jenço,16,
Mendoncç,16,
Mundo,16,
Reparti,17,
Reparti-,17,
Vicente,18,
S. Vicente,18,
Nascente,18,
S,18,
Enternecido,18,
Esente,18,
Poente,18,
Licença,18,
intencão,18,
Ma,19,
Major,19,
Diplomacia,19,
mma,19,
Toma,19,
Mafoma,19,
Mamã,19,
lima,19,
"fertili

ima",19,
Poema,19,
Maciel,19,
"Mada-

 

 

ma",19,
Ma-,19,
Santa Maria de Cra-,20,
Santa Maria de Craquéde,20,
Santa Ma-,20,
"Santa
Maria de Craquéde",20,
"cabo de
Santa Maria",20,
Santa Maria,20,
Santa Maria de Craquêde,20,
mareha de fol-,20,
triampho dessa mi-,20,
"Santa Ma-
ria",20,
"loriga de ma-
lha",20,
Santa Maria de Craquede,20,
bozina de marfim,20,
Santa Clara,20,
Bragança,21,
Braganças,21,
Praga,21,
Braganca,21,
Hotel Braganca,21,
Hotel Bragança,21,
agarrára,21,
Chafariz,22,
mófa,22,
ucharia,22,
"Chafariz

 

 

mir sagrado !",22,
Largo do Chafariz,22,
repellia,23,
relusia,23,
Russia,23,
lusidia,23,
luda tremia,23,
Club,23,
A Reliquia,23,
Auctoridade,24,
Auctoridades,24,
Authoridade,24,
Auctoridade Superior,24,
Capellão,25,
elle,25,
collegio de S. Fiel,25,
Blle,25,
Velleda,25,
Jã,25,
Excellencias,25,
pelludo,25,
n'aguelle,25,
ria elle,25,
d'elle,25,
bellez,25,
pelluda,25,
"Elei-
cão",25,
Eleic,25,
Eleiç,25,
"a
elle!",25,
clle,25,
Estado,26,
Espantado,26,
Enfiado,26,
Affoutado,26,
tauxeado,26,
Deputado,26,
Estirado,26,
Escusados,26,
Instado,26,
extasi,27,
quasi,27,
quasi consenti-,27,
suecessivas,27,
Quasi,27,
Duas,27,
Teixeira de Carredes,28,
"ribeira de
Crêde",28,
"Teixeira de
Carredes",28,
Tecedeiras,28,
Carredes,28,
Cavaleiro dentro da Politica,29,
Cavaleiro,29,
"Cavallei-
ro de Malta",29,
Cavallari,29,
cavalleiro,29,
Cayalleiro,29,
"Cavallei-

ro",29,
Cavalleivo,29,
Silleiro,29,
"Caval-
leiro",29,
Cavallei,29,
Uavalleiro,29,
Cavalleiros de Santa,29,
cavallariços,29,
"Governador
dré Cavalleiro",29,
cabo Silleiro,29,
Cavalleiro,29,
d'este Cavalleiro,29,
braço do Cavalleiro,29,
André Cavaleiro,29,
"Cavallei-
ro!",29,
Natal o Cavalleiro,29,
pranchada de cavalleiro,29,
Cavalleiros,29,
U Cavalleiro,29,
Proprios Nacionaes,30,
Prompio,30,
ão dos Proprios Nacionaes,30,
Tres,31,
Vá,31,
MLESTRE,31,
patrõa Pires,31,
Redacções,31,
Trez,31,
resoou,31,
ULESTRE,31,
Gracinha,32,
Torre Gracinha,32,
Graeinha,32,
Varandinha,32,
Gracinha céron,32,
"Oh
Gracinha",32,
"Gra-
cinha",32,
Egrejinha,32,
Bruscamente Gracinha,32,
Grainha,32,
Andrésinho,33,
Flandres,33,
Andrê,33,
André,33,
"An-
dré",33,
Dr,33,
Dr.,33,
Cerdal,34,
Cerda,34,
Serdal,34,
Geral da Corda,34,
ermida,34,
Esgaseado,35,
esgaseado,35,
asseteado,35,
Sea,35,
guesugas,35,
Arrancou,36,
torre albarran,36,
torre d'Almenara,36,
"Torre albar-
ran",36,
pigarreanilo,36,
d'Arraz,36,
Arranja,36,
"torre
albarran",36,
Patriotas,37,
Patriota,37,
Patriotismo,37,
"Rico-
Homem",38,
"Tam-

 

ro-Homem",38,
Rico Homem,38,
dhomeim,38,
festi,39,
Palestina,39,
Pelestina,39,
Destino,39,
"Pales-
tina",39,
Jesuina,39,
Fidalgo,40,
Algés,40,
Ai o Fidalgo,40,
Vidago,40,
Pidalgo,40,
Filho-de-Algo,40,
Vidalgo,40,
Fidalguia,40,
Filho-d'Algo,40,
"Fi-
dalgo",40,
Ficialgo,40,
braco do Fidalgo,40,
Fidalxo,40,
fidalguia,40,
Ai meu Fidalgo,40,
Fidaigo,40,
fído da Ariosa,41,
Riosa,41,
Ariosa,41,
"Notarios
da Curia",41,
Mariposa,41,
Arcos,41,
Sangria,42,
briria,42,
Primo,42,
Syria,42,
Ri-,42,
Curia,42,
gria,42,
theori,42,
gloria,42,
d'Abril,42,
Brito,42,
Vontade,43,
Convento de Santa,43,
convento de Santa Thereza,43,
Tonra de Santa,43,
Santo Estevam de Gu-,43,
Convento de Santa-Brigida de Oliveira,43,
Hespanhoes do Conde de Venavente,43,
Santo Deus,43,
Villa Real de Santo Antonio,43,
"convento de Santa
Cha",43,
Convento de Franciscanos,43,
Convento de Santa Bri-,43,
aclarava,44,
"Villa-
Clara",44,
Villa-Clara,44,
Villa Clara,44,
la-Clara,44,
"Calçadinha de
Villa-Clara",44,
Deputado de Villa-Clara,44,
"Villa Cla-
ra",44,
"estrada de Villa-
Clara",44,
Villa Cla-,44,
Oh,44,
Coneelho de Villa-Clara,44,
"Calçadinha
de Villa-Clara",44,
Hospital de Villa Clara,44,
Sé,45,
sé,45,
Moguncia,46,
edencia,46,
stencia,46,
Venciam,46,
Zambezia,46,
Venancia Rios,46,
"S. Ful-

 

gencio",46,
Intelligencia,46,
diligencia,46,
Portugueza,47,
Meia-Idade Portugueza,47,
Portugue-,47,
Portugueza...,47,
Meija-Edade Portugueza,47,
Portuguezes,47,
Barrólos,48,
Barrólo,48,
Barróôlo,48,
bom Barrólo,48,
palacete dos Barrólos,48,
róla,48,
Palacete dos fidalguissimos Barrólos,48,
Barroólo,48,
Borróôlo,48,
Barrólinho,48,
remocava,49,
Lancava,49,
Cavado,49,
tufava,49,
encaltnado,49,
Beliscava,49,
Riba-Cavado,49,
"Riba-
Cavado",49,
Peecado,49,
Bas-,50,
Has-de,50,
As-,50,
"pas-

zada",50,
pas-,50,
Cas-,50,
Arremessado,51,
arremessaria,51,
arremettida,51,
Enxarez,51,
Remarigues,51,
Paço do Bispo,52,
Bispo,52,
Bispos,52,
arcebispo de Thessalonica,52,
Crispola,52,
Bispo de Coimbra,52,
demitto,53,
Ministerio,53,
Cemiterio,53,
cemiterio da Villa,53,
cemiterio,53,
permitte,53,
Denemeritos,53,
Temerario,53,
Cemitério,53,
Novellas,54,
Novellasinh,54,
Novecenios,54,
Novella,54,
Vellas,54,
Novela,54,
Novel-,54,
Avellans,54,
s Capitulos da Novella,54,
vella,54,
Novella...,54,
"r
ca",55,
Ca-,55,
Casca,55,
Cahe-,55,
carcovas,55,
carrascão,55,
Toca,55,
Moscatel,55,
sc,55,
Effectivamente o Casco,55,
Academias,55,
Acaso,55,
"cabeca
alta",55,
Casco,55,
Cascaes,55,
Monicas,55,
Cas,55,
Mascate,55,
Caçadas,55,
pu,56,
Puxou,56,
Xo,56,
puz,56,
Ser,57,
Serena,57,
Serpa,57,
Serio,57,
Er,57,
Severim,57,
Para-,58,
"bra-
zão d'armas",58,
— Para-,58,
apa-,58,
Ra-,58,
Paraiso,58,
"ra-
zão",58,
Gra-,58,
Parada,58,
Monte-,59,
Monte,59,
Montemor,59,
Monge,59,
soccorro de Monte-mór,59,
