text,cluster,cluster_corrected
Ex.^a deseja,-1,
papel verde-gaio,-1,
Thessalonica,-1,
desolado:--«E,-1,
Moirama,-1,
chuta,-1,
"talando terra
portugueza desde Aguiar",-1,
ia,-1,
Santa Clara,-1,
Torre passára,-1,
com casal na Riosa,-1,
senhoras ajoelharam,-1,
"Por fim
Videirinha acercou",-1,
atirava,-1,
á prima Maria,-1,
Imperador,-1,
abafavam,-1,
azeitona,-1,
encetando,-1,
accumulado,-1,
Damião,-1,
Villa-Clara sahe deputado quem o,-1,
fuscas nuvens,-1,
Melodrama,-1,
pousada,-1,
E de repente,-1,
Inverno,-1,
como base,-1,
Torre e os,-1,
sabia,-1,
Melgaço,-1,
Archivo,-1,
palavras textuaes):--«Entre,-1,
balançando,-1,
Guião,-1,
Pois uma,-1,
Deves,-1,
com o seu desembaraço elegante,-1,
Sandornin,-1,
Eis ahi o Bento,-1,
brancuras de lapides,-1,
"negra e de
mil annos",-1,
"Navas de
Tolosa!",-1,
Casco é caçador,-1,
derrubado,-1,
Vidros,-1,
retardava,-1,
albarran,-1,
como quem bruscamente fecha uma,-1,
Visigodos,-1,
Bispo de Coimbra e do Prior do Hospital sustentando,-1,
para sobresahir,-1,
cupula,-1,
regia,-1,
enfiára,-1,
"gostava
de lisura",-1,
louvado Deus,-1,
portão,-1,
percebeu,-1,
balbuciou,-1,
sessenta votos na Freguezia,-1,
Portugal heroico,-1,
tudo arranjado,-1,
Napoleão,-1,
devida já desde,-1,
espesinhado,-1,
enrolados,-1,
transferido,-1,
Arrancou,-1,
Mertola,-1,
Bernardino,-1,
Na abobada,-1,
espada e depois lá na Torre,-1,
Varandinha,-1,
Professores,-1,
Freixos,-1,
toma as nossas armas e vence,-1,
pendurado do braço do Titó,-1,
carvalhos e de,-1,
escandalo,-1,
passagem do comboio d'Oliveira,-1,
escreveram,-1,
credula e,-1,
A Snr.^a Condessa de Chellas,-1,
escorregado para,-1,
--Cá,-1,
pedras á agoa lodosa,-1,
Seculo,-1,
esticado,-1,
aberta á frescura da noite,-1,
Arribada,-1,
tres raparigas,-1,
luto,-1,
furta,-1,
lhe enchiam,-1,
Portugal e d'Hespanha,-1,
lembrando,-1,
gracejava,-1,
semanas de Capital,-1,
pendão e caldeira,-1,
O,-1,
leque,-1,
Casal Novo,-1,
malandro do rapazola desfechou,-1,
arrogante,-1,
decepados,-1,
Mas aqui todos,-1,
consternado,-1,
bater,-1,
proximo do rio,-1,
acção toda,-1,
"Illustre Casa de Ramires

Author",-1,
senão tremer,-1,
Gonçalinho,-1,
luzindo,-1,
estas,-1,
Santa Ireneia para fallar,-1,
esfalfados,-1,
Curioso,-1,
Por fim Gonçalo,-1,
entregou,-1,
cacarejada e troçante,-1,
agora aguenta...,-1,
É de commover!,-1,
Torre ao Pereira,-1,
Penedo da Saudade,-1,
Eleicão,-1,
Poder levantasse do marasmo,-1,
na freguesia da Grainha,-1,
Castello o troço,-1,
Não comecemos,-1,
fazeis,-1,
agora alfombra o,-1,
Mestre:--«D. Payo Peres,-1,
"perante uma entrada tão apparatosamente
fraternal",-1,
Por fim bateram,-1,
Arzilla,-1,
E á estribeira do Sôlha,-1,
deduzio,-1,
Braz Victorino,-1,
aquella Ribeira,-1,
"É linda!

O",-1,
má,-1,
acanhamento,-1,
para não alvorotar,-1,
rondava agora,-1,
uma bengallada,-1,
até á abobada do esguio corredor em,-1,
falsura,-1,
regaladamente,-1,
sebe,-1,
Estou derreado,-1,
Pestana,-1,
Monte-Mór e de Esgueira,-1,
VI,-1,
bróta,-1,
Vossê agora tinha uma,-1,
Infantas,-1,
com a tosse,-1,
nas terras de Egypto,-1,
Só rocha,-1,
encontrou,-1,
Catão,-1,
Por trez,-1,
em arvoredos,-1,
vindima,-1,
Magestosamente,-1,
É apenas cavallo,-1,
E o Fidalgo,-1,
Mas de sobre,-1,
agua bem esperta,-1,
alarido,-1,
maroto do Titó,-1,
amorteceu,-1,
Sul,-1,
amarrado á haste por uma,-1,
Mas a Rosa,-1,
chegou a Coimbra,-1,
Siga,-1,
Antoninho,-1,
riu,-1,
Mas o Fidalgo,-1,
armas do Barrôlo,-1,
II,-1,
demitto,-1,
sempre avolumada,-1,
Cerdal,-1,
A Cidade e as Serras,-1,
aquella imaginação,-1,
moldura do espelho,-1,
Gottoso,-1,
com uma doçura outomnal,-1,
"flôr da
nobresa de Portugal",-1,
Lagrimas,-1,
Santa Aldonça,-1,
esfarellou,-1,
Rigoleto,-1,
Sanches Lucena cresceram de puro espanto,-1,
Syndicato,-1,
com os stores,-1,
Revelar Portugal,-1,
your,-1,
Barrôlo e José,-1,
mãos nas ilhargas,-1,
bebedo,-1,
formam,-1,
Brito,-1,
Torre coberto,-1,
ralhou,-1,
inilludivel,-1,
I,-1,
aguda,-1,
vidrados,-1,
Eleição do Fidalgo,-1,
annunciando,-1,
Imperio Visigodo,-1,
Sinto,-1,
Sophia,-1,
condemnando,-1,
chicotada,-1,
com as mãos nas algibeiras da rabona,-1,
jura,-1,
suor e d'espuma,-1,
persuadir,-1,
"Logo depois
da sua fuga",-1,
empolgava,-1,
na Zambezia,-1,
por Tordezello e Santa Maria da Varge,-1,
--Ai,-1,
repicar,-1,
Mas ahi ha Reis,-1,
tropeou,-1,
aquella queda triste,-1,
chinella até á casaca,-1,
ratamtam,-1,
Annica,-1,
Silleiro,-1,
Traz-os-Montes,-1,
Vamos lá,-1,
badalou,-1,
carrascão,-1,
Vivamente,-1,
manjaricão,-1,
espreitar,-1,
"Ramires
    Honra",-1,
pachorra,-1,
desviaram,-1,
Como caminharia,-1,
tiras da Novella,-1,
Mas depois quando sahi,-1,
nas profundidades da,-1,
pão e,-1,
Erguendo,-1,
senão,-1,
ditosos,-1,
uma devota senhora de Corinde,-1,
vela,-1,
azul,-1,
accendeu,-1,
bandeja do chá,-1,
tardias,-1,
com redes,-1,
recommenda ao Gago,-1,
Bazares,-1,
vilmente,-1,
moídos,-1,
amarrada ao Teixeira,-1,
corpo do Conde de Marialva,-1,
Snr,-1,
leitura da versalhada,-1,
impressionado,-1,
soprada,-1,
Aventureiros,-1,
Eu sei,-1,
"compendios da
Historia",-1,
como entulhada por estes cuidados,-1,
resvalava,-1,
semsaboria universal,-1,
soffrego,-1,
Cruzeiro,-1,
Terceiro-Anno,-1,
acercou da bocca,-1,
não-ser_,-1,
tentaram,-1,
Villa Clara com os amigos,-1,
Chefe,-1,
rica Nossa Senhora,-1,
Uma bagatella,-1,
tanger,-1,
sério,-1,
"Mas era
pena",-1,
Mas por quê,-1,
tem agora um cavallo,-1,
animam,-1,
toda córada,-1,
ardente:--«Sim,-1,
E tomou o caminho velho,-1,
emmaranhando,-1,
toda entulhada de ramos de pinheiro,-1,
lançaria,-1,
remoçava,-1,
Coimbra Antoninha Morena!,-1,
na chamma da sua Idéa--«a,-1,
torcendo,-1,
procurador,-1,
Esse vinho,-1,
Coice,-1,
pequeninos,-1,
novo,-1,
descobriram,-1,
pic-nic,-1,
"Mas aquella voz
gorda",-1,
"espingarda atravessada nas
costas",-1,
cancella,-1,
agua da Bica-Velha,-1,
"sessenta
graus!

E depois do rapido banho",-1,
beguinos sumidos na sombra das cugulas,-1,
cenoura,-1,
Na Torre o velho,-1,
Violante,-1,
A D.,-1,
com as colleiras errissadas,-1,
mesmo Santa,-1,
Agarrára,-1,
crepusculo tristissimo,-1,
findou,-1,
chata,-1,
Ex.^a não,-1,
gordo,-1,
novo avançando,-1,
Brazão-d'Armas,-1,
recebeu de manhã,-1,
abeirou da Arcada,-1,
conheço o vinho,-1,
linda,-1,
Torre é larga bastante para,-1,
piada,-1,
Navas,-1,
Para rosnar de vez em quando,-1,
Syria,-1,
jornal amigo,-1,
Comprára,-1,
combalido,-1,
aba,-1,
alçapão da levadiça,-1,
--Lê,-1,
como reprêsa solta,-1,
ramantica Torre,-1,
pintada,-1,
Só,-1,
bexigas,-1,
não juntar,-1,
marcando,-1,
rolando,-1,
como um acto certo e por,-1,
dei cinco tostões,-1,
caimba do freio,-1,
violenta do avô Tructezindo,-1,
lhe indiquei o bom,-1,
licôr,-1,
"Villa até á cocheira do
Torto",-1,
havemos,-1,
hirto e mudo deante do seu pendão,-1,
Bastardo abalára do castello,-1,
"passou á
varanda",-1,
ultrages immundos,-1,
appareceu toda,-1,
rente ao souto,-1,
longamente revolveu pensamentos,-1,
Mas anda nas almas,-1,
Ex.^a manda,-1,
"cima do
morrião",-1,
"Chronicas do
Imperador Clarimundo",-1,
abeirou,-1,
todos sem,-1,
Administrativos,-1,
moças do campo,-1,
desconfiar,-1,
secias,-1,
É da minha propriedade do Corvello,-1,
tiras da,-1,
quarto do Barrôlo,-1,
esmola,-1,
São,-1,
morro,-1,
esgueirada e,-1,
Duarte o romantico,-1,
Manoel,-1,
urrava--«Viva,-1,
crescida e verde,-1,
El-Rei e da,-1,
Contando assim,-1,
honras»--acolher,-1,
lhe parece,-1,
madrugada,-1,
facilitára,-1,
"sumida,--lumes",-1,
aprestar,-1,
Mas fica,-1,
cigarros,-1,
Setiaes,-1,
sempre reformada,-1,
Infante D. Pedro,-1,
para uma repousada delonga,-1,
centeio,-1,
moço,-1,
circulando atravez do Concelho,-1,
gritavam,-1,
"Monte-Mór!

E o Bastardo",-1,
limpava,-1,
estacando,-1,
uma manta,-1,
perpassára,-1,
solteiro,-1,
por sobre,-1,
e,-1,
Europa,-1,
Todos louvaram o ardil do,-1,
Cortiga,-1,
julgamento,-1,
--Da,-1,
com as mãos,-1,
"Balthazar
Ramires",-1,
uma colleira,-1,
ponto,-1,
"uma moça do
campo",-1,
Alemtejo,-1,
incessantemente,-1,
um banquete,-1,
e fugi,-1,
caleche da Torre,-1,
Italianos,-1,
Mellosinho,-1,
flôr regada,-1,
recolhia á Torre,-1,
vibrar,-1,
convenceu,-1,
cuida tu do corpo de meu filho,-1,
Sanches,-1,
Entrudo,-1,
Bica Santa,-1,
For thirty years,-1,
verão,-1,
sopeando,-1,
"S.
Froalengo",-1,
Torre uma fallada,-1,
Vendeia,-1,
Baluarte-Velho,-1,
Biscaia,-1,
Futuro,-1,
Beja,-1,
mortificado,-1,
El-Rei não vivia,-1,
vinho,-1,
prôa,-1,
Paris,-1,
saios de malha ferrugenta,-1,
Cistér_. E assim abastecido,-1,
"carta de
senhora",-1,
desappareceram,-1,
aquella sua velha aldêa de,-1,
atalaiavam,-1,
Eu por mim sei,-1,
na Palestina,-1,
