text,cluster,cluster_corrected
Silencio,0,
"bom
Silencio",0,
c1,0,
A21,0,
bom Silencio,0,
PA,1,
Rapaz-,1,
ggrgypAA,1,
papuda,1,
lorpa,1,
Pal upa,1,
Pago,1,
D0 PA,1,
Paulina,1,
pAra,2,
Parado,2,
Paraiso,2,
Parabens,2,
Praga,3,
N6s,3,
braga,3,
praga,3,
vidraga da reparticao,3,
Fraga,3,
Nagaioi,3,
anda,4,
Anda,4,
Outra-Banda,4,
irlanda,4,
Mandara,4,
Andava,4,
Anda-me,4,
ajudanda,4,
Legenda,4,
veneranda,4,
Suspenda,4,
Hei-de,5,
Hei-de-lhe,5,
Hi-de,5,
I-,5,
HEi-de,5,
Sio,6,
Io,6,
IO,6,
rsIg,6,
sioes,6,
"Io
sio
oIIE",6,
Ansioso,6,
Ansiosas,6,
Rossio,6,
Sitio,6,
alegre,7,
Alegres,7,
tao alegre,7,
Come-,8,
Prometo,8,
Comega,8,
Cometera,8,
Quere-me,9,
QUeres,9,
Hereticus,9,
Teresas,9,
Quereis,9,
Queres,9,
Quero,9,
Vomite,10,
Te,10,
fauteuil,10,
UCTIITEU,10,
Ate,10,
OORI1tE,10,
gute,10,
Tem,10,
Foste,10,
Escute,10,
tes:-,10,
Tejo,10,
Nantes,11,
Ponte,11,
Ponte Nova,11,
Ponho,11,
monte Olimpol,11,
Contemplal,11,
Defronte,11,
Sc,12,
Escusa,12,
sc,12,
Diga,13,
fadiga do porto,13,
Inulsigao,13,
Diga-me 1al Traste,13,
Digo,13,
Maldigaol,13,
Pel,14,
Papel,14,
Pelos,14,
L29PELa9.exCeL9GOLPES-.s-,14,
Pelxoto,14,
PElos,14,
Ae,15,
mae,15,
Jrae,15,
revelagcoes,16,
Relagcao,16,
consolagcoes,16,
revelava,16,
tentagcoes,16,
plantagcoes,16,
AUXILIo,17,
XI,17,
U,17,
Bonito,18,
l,18,
Pitonisa,18,
Dezoito,18,
Bonita,18,
Martyres,19,
ores,19,
Arvore,19,
Tres,19,
londres,19,
Louvores,19,
Resumia,19,
Pires,19,
Coreto,19,
"tam-
dores",19,
Flores,19,
florescencla,19,
Padre,20,
Padrinho,20,
padre Amaro,20,
PADRE,20,
Padre-Nossos,20,
padre Feliz,20,
Madre-Abadessa,20,
Padre-Mestre,20,
"padre
Amaro",20,
Deus-Padre,20,
padrariao,20,
guarda-sOis,21,
Pois,21,
Poiais,21,
Poials,21,
dEpois,21,
Coisa,21,
Bois,21,
Golgota,22,
alto do Golgota,22,
Lis,23,
Impossibilis,23,
Lis-,23,
Mis-,23,
Racionalismol,23,
Li,23,
Pis,23,
Pacatinlo,24,
cachoar,24,
Macaco,24,
Cacetel,24,
difamacoes,24,
