text,cluster,cluster_corrected
Julho,-1,
Ve,-1,
S. Joao da Foz,-1,
Fazem-me,-1,
"casa da
snr",-1,
S. Matcas,-1,
Tolices -disse Amaro,-1,
Boa besta,-1,
Oficio,-1,
Temo-la,-1,
Sol do Poente,-1,
L2,-1,
Parabens,-1,
p do rio,-1,
Casamento de Nossa Senhora,-1,
taciturnidade dos santos,-1,
Reden-,-1,
Calafates,-1,
amizade.-,-1,
devota.-,-1,
Comarca,-1,
Mogno,-1,
Santa da Arrega,-1,
controvrsia,-1,
Rapaz-,-1,
ma negocio ponttal,-1,
Entao Amaro,-1,
Migalhas,-1,
Padre-Nossos,-1,
Ceu nao findava.- cOnde,-1,
Exultante Domino,-1,
Atirava-se,-1,
Manchas,-1,
furta,-1,
Lembraram-lhe,-1,
"Ola Bela sociedade
Galgou",-1,
"Senhora das
Sete Chagas",-1,
Caramba,-1,
"Io
sio
oIIE",-1,
Fechou,-1,
"rua dos Cala-
faces n.e 53",-1,
reputacao duma scula de alquimista,-1,
Ds,-1,
Michaela,-1,
Quero,-1,
PolLeLinterno,-1,
"sinei-
ros",-1,
Creio la nisso',-1,
Chiado,-1,
UCTIITEU,-1,
falandocom inuietacao,-1,
It0,-1,
Historia,-1,
Pode-lhe,-1,
Abria,-1,
uorcaente:,-1,
Nossa Senhora da Visitacao,-1,
Relagcao,-1,
Virgens,-1,
Joli,-1,
alecrim,-1,
Expirar,-1,
legalmentc,-1,
monte Olimpol,-1,
Jerusal,-1,
Outra-Banda,-1,
Perguntava-lhe,-1,
Padre-Mestre,-1,
Creio,-1,
S. Vicente,-1,
"Santa Joana
de Aveiro",-1,
O1C,-1,
"Santo Ide-
afonso",-1,
Minta,-1,
"Sao da Encar-
ncia",-1,
serra,-1,
Comu-,-1,
Sao baptizados,-1,
Longuinhos,-1,
Aivaro,-1,
Aldeia de Honra destruido.l,-1,
Amellazinhal Perdoa,-1,
Nasceste,-1,
Cometera,-1,
senhor conego,-1,
Paulina,-1,
cova da enxerga,-1,
Natrio,-1,
Carcavelos,-1,
XI,-1,
ggrgypAA,-1,
AUXILIo,-1,
"Cusl
--- Nao",-1,
Voltava,-1,
A::C,-1,
Rg.3,-1,
irresistivel2,-1,
