cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0.0,Julho,cmbrulho,juleou,,,,,,,,,,,,,,,,,
1.0,Santa Virgem,Virgens,"E1

vI",Parto da Santa Virgem,Virgilio,adoracdo da Virgem,Santa Virginia...,Santa Virginia,,,,,,,,,,,,
2.0,Parece-me,Pareceu-,Receru-,Recu-,,,,,,,,,,,,,,,,
3.0,"Nossa
Senhora","Nossa
Senhora de Lourdes...","Nosse
Senhora","Nossa
Senhora de Lourdes","Nossa
Senhora das Dores","minha
senhora","Nossa
Senhoral",,,,,,,,,,,,,
4.0,presenga,presenga de Deus,Represen-,Provenga,senga,,,,,,,,,,,,,,,
5.0,Jodia,Podia,,,,,,,,,,,,,,,,,,
6.0,Ceu,Ceus,Ceul,ceu,,,,,,,,,,,,,,,,
7.0,Via,ubora Vivia,Vlvia,Via-o,Devia-a,movia,Vivia,,,,,,,,,,,,,
8.0,hoie,Hoie,,,,,,,,,,,,,,,,,,
9.0,movels,imovel,,,,,,,,,,,,,,,,,,
10.0,proxima,roxO,pauis proximos,,,,,,,,,,,,,,,,,
11.0,Ndo,Iendo,boceiando,Iazendo,Iingindo,Ievando,Nundo,,,,,,,,,,,,,
12.0,Silverio,bom Silverio,Sllverio,silvas,vlver,"Silverio
pDara",,,,,,,,,,,,,,
13.0,deserta,Sertaneja,,,,,,,,,,,,,,,,,,
14.0,Baldeschi,Debalde,aldeia,Descia,,,,,,,,,,,,,,,,
15.0,lgrimas,Imas,Ultima-,lagrimas,ligrimas,veu das lagrimas,eMas,,,,,,,,,,,,,
16.0,reeaco,Faco,EEA,soiree,,,,,,,,,,,,,,,,
17.0,Piedade,Distrito e a Sociedade,Impiedade,"Piedade ue
te g-P","Olat Bela sociedadel
Galgou",,,,,,,,,,,,,,,
18.0,"Ccul
Bela",Ccul,,,,,,,,,,,,,,,,,,
19.0,"c
crcia",Crcdo,rcdo,,,,,,,,,,,,,,,,,
20.0,hostia redonda,hostia,PA R,cara redonda,"cahecinha
redonda",MIA RU,,,,,,,,,,,,,,
21.0,Fechou,"portao
fechalo",Feche,Rabicho,,,,,,,,,,,,,,,,
22.0,Nossa Senhora,minha senhora,Nossas Senhoras,"Nossa Senhora
da Ermida",ma senhora,boa senhora,Inimizade de Nossa Senhora,"Nossa Senhora do Rosario...
Disse-a o padre Vicente",Casamento de Nossa Senhora,Nossa Senhora das Dores,"Nossa Senhorae
S. Vicente","Nossa Senhora
das Dores",Nossa Senhora da Saude,,,,,,,
23.0,Persevere,dever1,Persia,Universo,Veremnos,reves,,,,,,,,,,,,,,
24.0,"Deus
t-",Deus,Deusl,"Deus,-e
Deus",Adeus,"Deusl
Gorda",,,,,,,,,,,,,,
25.0,Janelas,Tanelro,Bruxelas,jancela,mar-me da janela,,,,,,,,,,,,,,,
26.0,Salve-Rainhas,unhas,"Rainha
Vito6ria",Salve-Rainha,Rainhas,Salve-Ralnha,,,,,,,,,,,,,,
27.0,Catio,Fatigou,Tertio,Beati,Pacatinlo,,,,,,,,,,,,,,,
28.0,PR MAnRO,Manon,"bancea
do mano",mana,sala.- Mas,,,,,,,,,,,,,,,
29.0,"bom
Marques",Marques,,,,,,,,,,,,,,,,,,
30.0,Agui,Dagui,agucar,,,,,,,,,,,,,,,,,
31.0,Credo,medo:-,"Credo
-- Franciscus",Reden-,scgredo,credol,rel Azevedo,Credol,,,,,,,,,,,,
32.0,bergco,Mogco,bergo,Berlim,Sergio,,,,,,,,,,,,,,,
33.0,brageo,admirageo,,,,,,,,,,,,,,,,,,
34.0,Dregao,Esfregava,Dregado,,,,,,,,,,,,,,,,,
35.0,acgao,redacgao,acgao sacerdotal,tecgao,,,,,,,,,,,,,,,,
36.0,padre-mestrel-,Padre-Mestre,Padre-Mestrel-,,,,,,,,,,,,,,,,,
37.0,Dcus,acusaco,Hereticus,Dcu,,,,,,,,,,,,,,,,
38.0,BIbDi,Biblia,BIbi...,,,,,,,,,,,,,,,,,
39.0,"Agos-
tinlho","Agos-
tinho",Agostinha,Agosrinho,Agos-,"pocilga do
Agostinho",,,,,,,,,,,,,,
40.0,tenhal,tenhal Agora,Pomhal,Venha,Venha ca,,,,,,,,,,,,,,,
41.0,Soberba,Sobe,,,,,,,,,,,,,,,,,,
42.0,Nagcao,administragcao,redacgcao,Relagcao,alteragcao,desafinagcao,,,,,,,,,,,,,,
43.0,Tremer,Tres,Reso-,Pires,,,,,,,,,,,,,,,,
44.0,Sousa,Sousas,rua dos Sousas,Sousas...,rua das Sousas,"rua dos
Sousas",los Sousas,"rua das
Sousas",,,,,,,,,,,,
45.0,Ruca,Nuca,Rucal,Joio Ruco,,,,,,,,,,,,,,,,
46.0,Cre,Creio la nisso',Creio,acre,cre,,,,,,,,,,,,,,,
47.0,Caspitel,Caspitel-,lcite,,,,,,,,,,,,,,,,,
48.0,chan-,Gan-,chantc.-,cha,,,,,,,,,,,,,,,,
49.0,Terreiro,Carreiro,Terreira,pe do Terreiro,,,,,,,,,,,,,,,,
50.0,st do Domingos,U1i DO,pingo do rape,Domingos,Iao dos comil6es,S. Domingos,Ctt DO DRE,,,,,,,,,,,,,
51.0,satisfagao,satisfacaio,,,,,,,,,,,,,,,,,,
52.0,Chateaubriand,Chateau-,,,,,,,,,,,,,,,,,,
53.0,"ma
caminho",Caminho,Caminhante,Minho,caminlo,,,,,,,,,,,,,,,
54.0,Simpatia,impio,patife.-,Sim,,,,,,,,,,,,,,,,
55.0,Pre,pre,supressao,Prepara-te,,,,,,,,,,,,,,,,
56.0,Amparo,"Amparo
da botica",Amparo-,Amparo da botica,Amparozinho,,,,,,,,,,,,,,,
57.0,Domine,Dominus,Dominara,,,,,,,,,,,,,,,,,
58.0,Ourem,ourelo,,,,,,,,,,,,,,,,,,
59.0,Viera,Vera,Comecos da Primavera,La vera,Verao,Merati,Fizera,,,,,,,,,,,,,
60.0,Alegros,alegre,Egr,"louea iuzidia da Vista-
-Alegre",tao alegre,,,,,,,,,,,,,,,
61.0,Distritol,Voe do Distrito,Voz do Distrito,Distrito,"Voe do Dis-
tito","Voz do Distrito
---",A Voz do Distrito,,,,,,,,,,,,,
62.0,Via-Clara,larania,Via-Claral,PROLAE 1RLARA3,,,,,,,,,,,,,,,,
63.0,Arfava,Abafava,Dava,areal  faisceava,,,,,,,,,,,,,,,,
64.0,Trigueiros,Trigueira,estrada da Figueira,Figueira,,,,,,,,,,,,,,,,
65.0,religiao,Religiao,,,,,,,,,,,,,,,,,,
66.0,chio,Chiado,China,,,,,,,,,,,,,,,,,
67.0,devogc6es,devogi,c6es,Nova devogcaio,,,,,,,,,,,,,,,,
68.0,Praga,praga,oragio,gragas,,,,,,,,,,,,,,,,
69.0,seminario,"seminario
cC",,,,,,,,,,,,,,,,,,
70.0,LeaileEe,CRIlE,L29LPPl9.zeEeL9LPEEES-.s-,Ail,LEEL,,,,,,,,,,,,,,,
71.0,Impossibilis,Campos,Campos Elisios,,,,,,,,,,,,,,,,,
72.0,Pudera,"mantelete.-
Pudera",Puderal,,,,,,,,,,,,,,,,,
73.0,gute,Escute,Desculpe,scu,Escusa,LA FAUTE,,,,,,,,,,,,,,
74.0,pe da cama,"pe da
cama","pe da casa do fer-
reiro",pe da mae,pe da velha,mae,luneta ma,pe da cova,Vou,pe da jznela,,,,,,,,,,
75.0,Pacienclal,impaciencia.-,impaciencia,Consciencia,caes,,,,,,,,,,,,,,,
76.0,Iaia,descaia,Caia-me,Caiu,Caia,Cais,Maia,,,,,,,,,,,,,
77.0,Santa da Arregaca,Santa da Arregaea,Arregacal,,,,,,,,,,,,,,,,,
78.0,Mataram-me,Calmaram-na,Voltaramn,Perderam-me,,,,,,,,,,,,,,,,
79.0,Del,Delxe,Delecluze,Eicode DeLs,,,,,,,,,,,,,,,,
80.0,bispo diz- serds,Bispo,,,,,,,,,,,,,,,,,,
81.0,Bem,Tambem,Naol Bem,,,,,,,,,,,,,,,,,
82.0,Brcsil,Brasil,Braslc,Asia,Abrasa-mel,Brasill,Critica do Brasil,"Brasill
Enterneceu-se","Brasill
Foram",,,,,,,,,,,
