text,cluster,cluster_corrected
Escócia,-1,
Chalaça,-1,
"CRIME DO PADRE AMARO

Dorme",-1,
"Santo Ilde-
fonso",-1,
"CRIME DO PADRE AMARO

rabeca",-1,
Covilhã,-1,
Persevere,-1,
CRIME DO PADRU AMARO,-1,
Caminhante,-1,
Ki,-1,
"CRIME DO PADRE AMARO

pássaros",-1,
Ur,-1,
Caramba,-1,
U CRIME DO PADRE AMARO,-1,
Saiba,-1,
"ORIME DO PADRE AMARO

punhos",-1,
Pavonio,-1,
cipe encantado,-1,
Feirão,-1,
Saavedra,-1,
Engraxou,-1,
"CRIME DO PADRE AMARO

Dias",-1,
Vocês,-1,
maçãs assadas,-1,
"CRIME DO PADRE AMARO

trudes",-1,
Nosso Senhor,-1,
peru,-1,
Percebera,-1,
"CRIME DO PADRE AMARO

Aldeola",-1,
insónia,-1,
Baboseiras,-1,
Vaqueira,-1,
Freitas,-1,
"ORIME DO PADRE AMARO

Lá",-1,
Lérias,-1,
"CRIME DO
PADRE AMARO",-1,
"Outu-
bro",-1,
UKIME DO PADRE ANARO,-1,
Morta,-1,
dir-lim,-1,
"ORIME DO PADRE AMARO

cue te digo",-1,
Jjado,-1,
"CRIME DO PADRE AMARO

mada",-1,
Cais do Sodré,-1,
Perguntava-lhe,-1,
cordeiro,-1,
"CRIME DO PADRE AMARO

mesa",-1,
"CRIME DO PADRE AMARO
Que João Cabral da Silva Maldonado
Mendonça de Gouveia",-1,
"CRIME DO PADRE AMARO

Da terrina",-1,
"CRIME DO PADRE AMARO

cabo",-1,
OEIME DO PADRE,-1,
mexe-te,-1,
"Se-
nhor",-1,
Expe-,-1,
Lisboa de Amaro Vieira,-1,
Vieira,-1,
Alcântara,-1,
Amelia-,-1,
U ORIME DO PADRE AMARO,-1,
Jnspector,-1,
Cármens,-1,
CRIME DÓ PADEE,-1,
Gonçalves,-1,
Casamento de Nossa Senhora,-1,
CRIME DO PADRE AMARU,-1,
"ORIME DO PADRE AMARO

Novembro...",-1,
Custou,-1,
Lubin,-1,
Grandioso,-1,
Atharo,-1,
ora-,-1,
Madrid,-1,
planeariam,-1,
Proletariado,-1,
Mata,-1,
Couceiro,-1,
Calas-te,-1,
Tirado,-1,
"casa da
senhora marquesa de Alegros",-1,
Paradou,-1,
Padre-Nossos,-1,
Aquilo,-1,
"ORIMB DO PADRE AMARO

verde do candeeiro",-1,
"ORIME DO PADRE AMARO

cal",-1,
Sarmento,-1,
jancla,-1,
"ORIME DO PADRE AMARO

Assunção",-1,
"OCBIME DU PADRE AMARO

- Você",-1,
Job,-1,
"ORIME DO PADRE AMARO

caridade",-1,
Sacke-hands,-1,
Achara,-1,
OEIME DO PADRE AMADO,-1,
CHRIME DO PADRE AMARO,-1,
CRIME DO,-1,
Ergueu-,-1,
Pompa Espiritual,-1,
bom Deus!,-1,
S. Pascoal Bailão,-1,
Mouraria,-1,
boca dum santo,-1,
Repousarei,-1,
CRIME DO PADEE,-1,
S. Joa-,-1,
ORIMR DO PADRE AMARO,-1,
Tai ã Es,-1,
"taverna do
tio Serafim",-1,
genebra,-1,
Virgens,-1,
Santa Catarina,-1,
Provarei,-1,
"CRIME DO PADRE AMARO

Queria",-1,
Haviam,-1,
Decerto,-1,
Ievantou,-1,
adormecida,-1,
Ribamar,-1,
calúmias,-1,
Amara,-1,
Coimbra,-1,
Atraiu-a,-1,
Casamento,-1,
Pataratas do Saldanha,-1,
"ORIME DO PADRE AMARO
cortininha de cassa",-1,
panelinha,-1,
lorpa,-1,
Boas-noites,-1,
Sou Amaro,-1,
Saúde,-1,
paiire Amaro,-1,
Causava,-1,
Santa Brígida,-1,
Medicina,-1,
Vira,-1,
Natureza,-1,
