text,cluster,cluster_corrected
Santa Virgem,0,
Parto da Santa Virgem,0,
Virgens,0,
Santa Virginia...,0,
Santa Virginia,0,
Amaro:--Ouça,1,
Amaro:--Diga,1,
Amaro:--Pois,1,
Amaro:--Hoje,1,
Hespanha,2,
d'Hespanha,2,
Espaçava,2,
cafésinho,3,
Amparosinho,3,
Gangosinhos,3,
Joãosinho,3,
interessesinhos,3,
Godinho,3,
Minho,3,
Pâcatinho,3,
Critica,4,
Critica do Brazil,4,
Politica,4,
"conego
Dias",5,
Ó Dias,5,
conego Dias,5,
Dias,5,
egoa,5,
conego,5,
conego selvagem,5,
Libano,6,
Libaninho,6,
saiba,6,
Janota,6,
taes,7,
frontaes,7,
locaes,7,
pedestaes,7,
jornaes,7,
Taes,7,
cardeaes,7,
Louvores,8,
Eternidade dos Louvores,8,
taciturnidade dos santos,8,
"Eterna
Dôr...",8,
côxo,8,
arvores,8,
Fraternidade dos Povos,8,
Eternidade,8,
Senhora da Encarnação,9,
Encarnação,9,
cova da enxerga,9,
Senhora da Incarnação,9,
São da Encarnação,9,
Gorda,10,
gallinha gorda,10,
Taborda,10,
Quieta,11,
Joia,11,
exquisito,11,
retreta,11,
tranquillisar,11,
Quiz,11,
Vegetar,11,
"Habana
Valga-me",12,
Algarve,12,
"Habana
Valga-me Dios",12,
Repita-me,12,
aceio,12,
Valsa,12,
Vim,12,
Delecluze,13,
Belem,13,
Eclogas,13,
Deixal-a,14,
Deixal-as,14,
Tel-a-heis!,14,
Casal-a,14,
d'examinar,15,
seminario,15,
d'exame,15,
Districto,16,
Redistribution,16,
borracho,17,
Gamacho,17,
428|,17,
pachorra,17,
Poço do Borratem,17,
homem.--Então,18,
Homens.--E,18,
homem--_não,18,
carne!--Então,18,
Mande,19,
Fernandes,19,
understand,19,
Grande,19,
Baldeschi,20,
escóla,20,
Debalde,20,
Sahiu,21,
sahiu d'emboscada,21,
sahiu,21,
sahir,21,
Cahiu,21,
hostia redonda,22,
hostias,22,
Credo,22,
hostia,22,
don,22,
cara redonda,22,
D. Maria,23,
"d'isso D. Maria
da Assumpção voltára",23,
"Gansoso e D. Maria da
Assumpção",23,
planeariam,23,
Marialva,23,
Mouraria,23,
affecto póde,24,
affectando,24,
afflicto,24,
comprehendia,25,
comprehendia!,25,
comprehendo,25,
Typ,25,
Fechou,26,
Feche,26,
Mathias,27,
Sympathia,27,
Matta,27,
Seraphim,28,
luzir,28,
Raposo,28,
Merati,28,
geographia,28,
Sergio,28,
d'olhos baixos,29,
"tectos baixos do
curral coberto de colmo",29,
Baixa,29,
d'olho,29,
Carvalhosa,29,
Lethes,30,
Gethesemani,30,
Ethiopia,30,
charuto accêso,31,
Archanjo,31,
Michaela,31,
Chafariz,31,
Chateaubriand,31,
Chalaça,31,
chavena,31,
chapéo,31,
Charuto,31,
Tejo,32,
Vejo,32,
bocejo,32,
India,33,
Vá,33,
Indignus,33,
Title,33,
Indigestão,33,
Indias,33,
brandia,33,
guardachuvas,34,
cabo do guardasol,34,
cabo dos guardachuvas,34,
pardaes,34,
cabo da faca,34,
guardasol,34,
Sabem,35,
Sabe,35,
Tambem,35,
Chumbem,35,
