cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
0,Ia,gania,blasphemia,Dizia,lamuria,Cumiada,Eugenia,Asia,Persia,Caia,Sympathia,Ethiopia,"S.
Cypriano",Joia,,,,
1,Faz-me,Traz-me,Metto-me,,,,,,,,,,,,,,,
2,tisica de larynge,tisica,Jardim de Lazaro,,,,,,,,,,,,,,,
3,charuto accêso,accêso,Charuto,,,,,,,,,,,,,,,
4,alegre,Emmagreceu,Vista-Alegre,telegrammas,Royale,palerma,legua,alecrim,,,,,,,,,,
5,"botica do
Carlos",botica,Benedicat,botica da Praça,Critica,Politica,significativa--«não,,,,,,,,,,,
6,Gouvêa,Ouf,Gouveia,,,,,,,,,,,,,,,
7,Nantes,pé-ante-pé,d'antes,"caverna
chammejante",,,,,,,,,,,,,,
8,gavetão,sacristão,latão,sacristães,Sacrificaria,,,,,,,,,,,,,
9,Charonte,Ponte,Ponte Nova,posponto,poz,Contar,Defronte,hontem,,,,,,,,,,
10,d'Ourem,Ourem,Pimentel d'Ourem,,,,,,,,,,,,,,,
11,estrada da,estrada da Figueira,fazenda da,banhada de graça,Bairrada,,,,,,,,,,,,,
12,Imaginava,tisnava,Imagine,Magdalena,lagrimas,Estimava,Abominava,,,,,,,,,,,
13,Succedeu,Successores,succumbiu,bom successo,succedia,,,,,,,,,,,,,
14,Divagava,Esfregava,gargarejava,sôfrega,,,,,,,,,,,,,,
15,Officio,Santo Officio,Officios do Moraes,,,,,,,,,,,,,,,
16,Hespanha,Espaçava,d'Hespanha,,,,,,,,,,,,,,,
17,Ella,Cancella Velha,Pobre d'ella,n'ella,Syllabus,Estrella,Janellas,Bella,Relação,Bruxellas,Michaela,Ellas,véla,,,,,
18,Bonito,bonito,Bonita,,,,,,,,,,,,,,,
19,"santa da
Arregassa",Santa da Arregassa,Cortegassa,,,,,,,,,,,,,,,
20,Padre,Madrid,Padre-Nossos,Padre-Mestre,Deus-Padre,,,,,,,,,,,,,
21,Voltava,Gostava,Repastava,Costurava,Instava,,,,,,,,,,,,,
