text,cluster,cluster_corrected
Santa Virgem,-1,
estrepito,-1,
Parto da Santa Virgem,-1,
Parece-me,-1,
Tito-Livio,-1,
"La
Tremouille",-1,
parochia,-1,
pressa,-1,
Antonia,-1,
Hotel de Ville,-1,
cafésinho,-1,
"S.
Joanneira.--Estás",-1,
Louvores,-1,
--_Quorum remiseris peccata,-1,
Casamento de Nossa Senhora,-1,
Ir,-1,
aquella bonita,-1,
Delecluze,-1,
Fumaça,-1,
S. Joanneira comprehendeu,-1,
deserta,-1,
Vira,-1,
escrevia elle,-1,
Padre-Nossos,-1,
homem.--Então,-1,
bem.--Contou,-1,
"...

Elle",-1,
belleza d'Amelia,-1,
botica da Praça,-1,
bom paio,-1,
Natureza,-1,
D. Maria,-1,
torre gemeu,-1,
Tavoras,-1,
dir-lin,-1,
Fé,-1,
"PORTO

LIVRARIA INTERNACIONAL DE ERNESTO CHARDRON",-1,
Joãosinho,-1,
Michaela,-1,
Chiado,-1,
santa senhora,-1,
Amelinha,-1,
visinhança,-1,
latão,-1,
dôce,-1,
Santo Antonios,-1,
aquelle hombro santo,-1,
Fez-se,-1,
Riam-se-lhe,-1,
Sôa,-1,
Credo,-1,
"Eterna
Dôr...",-1,
côrte de Deus,-1,
Abre,-1,
Virgens,-1,
Religião,-1,
solemnidade,-1,
Chafariz,-1,
s'orgulhar,-1,
falle,-1,
Falta d'união,-1,
Auctoridade,-1,
sahiu d'emboscada,-1,
sorri,-1,
resonar,-1,
Caligula,-1,
alecrim,-1,
Algarve,-1,
minha senhora,-1,
aquella pequena capella d'aldeia,-1,
Japão,-1,
Accumulava,-1,
Villa-Franca,-1,
Agonia,-1,
Repousarei,-1,
Project Gutenberg-tm,-1,
Soberba,-1,
lagrimas,-1,
ripanço,-1,
Chateaubriand,-1,
malucar,-1,
Preferiria,-1,
injustificavel offendeu,-1,
Proletariado,-1,
Mélinha,-1,
aquelle arsenal beato,-1,
p'r'áhi,-1,
Pobre Telles,-1,
fresquinha,-1,
"S.
Cypriano",-1,
Homens.--E,-1,
Milhares,-1,
Turrino,-1,
Amelia.--Foi,-1,
Vieira,-1,
Poyaes,-1,
casa da senhora condessa de,-1,
Baixa,-1,
Thus,-1,
Santa Joanna d'Aveiro,-1,
exquisito,-1,
Indignus,-1,
Carlinhos,-1,
Londres,-1,
Nasceste,-1,
Sena,-1,
João,-1,
Ouf,-1,
cova da enxerga,-1,
pilar branco,-1,
terra molle,-1,
Chalaça,-1,
suggerira,-1,
Casamento,-1,
Josepha,-1,
Sertejeira,-1,
céos,-1,
Via-Clara,-1,
"cost and with
almost",-1,
Vermorel,-1,
Morgaditos,-1,
Sêbo,-1,
Roda,-1,
Belem,-1,
Caminhante,-1,
Abalou,-1,
S. Gorislano,-1,
rouba,-1,
importunára,-1,
Jerusalem,-1,
Sé,-1,
Syllabus,-1,
fazenda da,-1,
Concordia,-1,
banhada de graça,-1,
Porto,-1,
Ricoça,-1,
Achava-o,-1,
Aconselhou,-1,
Primò,-1,
Royale,-1,
réo,-1,
maus costumes,-1,
Leia Gavantus,-1,
"caverna
chammejante",-1,
saiba,-1,
Santa Barbara,-1,
Madrid,-1,
benta!»--E,-1,
medo:--Oh,-1,
Europa,-1,
rua da,-1,
ceremonia,-1,
luzir,-1,
silvas,-1,
tristeza,-1,
valle triste dos Poyaes,-1,
"offerta do
coração do teu amante",-1,
Bairrada,-1,
legua,-1,
Sant'Anna,-1,
Morgadinho dos Poyaes,-1,
Vigareira,-1,
Asia,-1,
Terceira,-1,
sezões,-1,
sotainas,-1,
arara,-1,
"work
with the phrase",-1,
Nervoso,-1,
Fernandes,-1,
Corpus-Christi,-1,
Lisboa de Amaro Vieira,-1,
Contar,-1,
"Joanna
Carreira",-1,
cabo da faca,-1,
missanga,-1,
Augustinha,-1,
arvores,-1,
Charonte,-1,
bêsta,-1,
Tel-a-heis!,-1,
Pobre de Christo!,-1,
Typ,-1,
Bairro Alto,-1,
understand,-1,
punho:--,-1,
"Crime do
Padre Amaro",-1,
Madeira,-1,
Silencio,-1,
Mendes,-1,
Damasco,-1,
d'isso,-1,
poz,-1,
Cheguem-se,-1,
saragoça,-1,
baiuca,-1,
Ameliasinha,-1,
palerma,-1,
Torquemada,-1,
Ethiopia,-1,
Raposo,-1,
Fallavam,-1,
socega,-1,
"sala branca do
senhor conde de",-1,
catarrho,-1,
Malhão,-1,
Bois,-1,
Lully,-1,
Assombrado,-1,
Estás,-1,
Diu,-1,
recamam,-1,
Impaciente,-1,
lamuria,-1,
homem--_não,-1,
Via-o,-1,
Title,-1,
Gomorrha,-1,
Vidalti,-1,
interessesinhos,-1,
Coimbra,-1,
conego Campos,-1,
computer virus,-1,
genebra,-1,
Conhecia-a,-1,
Roda fôra supprimida,-1,
Job,-1,
Decerto,-1,
Golgotha,-1,
mugiu,-1,
locaes,-1,
Secundò,-1,
Legião d'Honra,-1,
Nossa Senhora das Sete Chagas,-1,
padre Amaro,-1,
sombrinha,-1,
Buenos-Ayres,-1,
Repetiu,-1,
Covilhã,-1,
"leia
Garriffaldi",-1,
d'espada alta,-1,
acre,-1,
Correspondencia,-1,
significativa--«não,-1,
Infame,-1,
don,-1,
Capujá,-1,
vinho de alto,-1,
blasphemia,-1,
lampeão,-1,
Epístola,-1,
Senhora do Rosario,-1,
platafórma,-1,
d'essa,-1,
Repita-me,-1,
Podia,-1,
Tiberio,-1,
Breviario,-1,
"S. Joanneira
tagarellava",-1,
"Vazes,--",-1,
Estupido,-1,
Corrego das Tristes,-1,
jubilo,-1,
Perderam-me,-1,
Dois,-1,
Cahia-me,-1,
Vicencia,-1,
Escorpião,-1,
caricias,-1,
entornando-lhes,-1,
tranquillisar,-1,
Janota,-1,
Carcavellos,-1,
Espaçava,-1,
Biblia,-1,
corujas,-1,
mamã,-1,
Merati,-1,
Emmagreceu,-1,
"voltou,--e",-1,
Praça Nova,-1,
acalcam,-1,
"cosia
de luneta",-1,
Carôcho,-1,
Eugenia,-1,
Some states do not allow disclaimers of certain,-1,
succumbiu,-1,
"S. João da
Foz",-1,
Commendador de Christo,-1,
Ribamar,-1,
Nobres,-1,
Philistinos,-1,
Cegonha,-1,
aceio,-1,
din,-1,
Beijo,-1,
Babuseiras,-1,
Sacrificaria,-1,
praia da Vieira,-1,
Indigestão,-1,
palmas,-1,
ramos bentos,-1,
Cordeiro Paschal,-1,
"S.
Paschoal Baylão",-1,
sahir,-1,
Eclogas,-1,
Aquillo,-1,
aza do capão,-1,
Cahiu,-1,
telegrammas,-1,
Bairro de David,-1,
Satanaz,-1,
Nutrida,-1,
Godinho,-1,
Devaneios,-1,
sacrario,-1,
gargarejava,-1,
bahú,-1,
Fazia-te,-1,
Santo Ildefonso,-1,
Santa Brigida,-1,
meum,-1,
Berlim,-1,
Moço,-1,
Dizia,-1,
Ruça,-1,
Reclamára,-1,
Catecismo,-1,
Ameliasita,-1,
Vegetar,-1,
planeariam,-1,
chocalhava,-1,
Haviam,-1,
camara,-1,
Encolhia,-1,
Pimentas da Pojeira,-1,
Santo Ambrosio,-1,
gavetão,-1,
However,-1,
arrojando tunicas,-1,
Minho,-1,
pigarreando grosso,-1,
Parto,-1,
Cordova,-1,
brazeira.--Amelia,-1,
suor,-1,
Bahia,-1,
brancos.--«Aqui,-1,
Santo Thyrso,-1,
Sávedra,-1,
!,-1,
caluda,-1,
»,-1,
lugubre,-1,
Cumiada,-1,
excellencia,-1,
Nepal,-1,
Sim,-1,
Defronte,-1,
Cabraes,-1,
cacete,-1,
babosa,-1,
conego selvagem,-1,
Praça:--«Então,-1,
Acudam,-1,
Pedroso,-1,
Tira-m'o,-1,
És,-1,
gaze,-1,
gotinha de café,-1,
Mouraria,-1,
maçãs assadas,-1,
cemiterio dos Poyaes,-1,
carretão,-1,
Estrella,-1,
Saldanhinha,-1,
Matta,-1,
Fallar-lhe,-1,
Torre de Babel,-1,
Bristol,-1,
Castaldus,-1,
Rabicho,-1,
Lausperenne,-1,
Gonçalves,-1,
"S.
Joanneira pacificadora",-1,
respondera:--E Amaro,-1,
adormecida,-1,
Tu,-1,
trapeira,-1,
brandia,-1,
vossê!?--fez Amaro,-1,
Poço do Borratem,-1,
Assustado,-1,
Xavier,-1,
UT,-1,
Poço das Bentas,-1,
Pâcatinho,-1,
Persia,-1,
Trovador,-1,
Marselheza,-1,
Traste,-1,
Laboranti,-1,
Nossa Senhora da Boa Viagem,-1,
Magdalena,-1,
possilga,-1,
Costurava,-1,
idéa das devotas,-1,
Pobre d'ella,-1,
Caes do Sodré,-1,
felicidade n'este nosso santo ministerio,-1,
colleccionar,-1,
Offertorio,-1,
Vinha,-1,
mexe-te,-1,
Encontrava,-1,
Sergio,-1,
Sobros,-1,
Cabeça,-1,
Maltez,-1,
chôro,-1,
Suspenda,-1,
Santa Virginia...,0,
Santa Virginia,0,
santa cruz,1,
"Santa
Cecilia",1,
Santa,1,
Santarem,1,
cantaro,2,
d'Alcantara,2,
santos,3,
Santos,3,
legião dos santos,4,
convivencia dos santos,4,
Eternidade dos Louvores,5,
taciturnidade dos santos,5,
Fraternidade dos Povos,5,
Eternidade,5,
Cruzes,6,
Cruz,6,
Santa Catharina,7,
Catharina,7,
"boa
senhora",8,
Senhora Mãi,8,
Senhora,8,
boa senhora,8,
"Nossa
Senhora",9,
"Nossas
Senhoras",9,
Nossa Senhora,10,
Nossa Senhora da Ermida,10,
"Nossa Senhora te
valha!",10,
Nossa Senhora do,10,
Nossa Senhora do Lourdes...,10,
Nossa Senhora da Saude,10,
"Nossa
Senhora das Dôres",11,
Nossa Senhora das Dôres,11,
Senhora das Dôres,11,
"Nossa Senhora
das Dôres",11,
Nosso Senhor,12,
"Nosso
Senhor",12,
Senhora da Piedade,13,
Senhora da Alegria,13,
sociedade.--Então,14,
Piedade,14,
Sociedade,14,
Senhora da Encarnação,15,
Senhora da Incarnação,15,
Encarnação,16,
São da Encarnação,16,
Carmens,17,
Sarmento,17,
Polonia,18,
Santa Apolonia,18,
Babylonia,18,
Tenho-lh'o,19,
Tenho,19,
Puz-lh'os,19,
Cantava-lhe,20,
Pesava-lhes,20,
Jantava,20,
Devia-lhe,21,
Ia-lhe,21,
Coma-lhe,21,
Devo-lhe,21,
Bufa-lhe,21,
Devia-a,21,
Dá-lhe,21,
Póde-lhe,22,
Pede-lhe,22,
Pede-os,22,
Joannita,23,
Joanninha,23,
Joanna,23,
Terreiro,24,
Carreiro,24,
Carne,25,
carne!--Então,25,
Officios do Moraes,26,
Officio,26,
Santo Officio,26,
eleitoraes,27,
Moravam,27,
palrava,27,
Moral,27,
Moraes,27,
Santo Ignacio,28,
Leia Santo Ignacio,28,
Gangosinhos,29,
Gansosinhos,29,
Gansosos,30,
Gansoso,30,
Amparosinho,31,
Amparo,31,
"botica do
Carlos",32,
botica,32,
"Amparo da
botica",32,
Amparo da botica,32,
Inglezinhos,33,
Longuinhos,33,
"Santissima
Trindade,--quando ella",34,
Santissimo Sacramento,34,
Santissima,34,
Santíssimo,34,
Santissimo,34,
"santa da
Arregassa",35,
Santa da Arregassa,35,
Inglaterra,36,
serra,36,
aterrado,36,
terra,36,
molles,37,
molle,37,
collete,38,
collete branco,38,
collegas,39,
collegio,39,
impelle,40,
elle,40,
Telles,40,
Pelletan,40,
pelle,40,
n'elle,41,
d'elle,41,
n'ella,41,
Bella,42,
Ella,42,
Bruxellas,42,
Ellas,42,
Janellas,42,
Aquella,43,
Aquellas,43,
aquella,43,
Áquellas,43,
elle vêr aquella,44,
elle aquellas,44,
Aquelles,45,
Aquelle,45,
aquelle,45,
n'aquelle buraco,46,
n'aquelle,46,
N'aquelle,46,
aquella dôce,47,
aquella dôr,47,
Cancella Velha,48,
aquella velha,48,
"Aquella
calumnia",49,
calumnias,49,
calumnia,49,
Calumniou-me,49,
