cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35
0,El,Telo,beljos,Mioel,Feliz,celo,belse,Mnael,apel,elc,"vi-exelamou
MIanovel",Amel,dauelh,telc,,,,,,,,,,,,,,,,,,,,,,
1,Dentro,evidente-,Entrei,Entron,Detro,c-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bom rir,iri,Ir,Imiria,Irins,spirituose.-,"oe
nrir",ordinirio,descohrir,nrriscira,Irios,irioi,virinde,sorrirat,suu irio,primciro,Irieza,,,,,,,,,,,,,,,,,,,
3,ibeira,verdudeira,Ribeira,Queira,tonselheira om,engommadeira,ligeirama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NAMILI INGLEZA,IM RAMILI INGLEZA,"RAILI INGLEZA1
Phrase insignilicante",NAMILIA INGLEZA,FAIlLI1 INGLEZA,PILI INGLEZA,PAMILI INGLBEA,FAILI IGLEZA,olonii ingless,"FAMILI1 INGLEIA
hem fraca",ILI INCLEZA,"FMILI INGLEZA
3s
p","MA AMILI INGLEEA
I1",,,,,,,,,,,,,,,,,,,,,,,
5,Giiie,GGii,Iies,iietaro,"ie
Gii'si s",GGiGiiieesgEg,Gii,iGii  ieo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ite,jd,"x. LA:.It.:1
.I",Anoitece,"serit
daquella noite",Jupiter,rzo,biter,It0,Itr,itesl,Itis,nermitte,permitte,diter,Muit,,,,,,,,,,,,,,,,,,,,
7,MIs d'onde viri,Depeis de Ii,V6o,mir bocjos de fastio,Ce mis grrids,"es ps  iel s
is de vgair",d'onde noi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cecilia,Cvecilia,Cecilio,Cecili,Cecilias,ecilia,Ccecilin,Cecilin,antecedencias,"Ce-
cili",proscguiuCecilia,Cecilii,Ceclia,NEo2-interrogou Cecilia,Ioss Cecilia,"di
Cecilia",Gecilia,Cecli,cecilia,Cecilit,liavia recelido,,,,,,,,,,,,,,,
9,escripl,escripturaco d0s liro,descripgao,sacrificr,ul co  escripiuicao,escripluragao,Escriplura,escripturaeo?-,escriporio,escript,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Peel,pe,Pennot,Pedir,"pei
gosa","pe
iicipe",peccdo,pes,pee.-,chatpeo,"pe
jtr",pescoo,Cumpe,"pe-
dagos",peeurls9,peco,chapeo,,,,,,,,,,,,,,,,,,,
11,s6 d'elles,s6,casa d'elle,nenhmm d'elles,submersaio d'elles,encurreg-me d'ella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Anniaha,Iniar,nia,irginia,extrenia,Anlnia,Laponia,alumnia,Auonia,ainia,Anionia,begonia,erenidia,nia o er,ne opinia .es,genia,,,,,,,,,,,,,,,,,,,,
13,Eramn,livertiamn,IEran,"t-
ragemn",Deramn,Versam,ambs,examne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,fanilia,fumiliar,cilia,Cscili,Imilia,familia,PMILIA,Cscilis,Cccilia,Biblia,Cianos,Cucilia,Iacil,Cncilia,Cscilia,Ccilia,U AILIA,Ilesciai,Cocilia,,,,,,,,,,,,,,,,,
