text,cluster,cluster_corrected
Adivinhas,0,
Fonte da Vinha,0,
Divina Comedia,0,
Vinha,0,
Adivinho-o,0,
"Vinha
amarello",0,
Blackfield,1,
Roboredo,1,
Credo,1,
redobrava,1,
Raspail,2,
Verduras,2,
Rasgue-a,2,
"work
with the phrase",2,
lettras,2,
Tibre,3,
quéda,3,
lugubre,3,
Reconheceu-os,4,
Reconhecera,4,
Desconheço-te,4,
te,4,
Conheceu-a,4,
nossa atmosphera,5,
saiba,5,
Vamos,5,
nossa casa,5,
tojeiras,6,
"Eva,--primeira",6,
Luiza,6,
Madureira,6,
"Cruz da
Regateira",6,
Madeira,6,
Rua Ferreira Borges,6,
japoneira,6,
Ribeira,6,
City,6,
Ande,7,
understand,7,
Aonde,7,
indefeza,7,
Scenas,8,
scenas,8,
Dá-m,8,
Ascende,8,
Sena,8,
acrescentou:--Vens,8,
Antevia,9,
Vivia,9,
Gargantua,9,
instantes,9,
preoccupacão anterior,9,
movia,9,
absintho,10,
Pruth,10,
Sinto,10,
Padre,11,
Padre-nosso,11,
joven padre,11,
Padrão,11,
Manda-os,12,
Anda,12,
Hollanda,12,
andar de cima,12,
Branda,12,
ámanhã,13,
Ámanhã,13,
ámago,13,
Saia,13,
Maranhão,13,
"Praça
aquelle",14,
N'aquelle,14,
N'aquelle cemiterio,14,
saír d'aquelle,14,
Falle-lhe n'aquelle,14,
áquelles,14,
"elle n'aquella
manhã",14,
"saír
d'aquelle sobresalto",14,
theatro n'aquelle,14,
n'aquelle,14,
N'aquella côrte,14,
aquelle,14,
Aquelle,14,
apreciar n'aquella,14,
Ha n'aquelle,14,
N'aquellas,14,
Santa Casa,15,
Santa Catharina,15,
cantaro,15,
http://bnd.bn.pt,15,
Ponti?,16,
posponto,16,
Supponho,16,
Ponti,16,
Volga,17,
Delgado,17,
Folgarei,17,
Peel,17,
Carlos.--,18,
Carlos,18,
Carlos.--Dorme,18,
Paiz,18,
Yess,19,
Depressa,19,
Incessu,19,
Souto,20,
doutor,20,
esforço do velho,21,
palácio do Freixo,21,
Forno Velho,21,
Trai larai lai,22,
Trai larai,22,
Trai,22,
Trai lari,22,
larai,22,
"larai lai
  Trai",22,
velleidades,23,
puerilidades,23,
piedade,23,
plausibilidades,23,
Ociosidade,23,
Universidade,23,
